,probabilities,classification,language,vowel,file
4048,0.3273630142211914,i,BR,i,BR132
4049,1.0006101547332946e-05,ɪ,BR,i,BR132
4046,0.0014247508952394128,eɪ,BR,i,BR132
4044,0.0037393122911453247,ɛ,BR,i,BR132
4045,0.019960742443799973,æ,BR,i,BR132
4041,0.4192150831222534,ɑ,BR,i,BR132
4047,0.05767729505896568,ʌ,BR,i,BR132
4043,0.002180855255573988,oʊ,BR,i,BR132
4042,0.0002250983234262094,u,BR,i,BR132
4040,0.16820375621318817,ʊ,BR,i,BR132
6678,0.04762038215994835,i,BR,i,BR329
6679,0.0007701581926085055,ɪ,BR,i,BR329
6676,0.004549394827336073,eɪ,BR,i,BR329
6674,0.03516937047243118,ɛ,BR,i,BR329
6675,0.003092351136729121,æ,BR,i,BR329
6671,0.006440785713493824,ɑ,BR,i,BR329
6677,0.0015158323803916574,ʌ,BR,i,BR329
6673,0.4427599310874939,oʊ,BR,i,BR329
6672,0.45684948563575745,u,BR,i,BR329
6670,0.0012322313850745559,ʊ,BR,i,BR329
78,0.005006162449717522,i,BR,i,BR373
79,2.1098177967360243e-05,ɪ,BR,i,BR373
76,0.06027517467737198,eɪ,BR,i,BR373
74,0.01240550447255373,ɛ,BR,i,BR373
75,0.5475385189056396,æ,BR,i,BR373
71,0.009117146953940392,ɑ,BR,i,BR373
77,0.002718151081353426,ʌ,BR,i,BR373
73,0.11549409478902817,oʊ,BR,i,BR373
72,0.2448444813489914,u,BR,i,BR373
70,0.002579626627266407,ʊ,BR,i,BR373
1498,2.311849493707996e-05,i,BR,i,BR374
1499,0.9999575614929199,ɪ,BR,i,BR374
1496,8.595473777184282e-10,eɪ,BR,i,BR374
1494,4.912056539296827e-09,ɛ,BR,i,BR374
1495,3.37435546171605e-09,æ,BR,i,BR374
1491,2.781944452578955e-09,ɑ,BR,i,BR374
1497,6.058180179735473e-09,ʌ,BR,i,BR374
1493,9.85054926516682e-10,oʊ,BR,i,BR374
1492,1.931858241732698e-05,u,BR,i,BR374
1490,8.804144635554678e-10,ʊ,BR,i,BR374
5418,0.03169064223766327,i,BR,i,BR375
5419,0.0023781678173691034,ɪ,BR,i,BR375
5416,0.0044959238730371,eɪ,BR,i,BR375
5414,0.003788374364376068,ɛ,BR,i,BR375
5415,0.0035163131542503834,æ,BR,i,BR375
5411,0.006302457768470049,ɑ,BR,i,BR375
