,probabilities,classification,language,vowel,file
7878,0.4036903381347656,i,BR,i,BR132
7879,0.14998506009578705,ɪ,BR,i,BR132
7876,0.022209089249372482,eɪ,BR,i,BR132
7874,0.0794282928109169,ɛ,BR,i,BR132
7875,0.069050632417202,æ,BR,i,BR132
7871,0.08310307562351227,ɑ,BR,i,BR132
7877,0.04390866681933403,ʌ,BR,i,BR132
7873,0.07489430159330368,oʊ,BR,i,BR132
7872,0.049943678081035614,u,BR,i,BR132
7870,0.023786913603544235,ʊ,BR,i,BR132
458,0.1296624094247818,i,BR,i,BR329
459,0.20500797033309937,ɪ,BR,i,BR329
456,0.055952493101358414,eɪ,BR,i,BR329
454,0.12272632122039795,ɛ,BR,i,BR329
455,0.09735672175884247,æ,BR,i,BR329
451,0.12344187498092651,ɑ,BR,i,BR329
457,0.06588087975978851,ʌ,BR,i,BR329
453,0.03244142606854439,oʊ,BR,i,BR329
452,0.11669600754976273,u,BR,i,BR329
450,0.050833895802497864,ʊ,BR,i,BR329
8168,0.17863063514232635,i,BR,i,BR373
8169,0.21565715968608856,ɪ,BR,i,BR373
8166,0.029788924381136894,eɪ,BR,i,BR373
8164,0.033401235938072205,ɛ,BR,i,BR373
8165,0.08124078065156937,æ,BR,i,BR373
8161,0.13013973832130432,ɑ,BR,i,BR373
8167,0.06235888600349426,ʌ,BR,i,BR373
8163,0.022916413843631744,oʊ,BR,i,BR373
8162,0.2143154740333557,u,BR,i,BR373
8160,0.031550873070955276,ʊ,BR,i,BR373
8958,0.203813374042511,i,BR,i,BR374
8959,0.2701036334037781,ɪ,BR,i,BR374
8956,0.018111838027834892,eɪ,BR,i,BR374
8954,0.02098030596971512,ɛ,BR,i,BR374
8955,0.053398799151182175,æ,BR,i,BR374
8951,0.09588172286748886,ɑ,BR,i,BR374
8957,0.0649620071053505,ʌ,BR,i,BR374
8953,0.03445214033126831,oʊ,BR,i,BR374
8952,0.1947087049484253,u,BR,i,BR374
8950,0.04358748719096184,ʊ,BR,i,BR374
3188,0.06368483603000641,i,BR,i,BR375
3189,0.07192691415548325,ɪ,BR,i,BR375
3186,0.00627177907153964,eɪ,BR,i,BR375
3184,0.015712013468146324,ɛ,BR,i,BR375
3185,0.03012438677251339,æ,BR,i,BR375
3181,0.07474994659423828,ɑ,BR,i,BR375
3187,0.025709019973874092,ʌ,BR,i,BR375
3183,0.006215759553015232,oʊ,BR,i,BR375
3182,0.6875765323638916,u,BR,i,BR375
3180,0.018028760328888893,ʊ,BR,i,BR375
5348,0.07112239301204681,i,BR,i,BR452
5349,0.10769344121217728,ɪ,BR,i,BR452
5346,0.025848200544714928,eɪ,BR,i,BR452
5344,0.03566340357065201,ɛ,BR,i,BR452
5345,0.11232230067253113,æ,BR,i,BR452
5341,0.32514432072639465,ɑ,BR,i,BR452
5347,0.036696240305900574,ʌ,BR,i,BR452
5343,0.0388697050511837,oʊ,BR,i,BR452
5342,0.24207326769828796,u,BR,i,BR452
5340,0.004566726740449667,ʊ,BR,i,BR452
5708,0.5644364953041077,i,BR,i,BR454
5709,0.11947336792945862,ɪ,BR,i,BR454
5706,0.0069814021699130535,eɪ,BR,i,BR454
5704,0.025674831122159958,ɛ,BR,i,BR454
5705,0.01558659691363573,æ,BR,i,BR454
5701,0.06361954659223557,ɑ,BR,i,BR454
5707,0.027385400608181953,ʌ,BR,i,BR454
5703,0.027686655521392822,oʊ,BR,i,BR454
5702,0.1382599174976349,u,BR,i,BR454
5700,0.01089581847190857,ʊ,BR,i,BR454
378,0.04824838787317276,i,BR,i,BR46
379,0.49650073051452637,ɪ,BR,i,BR46
376,0.022180577740073204,eɪ,BR,i,BR46
374,0.00512014701962471,ɛ,BR,i,BR46
375,0.22005543112754822,æ,BR,i,BR46
371,0.03475678339600563,ɑ,BR,i,BR46
377,0.028519131243228912,ʌ,BR,i,BR46
373,0.020814163610339165,oʊ,BR,i,BR46
372,0.11989609152078629,u,BR,i,BR46
370,0.003908598329871893,ʊ,BR,i,BR46
1568,0.07104682177305222,i,BR,i,BR47
1569,0.09917601943016052,ɪ,BR,i,BR47
1566,0.04274238273501396,eɪ,BR,i,BR47
1564,0.03391949087381363,ɛ,BR,i,BR47
1565,0.21272896230220795,æ,BR,i,BR47
1561,0.10492672771215439,ɑ,BR,i,BR47
1567,0.06992186605930328,ʌ,BR,i,BR47
1563,0.03872781619429588,oʊ,BR,i,BR47
1562,0.3223007619380951,u,BR,i,BR47
1560,0.004509140271693468,ʊ,BR,i,BR47
918,0.08847780525684357,i,BR,i,BR496
919,0.21541205048561096,ɪ,BR,i,BR496
916,0.020016275346279144,eɪ,BR,i,BR496
914,0.04916272684931755,ɛ,BR,i,BR496
915,0.02595045603811741,æ,BR,i,BR496
911,0.13394027948379517,ɑ,BR,i,BR496
917,0.037415873259305954,ʌ,BR,i,BR496
913,0.012231596745550632,oʊ,BR,i,BR496
912,0.40941697359085083,u,BR,i,BR496
910,0.007976029068231583,ʊ,BR,i,BR496
4838,0.13580003380775452,i,BR,i,BR741
