,language,vowel,file,probabilities,classification
7740,BR,i,BR132,0.15446316,i
7741,BR,i,BR132,0.6707936,ɪ
7742,BR,i,BR132,0.14174336,eɪ
7743,BR,i,BR132,0.030445319,ɛ
7744,BR,i,BR132,0.0024528618,æ
7745,BR,i,BR132,4.291439e-06,ɑ
7746,BR,i,BR132,1.5307618e-05,ʌ
7747,BR,i,BR132,2.9016855e-05,oʊ
7748,BR,i,BR132,2.7600341e-05,u
7749,BR,i,BR132,2.5501226e-05,ʊ
4050,BR,i,BR329,4.374743e-05,i
4051,BR,i,BR329,0.000119427,ɪ
4052,BR,i,BR329,0.9041153,eɪ
4053,BR,i,BR329,0.08335994,ɛ
4054,BR,i,BR329,0.008744344,æ
4055,BR,i,BR329,4.7498983e-05,ɑ
4056,BR,i,BR329,0.0005307454,ʌ
4057,BR,i,BR329,0.0028233211,oʊ
4058,BR,i,BR329,8.1930746e-05,u
4059,BR,i,BR329,0.00013381723,ʊ
7240,BR,i,BR373,0.02268182,i
7241,BR,i,BR373,0.86316144,ɪ
7242,BR,i,BR373,0.008900779,eɪ
7243,BR,i,BR373,0.09876616,ɛ
7244,BR,i,BR373,0.001017218,æ
7245,BR,i,BR373,5.632565e-05,ɑ
7246,BR,i,BR373,2.0759024e-05,ʌ
7247,BR,i,BR373,5.9907125e-05,oʊ
7248,BR,i,BR373,0.00017413174,u
7249,BR,i,BR373,0.0051614475,ʊ
2500,BR,i,BR374,0.00012823218,i
2501,BR,i,BR374,0.000120169236,ɪ
2502,BR,i,BR374,0.0922345,eɪ
2503,BR,i,BR374,0.89137644,ɛ
2504,BR,i,BR374,0.001008501,æ
2505,BR,i,BR374,3.073794e-05,ɑ
2506,BR,i,BR374,0.00010020924,ʌ
2507,BR,i,BR374,0.0141601665,oʊ
2508,BR,i,BR374,0.00010737111,u
2509,BR,i,BR374,0.00073379313,ʊ
5560,BR,i,BR375,0.0006112853,i
5561,BR,i,BR375,8.009513e-05,ɪ
5562,BR,i,BR375,0.31277353,eɪ
5563,BR,i,BR375,0.6325144,ɛ
5564,BR,i,BR375,0.043795757,æ
5565,BR,i,BR375,0.0007707586,ɑ
5566,BR,i,BR375,0.00049867295,ʌ
5567,BR,i,BR375,0.008150004,oʊ
5568,BR,i,BR375,2.6467442e-05,u
5569,BR,i,BR375,0.0007789879,ʊ
9160,BR,i,BR452,0.30445135,i
9161,BR,i,BR452,0.0076050614,ɪ
9162,BR,i,BR452,0.5881362,eɪ
9163,BR,i,BR452,0.08666956,ɛ
9164,BR,i,BR452,0.006867666,æ
9165,BR,i,BR452,0.00027521112,ɑ
9166,BR,i,BR452,0.0003626425,ʌ
9167,BR,i,BR452,0.0023208288,oʊ
9168,BR,i,BR452,0.0029393586,u
9169,BR,i,BR452,0.0003722179,ʊ
6580,BR,i,BR454,0.008160364,i
6581,BR,i,BR454,0.03192807,ɪ
6582,BR,i,BR454,0.7349761,eɪ
6583,BR,i,BR454,0.21355109,ɛ
6584,BR,i,BR454,0.0004703741,æ
6585,BR,i,BR454,0.00010508926,ɑ
6586,BR,i,BR454,0.0033091812,ʌ
6587,BR,i,BR454,0.0055252863,oʊ
6588,BR,i,BR454,0.00076102675,u
6589,BR,i,BR454,0.0012133741,ʊ
180,BR,i,BR46,0.9992119,i
181,BR,i,BR46,0.0002835776,ɪ
182,BR,i,BR46,0.00044428243,eɪ
183,BR,i,BR46,2.1877837e-05,ɛ
184,BR,i,BR46,1.3213006e-05,æ
185,BR,i,BR46,4.876707e-07,ɑ
186,BR,i,BR46,1.4292866e-07,ʌ
187,BR,i,BR46,4.047487e-06,oʊ
188,BR,i,BR46,2.008849e-05,u
189,BR,i,BR46,1.922611e-07,ʊ
9260,BR,i,BR47,0.6730756,i
9261,BR,i,BR47,0.19911869,ɪ
9262,BR,i,BR47,0.0836101,eɪ
9263,BR,i,BR47,0.042134278,ɛ
9264,BR,i,BR47,0.0017743642,æ
9265,BR,i,BR47,5.1246214e-05,ɑ
9266,BR,i,BR47,9.3596944e-05,ʌ
9267,BR,i,BR47,6.575728e-05,oʊ
9268,BR,i,BR47,3.0157373e-05,u
9269,BR,i,BR47,4.6088466e-05,ʊ
2910,BR,i,BR496,0.007603266,i
2911,BR,i,BR496,0.08570757,ɪ
2912,BR,i,BR496,0.5938039,eɪ
2913,BR,i,BR496,0.30960706,ɛ
2914,BR,i,BR496,0.00044524542,æ
2915,BR,i,BR496,3.6623893e-05,ɑ
2916,BR,i,BR496,0.000242786,ʌ
2917,BR,i,BR496,0.0012748281,oʊ
2918,BR,i,BR496,0.00055188924,u
2919,BR,i,BR496,0.00072690734,ʊ
2510,BR,i,BR741,0.27899775,i
2511,BR,i,BR741,0.70122904,ɪ
