,probabilities,classification,language,vowel,file
7873,0.9996954202651978,i,BR,i,BR132
7872,0.0002908864407800138,ɪ,BR,i,BR132
7878,2.0481550109252566e-06,eɪ,BR,i,BR132
7877,3.750843916350277e-06,ɛ,BR,i,BR132
7874,4.144729928157176e-07,æ,BR,i,BR132
7871,3.343521086662804e-07,ɑ,BR,i,BR132
7879,3.7517597775149625e-06,ʌ,BR,i,BR132
7875,5.2620407586800866e-08,oʊ,BR,i,BR132
7870,2.768147624010453e-06,u,BR,i,BR132
7876,8.712223689144594e-07,ʊ,BR,i,BR132
453,0.031592536717653275,i,BR,i,BR329
452,0.057842183858156204,ɪ,BR,i,BR329
458,0.008326474577188492,eɪ,BR,i,BR329
457,0.8179463148117065,ɛ,BR,i,BR329
454,0.07984527945518494,æ,BR,i,BR329
451,0.0010667811147868633,ɑ,BR,i,BR329
459,0.0022999332286417484,ʌ,BR,i,BR329
455,0.0001649220648687333,oʊ,BR,i,BR329
450,0.00046414730604737997,u,BR,i,BR329
456,0.00045144170871935785,ʊ,BR,i,BR329
8163,0.9998480081558228,i,BR,i,BR373
8162,8.487266313750297e-05,ɪ,BR,i,BR373
8168,7.36174706617021e-06,eɪ,BR,i,BR373
8167,2.631979043599131e-07,ɛ,BR,i,BR373
8164,4.5038700591248926e-07,æ,BR,i,BR373
8161,8.988230888462567e-07,ɑ,BR,i,BR373
8169,3.937346946258913e-07,ʌ,BR,i,BR373
8165,6.521990769670083e-08,oʊ,BR,i,BR373
8160,5.2883904572809115e-05,u,BR,i,BR373
8166,4.713234375230968e-06,ʊ,BR,i,BR373
8953,0.0059110489673912525,i,BR,i,BR374
8952,0.9931303858757019,ɪ,BR,i,BR374
8958,5.613524990621954e-05,eɪ,BR,i,BR374
8957,0.0001393628481309861,ɛ,BR,i,BR374
8954,3.10193854602403e-06,æ,BR,i,BR374
8951,1.1270668437646236e-05,ɑ,BR,i,BR374
8959,8.206482016248628e-05,ʌ,BR,i,BR374
8955,1.0763611726360978e-06,oʊ,BR,i,BR374
8950,0.00013042479986324906,u,BR,i,BR374
8956,0.0005353013402782381,ʊ,BR,i,BR374
3183,0.7244149446487427,i,BR,i,BR375
3182,0.08280304819345474,ɪ,BR,i,BR375
3188,0.0217602476477623,eɪ,BR,i,BR375
3187,0.02708437293767929,ɛ,BR,i,BR375
3184,0.07574818283319473,æ,BR,i,BR375
3181,0.004545771051198244,ɑ,BR,i,BR375
3189,0.008769292384386063,ʌ,BR,i,BR375
3185,8.040211832849309e-05,oʊ,BR,i,BR375
3180,0.053166359663009644,u,BR,i,BR375
3186,0.001627312507480383,ʊ,BR,i,BR375
5343,0.950107216835022,i,BR,i,BR452
5342,0.0205723624676466,ɪ,BR,i,BR452
5348,0.008696277625858784,eɪ,BR,i,BR452
5347,0.00023581086134072393,ɛ,BR,i,BR452
5344,0.0008718627505004406,æ,BR,i,BR452
5341,0.007077470887452364,ɑ,BR,i,BR452
5349,0.0027357786893844604,ʌ,BR,i,BR452
5345,0.00012275217159185559,oʊ,BR,i,BR452
5340,0.008368234150111675,u,BR,i,BR452
5346,0.0012120695319026709,ʊ,BR,i,BR452
5703,0.3266180157661438,i,BR,i,BR454
5702,0.6548618078231812,ɪ,BR,i,BR454
5708,0.0034699104726314545,eɪ,BR,i,BR454
5707,0.007071721367537975,ɛ,BR,i,BR454
5704,0.00010259261034661904,æ,BR,i,BR454
5701,0.00017798510089050978,ɑ,BR,i,BR454
5709,0.004286991432309151,ʌ,BR,i,BR454
5705,1.3459892215905711e-05,oʊ,BR,i,BR454
5700,0.0029116319492459297,u,BR,i,BR454
5706,0.0004859518667217344,ʊ,BR,i,BR454
373,0.20724786818027496,i,BR,i,BR46
372,0.7753956913948059,ɪ,BR,i,BR46
378,0.0022160757798701525,eɪ,BR,i,BR46
377,0.00048100363346748054,ɛ,BR,i,BR46
374,0.0001422408240614459,æ,BR,i,BR46
371,0.00024409576144535094,ɑ,BR,i,BR46
379,0.013688680715858936,ʌ,BR,i,BR46
375,1.3621307516586967e-05,oʊ,BR,i,BR46
370,0.00039014723733998835,u,BR,i,BR46
376,0.0001805625797715038,ʊ,BR,i,BR46
1563,0.5410013794898987,i,BR,i,BR47
1562,0.4276670217514038,ɪ,BR,i,BR47
1568,0.0037229242734611034,eɪ,BR,i,BR47
1567,0.000971419969573617,ɛ,BR,i,BR47
1564,0.00023694775882177055,æ,BR,i,BR47
1561,0.0010396084981039166,ɑ,BR,i,BR47
1569,0.023545410484075546,ʌ,BR,i,BR47
1565,2.1633088181260973e-05,oʊ,BR,i,BR47
1560,0.0007027048268355429,u,BR,i,BR47
1566,0.0010909641860052943,ʊ,BR,i,BR47
913,0.40617984533309937,i,BR,i,BR496
912,0.5694242119789124,ɪ,BR,i,BR496
918,0.008299299515783787,eɪ,BR,i,BR496
917,0.0017348561668768525,ɛ,BR,i,BR496
914,1.976419662241824e-05,æ,BR,i,BR496
911,0.00018074977560900152,ɑ,BR,i,BR496
919,0.001112238853238523,ʌ,BR,i,BR496
915,2.1439107513288036e-05,oʊ,BR,i,BR496
910,0.011487326584756374,u,BR,i,BR496
916,0.001540378318168223,ʊ,BR,i,BR496
4833,0.9896929860115051,i,BR,i,BR741
4832,0.0023134853690862656,ɪ,BR,i,BR741
4838,0.0019582235254347324,eɪ,BR,i,BR741
4837,9.266976121580228e-05,ɛ,BR,i,BR741
4834,8.93309697858058e-06,æ,BR,i,BR741
4831,0.0004239481349941343,ɑ,BR,i,BR741
4839,0.0003583208017516881,ʌ,BR,i,BR741
4835,9.505863272352144e-05,oʊ,BR,i,BR741
4830,0.004707579966634512,u,BR,i,BR741
4836,0.0003487408393993974,ʊ,BR,i,BR741
9523,0.9999518394470215,i,BR,i,BR742
9522,1.4204611034074333e-05,ɪ,BR,i,BR742
9528,3.7452853121067164e-06,eɪ,BR,i,BR742
9527,2.4154169864232244e-07,ɛ,BR,i,BR742
9524,4.0740655293802774e-08,æ,BR,i,BR742
9521,2.752438490460918e-07,ɑ,BR,i,BR742
9529,1.4838778383818862e-07,ʌ,BR,i,BR742
9525,4.581433543648927e-08,oʊ,BR,i,BR742
9520,2.6103167328983545e-05,u,BR,i,BR742
9526,3.6110507153352955e-06,ʊ,BR,i,BR742
3693,0.9975826740264893,i,BR,i,BR757
3692,0.0006566775846295059,ɪ,BR,i,BR757
3698,0.0006418572156690061,eɪ,BR,i,BR757
3697,3.921213647117838e-05,ɛ,BR,i,BR757
3694,4.904531124338973e-06,æ,BR,i,BR757
3691,6.2479621192323975e-06,ɑ,BR,i,BR757
3699,2.1943047613603994e-05,ʌ,BR,i,BR757
3695,6.37761149846483e-06,oʊ,BR,i,BR757
3690,0.0008087384048849344,u,BR,i,BR757
3696,0.00023131885973270983,ʊ,BR,i,BR757
2073,0.5121833682060242,i,BR,i,BR796
2072,0.4849846661090851,ɪ,BR,i,BR796
2078,0.0011273246491327882,eɪ,BR,i,BR796
2077,0.0013385677011683583,ɛ,BR,i,BR796
2074,1.2823951692553237e-05,æ,BR,i,BR796
2071,1.0927477887889836e-05,ɑ,BR,i,BR796
2079,3.3848533348646015e-05,ʌ,BR,i,BR796
2075,4.466598966246238e-06,oʊ,BR,i,BR796
2070,0.00024006521562114358,u,BR,i,BR796
2076,6.404337182175368e-05,ʊ,BR,i,BR796
7373,0.9999865293502808,i,BR,i,BR99
7372,1.083077586372383e-05,ɪ,BR,i,BR99
7378,1.4320058880912256e-06,eɪ,BR,i,BR99
7377,1.8709457094701065e-07,ɛ,BR,i,BR99
7374,1.9283403318581804e-08,æ,BR,i,BR99
7371,1.0613906908929494e-07,ɑ,BR,i,BR99
7379,9.609077977756897e-08,ʌ,BR,i,BR99
7375,1.9108830073832905e-08,oʊ,BR,i,BR99
7370,6.68612244680844e-07,u,BR,i,BR99
7376,6.058150603394097e-08,ʊ,BR,i,BR99
3733,0.9865317940711975,i,BR,i,BR992
3732,0.007645977195352316,ɪ,BR,i,BR992
3738,0.0027064450550824404,eɪ,BR,i,BR992
3737,0.00036349365836940706,ɛ,BR,i,BR992
3734,1.6032325220294297e-05,æ,BR,i,BR992
3731,4.7452092985622585e-05,ɑ,BR,i,BR992
3739,0.00010796786955324933,ʌ,BR,i,BR992
3735,3.312184344395064e-05,oʊ,BR,i,BR992
3730,0.0016263335710391402,u,BR,i,BR992
3736,0.000921411847230047,ʊ,BR,i,BR992
6513,0.9990718364715576,i,BR,ĩ,BR1025
6512,0.00040925975190475583,ɪ,BR,ĩ,BR1025
6518,0.00048346357652917504,eɪ,BR,ĩ,BR1025
6517,9.23554580367636e-06,ɛ,BR,ĩ,BR1025
6514,1.1495615126477787e-06,æ,BR,ĩ,BR1025
6511,1.706184229988139e-05,ɑ,BR,ĩ,BR1025
6519,6.621048100896587e-07,ʌ,BR,ĩ,BR1025
6515,2.2209489998203935e-06,oʊ,BR,ĩ,BR1025
6510,2.07673292607069e-06,u,BR,ĩ,BR1025
6516,2.8975034638278885e-06,ʊ,BR,ĩ,BR1025
7483,0.9367161393165588,i,BR,ĩ,BR1029
7482,0.05156819894909859,ɪ,BR,ĩ,BR1029
7488,0.010577592067420483,eɪ,BR,ĩ,BR1029
7487,0.00046849207137711346,ɛ,BR,ĩ,BR1029
7484,0.00013077820767648518,æ,BR,ĩ,BR1029
7481,0.00010831808322109282,ɑ,BR,ĩ,BR1029
7489,0.00010368798393756151,ʌ,BR,ĩ,BR1029
7485,1.419697127857944e-05,oʊ,BR,ĩ,BR1029
7480,0.00022215594071894884,u,BR,ĩ,BR1029
7486,9.039273572852835e-05,ʊ,BR,ĩ,BR1029
8793,0.9976119995117188,i,BR,ĩ,BR154
8792,0.0007578166550956666,ɪ,BR,ĩ,BR154
8798,0.0007463410729542375,eɪ,BR,ĩ,BR154
8797,5.996306936140172e-05,ɛ,BR,ĩ,BR154
8794,0.0005222079926170409,æ,BR,ĩ,BR154
8791,0.00011195740080438554,ɑ,BR,ĩ,BR154
8799,5.855258132214658e-05,ʌ,BR,ĩ,BR154
8795,1.6661308109178208e-05,oʊ,BR,ĩ,BR154
8790,9.533360571367666e-05,u,BR,ĩ,BR154
8796,1.9255630832049064e-05,ʊ,BR,ĩ,BR154
9393,0.9951573014259338,i,BR,ĩ,BR158
9392,0.0029348840471357107,ɪ,BR,ĩ,BR158
9398,4.215231820126064e-05,eɪ,BR,ĩ,BR158
9397,0.0008755024173296988,ɛ,BR,ĩ,BR158
9394,0.0005323333316482604,æ,BR,ĩ,BR158
9391,3.7634461023117183e-06,ɑ,BR,ĩ,BR158
9399,0.00039029624895192683,ʌ,BR,ĩ,BR158
9395,8.575297556490113e-07,oʊ,BR,ĩ,BR158
9390,5.9129477449459955e-05,u,BR,ĩ,BR158
9396,3.7724153116869275e-06,ʊ,BR,ĩ,BR158
6423,0.9840807318687439,i,BR,ĩ,BR159
6422,0.002118905773386359,ɪ,BR,ĩ,BR159
6428,0.00010124237451236695,eɪ,BR,ĩ,BR159
6427,0.0007678853580728173,ɛ,BR,ĩ,BR159
6424,0.00015611968410667032,æ,BR,ĩ,BR159
6421,2.4555907657486387e-05,ɑ,BR,ĩ,BR159
6429,0.012632074765861034,ʌ,BR,ĩ,BR159
6425,5.483178028953262e-06,oʊ,BR,ĩ,BR159
6420,7.360631570918486e-05,u,BR,ĩ,BR159
6426,3.926179124391638e-05,ʊ,BR,ĩ,BR159
3923,0.056427448987960815,i,BR,ĩ,BR264
3922,0.02514328435063362,ɪ,BR,ĩ,BR264
3928,0.827552080154419,eɪ,BR,ĩ,BR264
3927,0.06697142869234085,ɛ,BR,ĩ,BR264
3924,0.018128275871276855,æ,BR,ĩ,BR264
3921,0.002748930361121893,ɑ,BR,ĩ,BR264
3929,0.0010519769275560975,ʌ,BR,ĩ,BR264
3925,0.00011934149370063096,oʊ,BR,ĩ,BR264
3920,0.0015792525373399258,u,BR,ĩ,BR264
3926,0.00027796885115094483,ʊ,BR,ĩ,BR264
7723,0.019461538642644882,i,BR,ĩ,BR411
7722,0.7636680006980896,ɪ,BR,ĩ,BR411
7728,0.0003505389322526753,eɪ,BR,ĩ,BR411
7727,0.0017354997107759118,ɛ,BR,ĩ,BR411
7724,0.0001919330097734928,æ,BR,ĩ,BR411
7721,0.0003714935446623713,ɑ,BR,ĩ,BR411
7729,0.20412884652614594,ʌ,BR,ĩ,BR411
7725,0.0004251143254805356,oʊ,BR,ĩ,BR411
7720,0.00585769722238183,u,BR,ĩ,BR411
7726,0.0038093505427241325,ʊ,BR,ĩ,BR411
1793,0.017426028847694397,i,BR,ĩ,BR417
1792,0.7182967662811279,ɪ,BR,ĩ,BR417
1798,0.0003890718799084425,eɪ,BR,ĩ,BR417
1797,0.012192832306027412,ɛ,BR,ĩ,BR417
1794,0.00018652780272532254,æ,BR,ĩ,BR417
1791,6.972801202209666e-05,ɑ,BR,ĩ,BR417
1799,0.004195637535303831,ʌ,BR,ĩ,BR417
1795,0.00013607159780804068,oʊ,BR,ĩ,BR417
1790,0.029119499027729034,u,BR,ĩ,BR417
1796,0.2179877758026123,ʊ,BR,ĩ,BR417
1613,0.9998805522918701,i,BR,ĩ,BR504
1612,9.574157593306154e-05,ɪ,BR,ĩ,BR504
1618,9.735799721966032e-06,eɪ,BR,ĩ,BR504
1617,8.659624768370122e-07,ɛ,BR,ĩ,BR504
1614,1.182118154474665e-07,æ,BR,ĩ,BR504
1611,7.999927902346826e-07,ɑ,BR,ĩ,BR504
1619,1.2064597285643686e-06,ʌ,BR,ĩ,BR504
1615,3.7625005688823876e-07,oʊ,BR,ĩ,BR504
1610,1.0322512935090344e-05,u,BR,ĩ,BR504
1616,2.0726253069369704e-07,ʊ,BR,ĩ,BR504
9473,0.9375256299972534,i,BR,ĩ,BR510
9472,0.05687180161476135,ɪ,BR,ĩ,BR510
9478,0.002074022311717272,eɪ,BR,ĩ,BR510
9477,0.00010773228132165968,ɛ,BR,ĩ,BR510
9474,5.883817721041851e-05,æ,BR,ĩ,BR510
9471,0.0006105218781158328,ɑ,BR,ĩ,BR510
9479,0.0012377750826999545,ʌ,BR,ĩ,BR510
9475,1.934689498739317e-05,oʊ,BR,ĩ,BR510
9470,0.0013287495821714401,u,BR,ĩ,BR510
9476,0.00016566160775255412,ʊ,BR,ĩ,BR510
2063,0.480861634016037,i,BR,ĩ,BR559
2062,0.47436103224754333,ɪ,BR,ĩ,BR559
2068,0.0012855306267738342,eɪ,BR,ĩ,BR559
2067,0.029474526643753052,ɛ,BR,ĩ,BR559
