,probabilities,classification,language,vowel,file
6403,6.687053246423602e-05,i,BR,i,BR132
6402,0.9998883008956909,ɪ,BR,i,BR132
6408,7.728341984147846e-07,eɪ,BR,i,BR132
6407,4.001709896783723e-07,ɛ,BR,i,BR132
6404,5.385417889414157e-09,æ,BR,i,BR132
6401,2.64278151007602e-06,ɑ,BR,i,BR132
6409,6.94523336619568e-08,ʌ,BR,i,BR132
6405,7.844084848329658e-08,oʊ,BR,i,BR132
6400,2.3709189918008633e-05,u,BR,i,BR132
6406,1.722205888654571e-05,ʊ,BR,i,BR132
3853,0.00025551384896971285,i,BR,i,BR329
3852,0.403321236371994,ɪ,BR,i,BR329
3858,0.40921029448509216,eɪ,BR,i,BR329
3857,0.1345505267381668,ɛ,BR,i,BR329
3854,0.0012033904204145074,æ,BR,i,BR329
3851,0.00013019342441111803,ɑ,BR,i,BR329
3859,0.022752437740564346,ʌ,BR,i,BR329
3855,0.019666271284222603,oʊ,BR,i,BR329
3850,0.008104712702333927,u,BR,i,BR329
3856,0.0008054562495090067,ʊ,BR,i,BR329
5723,0.950329601764679,i,BR,i,BR373
5722,0.047775525599718094,ɪ,BR,i,BR373
5728,0.001824573497287929,eɪ,BR,i,BR373
5727,2.673464450708707e-06,ɛ,BR,i,BR373
5724,9.056179806066211e-09,æ,BR,i,BR373
5721,9.167905545837129e-07,ɑ,BR,i,BR373
5729,2.8977800070606463e-07,ʌ,BR,i,BR373
5725,2.306358965142863e-06,oʊ,BR,i,BR373
5720,5.1270242693135515e-05,u,BR,i,BR373
5726,1.2638149200938642e-05,ʊ,BR,i,BR373
5513,0.00011956832167925313,i,BR,i,BR374
5512,0.5185444951057434,ɪ,BR,i,BR374
5518,0.4770645499229431,eɪ,BR,i,BR374
5517,0.0003320585237815976,ɛ,BR,i,BR374
5514,0.00026876150513999164,æ,BR,i,BR374
5511,0.0003593149012885988,ɑ,BR,i,BR374
5519,0.001454707933589816,ʌ,BR,i,BR374
5515,0.0014765344094485044,oʊ,BR,i,BR374
5510,0.0003346526937093586,u,BR,i,BR374
5516,4.542874376056716e-05,ʊ,BR,i,BR374
8353,7.42425481803366e-06,i,BR,i,BR375
8352,0.9831475615501404,ɪ,BR,i,BR375
8358,0.008580457419157028,eɪ,BR,i,BR375
8357,0.004966897424310446,ɛ,BR,i,BR375
8354,0.0023612803779542446,æ,BR,i,BR375
8351,0.0006500058225356042,ɑ,BR,i,BR375
8359,1.871305357781239e-05,ʌ,BR,i,BR375
8355,0.0002541113062761724,oʊ,BR,i,BR375
8350,8.603092283010483e-06,u,BR,i,BR375
8356,4.943356088915607e-06,ʊ,BR,i,BR375
663,0.3230952024459839,i,BR,i,BR452
662,0.12550297379493713,ɪ,BR,i,BR452
668,0.01606658473610878,eɪ,BR,i,BR452
667,0.010172727517783642,ɛ,BR,i,BR452
