,probabilities,classification,language,vowel,file
6403,0.9998483657836914,i,BR,i,BR132
6402,0.0001516625052317977,ɪ,BR,i,BR132
6408,1.1616855255525138e-09,eɪ,BR,i,BR132
6407,3.494405043102944e-10,ɛ,BR,i,BR132
6404,9.08545808031569e-12,æ,BR,i,BR132
6401,6.040410793078932e-12,ɑ,BR,i,BR132
6409,6.705150215439992e-13,ʌ,BR,i,BR132
6405,2.600874723923674e-11,oʊ,BR,i,BR132
6400,9.611657997288248e-11,u,BR,i,BR132
6406,1.473415681997603e-12,ʊ,BR,i,BR132
3853,0.01082950085401535,i,BR,i,BR329
3852,0.007436188403517008,ɪ,BR,i,BR329
3858,0.9344815015792847,eɪ,BR,i,BR329
3857,0.020111514255404472,ɛ,BR,i,BR329
3854,1.7473359548603185e-05,æ,BR,i,BR329
3851,0.00022263263235799968,ɑ,BR,i,BR329
3859,0.02497539110481739,ʌ,BR,i,BR329
3855,4.356290082796477e-05,oʊ,BR,i,BR329
3850,0.0018457394326105714,u,BR,i,BR329
3856,3.645430479082279e-05,ʊ,BR,i,BR329
5723,0.9999960660934448,i,BR,i,BR373
5722,1.7358703363612449e-09,ɪ,BR,i,BR373
5728,3.9206625501719827e-07,eɪ,BR,i,BR373
5727,3.380486168769181e-11,ɛ,BR,i,BR373
5724,3.4707939300382407e-10,æ,BR,i,BR373
5721,3.662546307903192e-11,ɑ,BR,i,BR373
5729,1.1505699171188155e-10,ʌ,BR,i,BR373
5725,4.437843870164215e-09,oʊ,BR,i,BR373
5720,3.5285258945805253e-06,u,BR,i,BR373
5726,1.9454542143915177e-10,ʊ,BR,i,BR373
5513,0.08906127512454987,i,BR,i,BR374
5512,0.5753368735313416,ɪ,BR,i,BR374
5518,0.3132160007953644,eɪ,BR,i,BR374
5517,5.366074401536025e-05,ɛ,BR,i,BR374
5514,1.6236811006820062e-06,æ,BR,i,BR374
5511,0.0001302428136114031,ɑ,BR,i,BR374
5519,9.03515683603473e-05,ʌ,BR,i,BR374
5515,0.0003736064536496997,oʊ,BR,i,BR374
5510,0.01857052557170391,u,BR,i,BR374
5516,0.0031659118831157684,ʊ,BR,i,BR374
8353,0.0007222412968985736,i,BR,i,BR375
8352,0.04486111178994179,ɪ,BR,i,BR375
8358,0.9032620191574097,eɪ,BR,i,BR375
8357,0.04896749556064606,ɛ,BR,i,BR375
8354,3.625799945439212e-05,æ,BR,i,BR375
8351,8.451904250250664e-06,ɑ,BR,i,BR375
8359,3.54548501491081e-05,ʌ,BR,i,BR375
8355,1.1241806532780174e-05,oʊ,BR,i,BR375
8350,0.0020503909327089787,u,BR,i,BR375
8356,4.5361288357526064e-05,ʊ,BR,i,BR375
663,0.017901796847581863,i,BR,i,BR452
662,0.973327100276947,ɪ,BR,i,BR452
668,0.008235152810811996,eɪ,BR,i,BR452
667,0.00024775590281933546,ɛ,BR,i,BR452
664,4.107067434233613e-05,æ,BR,i,BR452
661,9.392025276611093e-06,ɑ,BR,i,BR452
669,5.823086030432023e-05,ʌ,BR,i,BR452
665,1.1882420039910357e-05,oʊ,BR,i,BR452
660,0.00014990968338679522,u,BR,i,BR452
666,1.775019700289704e-05,ʊ,BR,i,BR452
8923,0.004989246837794781,i,BR,i,BR454
