,probabilities,classification,language,vowel,file
11811,0.9999998807907104,i,BR,i,BR132
11805,7.18184800518884e-09,y,BR,i,BR132
11809,7.858884210065753e-09,e,BR,i,BR132
11812,2.3510315472208276e-08,ɛ,BR,i,BR132
11814,5.9370868221719775e-09,ɛ̃,BR,i,BR132
11815,1.5518095697331091e-09,ø,BR,i,BR132
11810,1.435189189713526e-09,œ,BR,i,BR132
11807,4.707081302512961e-08,a,BR,i,BR132
11816,3.981473373215749e-09,ɑ̃,BR,i,BR132
11813,4.042938428483467e-09,o,BR,i,BR132
11804,5.464829033741125e-09,ɔ,BR,i,BR132
11808,4.539221443167207e-09,ɔ̃,BR,i,BR132
11806,3.348033406069817e-09,u,BR,i,BR132
3049,7.344019832089543e-05,i,BR,i,BR329
3043,0.0008263441268354654,y,BR,i,BR329
3047,1.3773550563200843e-05,e,BR,i,BR329
3050,7.353070486715296e-06,ɛ,BR,i,BR329
3052,6.083902553655207e-05,ɛ̃,BR,i,BR329
3053,2.239679997728672e-05,ø,BR,i,BR329
3048,1.2021115253446624e-05,œ,BR,i,BR329
3045,0.9982506632804871,a,BR,i,BR329
3054,1.8166980225942098e-05,ɑ̃,BR,i,BR329
3051,0.00020533583301585168,o,BR,i,BR329
3042,2.6618983611115254e-05,ɔ,BR,i,BR329
3046,2.2387403078028e-05,ɔ̃,BR,i,BR329
3044,0.0004605758877005428,u,BR,i,BR329
7456,0.00026355087175033987,i,BR,i,BR373
7450,8.082862041192129e-05,y,BR,i,BR373
7454,0.9996111989021301,e,BR,i,BR373
7457,1.613716631254647e-05,ɛ,BR,i,BR373
7459,4.859339810536767e-07,ɛ̃,BR,i,BR373
7460,5.908987645852903e-07,ø,BR,i,BR373
7455,3.7856125345570035e-07,œ,BR,i,BR373
7452,1.7887366539071081e-06,a,BR,i,BR373
7461,5.866314154445718e-07,ɑ̃,BR,i,BR373
7458,9.729200201036292e-07,o,BR,i,BR373
7449,2.604193980459968e-07,ɔ,BR,i,BR373
7453,5.43158307664271e-07,ɔ̃,BR,i,BR373
7451,2.275392944284249e-05,u,BR,i,BR373
891,0.04390803724527359,i,BR,i,BR374
885,0.004790613893419504,y,BR,i,BR374
889,0.8140106797218323,e,BR,i,BR374
892,0.003859069896861911,ɛ,BR,i,BR374
894,0.008858470246195793,ɛ̃,BR,i,BR374
895,0.002963776933029294,ø,BR,i,BR374
890,0.002371598267927766,œ,BR,i,BR374
887,0.0724584236741066,a,BR,i,BR374
896,0.006540203932672739,ɑ̃,BR,i,BR374
893,0.013238617219030857,o,BR,i,BR374
884,0.0059574684128165245,ɔ,BR,i,BR374
888,0.007301471196115017,ɔ̃,BR,i,BR374
886,0.013741428032517433,u,BR,i,BR374
8717,0.0577702634036541,i,BR,i,BR375
8711,0.008404141291975975,y,BR,i,BR375
8715,0.005846749059855938,e,BR,i,BR375
8718,0.01139735709875822,ɛ,BR,i,BR375
8720,0.05957226827740669,ɛ̃,BR,i,BR375
8721,0.056872013956308365,ø,BR,i,BR375
8716,0.004744315519928932,œ,BR,i,BR375
8713,0.7382931709289551,a,BR,i,BR375
8722,0.022015290334820747,ɑ̃,BR,i,BR375
8719,0.00622696615755558,o,BR,i,BR375
8710,0.006427770014852285,ɔ,BR,i,BR375
8714,0.011562187224626541,ɔ̃,BR,i,BR375
8712,0.010867471806704998,u,BR,i,BR375
8652,0.9999997615814209,i,BR,i,BR452
8646,2.843250790363072e-08,y,BR,i,BR452
8650,4.322954794133693e-08,e,BR,i,BR452
8653,4.542323495115852e-08,ɛ,BR,i,BR452
8655,2.5549427462578933e-08,ɛ̃,BR,i,BR452
8656,9.849128623784509e-09,ø,BR,i,BR452
8651,1.1366068974894006e-08,œ,BR,i,BR452
