,probabilities,classification,language,vowel,file
11486,1.0,i,BR,i,BR132
11480,4.839942124708009e-18,y,BR,i,BR132
11484,1.0510893384716187e-16,e,BR,i,BR132
11487,5.214891102259415e-18,ɛ,BR,i,BR132
11489,3.595861656247643e-18,ɛ̃,BR,i,BR132
11490,4.2517265464960384e-18,ø,BR,i,BR132
11485,1.2224972583273263e-18,œ,BR,i,BR132
11482,1.087440750019772e-17,a,BR,i,BR132
11491,4.7983221185970975e-18,ɑ̃,BR,i,BR132
11488,2.3903945991667118e-18,o,BR,i,BR132
11479,1.4106542745059618e-18,ɔ,BR,i,BR132
11483,5.546143023181788e-18,ɔ̃,BR,i,BR132
11481,6.387663638834035e-18,u,BR,i,BR132
1359,0.6413865685462952,i,BR,i,BR329
1353,3.170923446305096e-05,y,BR,i,BR329
1357,6.80226457916433e-06,e,BR,i,BR329
1360,1.764426997397095e-05,ɛ,BR,i,BR329
1362,0.0005738015752285719,ɛ̃,BR,i,BR329
1363,2.491356099199038e-05,ø,BR,i,BR329
1358,1.1486426956253126e-05,œ,BR,i,BR329
1355,0.0002889881725423038,a,BR,i,BR329
1364,5.702615908376174e-06,ɑ̃,BR,i,BR329
1361,0.0030159244779497385,o,BR,i,BR329
1352,3.124346449112636e-06,ɔ,BR,i,BR329
1356,0.0018769210437312722,ɔ̃,BR,i,BR329
1354,0.3527563810348511,u,BR,i,BR329
6169,0.0001969702134374529,i,BR,i,BR373
6163,2.887612708946108e-07,y,BR,i,BR373
6167,2.320820840395754e-06,e,BR,i,BR373
6170,0.9997990727424622,ɛ,BR,i,BR373
6172,5.4337828458983495e-08,ɛ̃,BR,i,BR373
6173,6.197436874799678e-08,ø,BR,i,BR373
6168,5.1114255938955466e-08,œ,BR,i,BR373
6165,1.565613843013125e-07,a,BR,i,BR373
6174,3.691860328558505e-08,ɑ̃,BR,i,BR373
6171,1.5403539066483063e-07,o,BR,i,BR373
6162,1.2268450255703556e-08,ɔ,BR,i,BR373
6166,7.569864806100668e-07,ɔ̃,BR,i,BR373
6164,1.1304258862310235e-07,u,BR,i,BR373
1164,0.0001268095656996593,i,BR,i,BR374
1158,3.841372290480649e-06,y,BR,i,BR374
1162,0.999664306640625,e,BR,i,BR374
1165,6.604383884223353e-07,ɛ,BR,i,BR374
1167,1.4878440879328991e-06,ɛ̃,BR,i,BR374
1168,1.5752938224977697e-06,ø,BR,i,BR374
1163,2.1089169877086533e-06,œ,BR,i,BR374
1160,0.00019219661771785468,a,BR,i,BR374
1169,6.223397122084862e-07,ɑ̃,BR,i,BR374
1166,2.162885493817157e-06,o,BR,i,BR374
1157,2.0129942868152284e-07,ɔ,BR,i,BR374
1161,7.319539463424007e-07,ɔ̃,BR,i,BR374
1159,3.3362202884745784e-06,u,BR,i,BR374
9562,0.2910943925380707,i,BR,i,BR375
9556,6.214980203367304e-06,y,BR,i,BR375
9560,3.85936837119516e-05,e,BR,i,BR375
9563,2.752658474491909e-05,ɛ,BR,i,BR375
9565,6.737942021572962e-05,ɛ̃,BR,i,BR375
9566,0.7086682915687561,ø,BR,i,BR375
9561,3.919200480595464e-06,œ,BR,i,BR375
9558,3.665927579277195e-05,a,BR,i,BR375
9567,5.501296527654631e-06,ɑ̃,BR,i,BR375
9564,1.1645000085991342e-05,o,BR,i,BR375
9555,5.092372248327592e-06,ɔ,BR,i,BR375
9559,2.8400803785189055e-05,ɔ̃,BR,i,BR375
9557,6.377332283591386e-06,u,BR,i,BR375
5272,0.004066919907927513,i,BR,i,BR452
5266,0.9453068971633911,y,BR,i,BR452
5270,0.0007051305146887898,e,BR,i,BR452
5273,0.003088949481025338,ɛ,BR,i,BR452
5275,0.0014312657294794917,ɛ̃,BR,i,BR452
5276,0.002230121288448572,ø,BR,i,BR452
5271,0.0022497393656522036,œ,BR,i,BR452
5268,0.030279921367764473,a,BR,i,BR452
5277,0.0007578579825349152,ɑ̃,BR,i,BR452
5274,0.001082752482034266,o,BR,i,BR452
5265,0.0005525519954971969,ɔ,BR,i,BR452
5269,0.0067071616649627686,ɔ̃,BR,i,BR452
5267,0.0015408518956974149,u,BR,i,BR452
5740,0.0001981852255994454,i,BR,i,BR454
5734,0.00033300367067568004,y,BR,i,BR454
5738,0.9989606142044067,e,BR,i,BR454
5741,5.608525680145249e-05,ɛ,BR,i,BR454
5743,0.0002771206491161138,ɛ̃,BR,i,BR454
5744,2.9078450097586028e-05,ø,BR,i,BR454
5739,2.0894625777145848e-05,œ,BR,i,BR454
5736,6.685540574835613e-05,a,BR,i,BR454
5745,1.0527018275752198e-05,ɑ̃,BR,i,BR454
5742,1.3945607861387543e-05,o,BR,i,BR454
5733,4.952771632815711e-06,ɔ,BR,i,BR454
5737,2.172332642658148e-05,ɔ̃,BR,i,BR454
5735,7.18526825949084e-06,u,BR,i,BR454
917,1.0,i,BR,i,BR46
911,1.087875784983429e-18,y,BR,i,BR46
915,9.468662025639378e-19,e,BR,i,BR46
918,6.474035563650137e-19,ɛ,BR,i,BR46
920,4.098103235216938e-19,ɛ̃,BR,i,BR46
921,3.46826387688251e-19,ø,BR,i,BR46
916,1.0778334633802143e-19,œ,BR,i,BR46
913,1.4531254494671908e-18,a,BR,i,BR46
922,3.568870235872155e-19,ɑ̃,BR,i,BR46
919,3.1727660107571294e-19,o,BR,i,BR46
910,1.4401509147641434e-19,ɔ,BR,i,BR46
914,3.3619670322663834e-19,ɔ̃,BR,i,BR46
912,5.76216909836583e-19,u,BR,i,BR46
553,3.9304822507801873e-07,i,BR,i,BR47
547,1.5540193487595388e-07,y,BR,i,BR47
551,1.9415119822951965e-06,e,BR,i,BR47
554,1.6645249445446098e-07,ɛ,BR,i,BR47
556,2.1016538198637136e-07,ɛ̃,BR,i,BR47
557,0.9999951124191284,ø,BR,i,BR47
552,3.386323612630804e-07,œ,BR,i,BR47
549,8.240974125328648e-07,a,BR,i,BR47
558,2.2519260767239757e-07,ɑ̃,BR,i,BR47
555,1.5897070682058256e-07,o,BR,i,BR47
546,3.180681673597974e-08,ɔ,BR,i,BR47
550,1.7519295170131954e-07,ɔ̃,BR,i,BR47
548,2.883335241676832e-07,u,BR,i,BR47
6078,4.43760582129471e-05,i,BR,i,BR496
6072,1.52195482883144e-08,y,BR,i,BR496
6076,0.9999556541442871,e,BR,i,BR496
6079,8.477161195230565e-09,ɛ,BR,i,BR496
6081,5.021172366781457e-09,ɛ̃,BR,i,BR496
6082,3.413812343922018e-09,ø,BR,i,BR496
6077,1.9885870727875954e-09,œ,BR,i,BR496
6074,5.40273603633068e-09,a,BR,i,BR496
6083,3.2690343765295893e-09,ɑ̃,BR,i,BR496
6080,7.234764343166944e-09,o,BR,i,BR496
6071,9.368370523787917e-10,ɔ,BR,i,BR496
6075,1.3179506375138317e-09,ɔ̃,BR,i,BR496
6073,1.1018612688928897e-09,u,BR,i,BR496
9432,0.9999319314956665,i,BR,i,BR741
9426,3.462802396825282e-06,y,BR,i,BR741
9430,3.355330409249291e-05,e,BR,i,BR741
9433,5.858157237526029e-06,ɛ,BR,i,BR741
9435,1.8360523199589807e-06,ɛ̃,BR,i,BR741
9436,2.8549504804686876e-06,ø,BR,i,BR741
9431,1.3231855291451211e-06,œ,BR,i,BR741
9428,7.388474386971211e-06,a,BR,i,BR741
9437,1.140309109359805e-06,ɑ̃,BR,i,BR741
9434,3.5437305996310897e-06,o,BR,i,BR741
9425,7.687513630116882e-07,ɔ,BR,i,BR741
9429,3.7979252738296054e-06,ɔ̃,BR,i,BR741
9427,2.4542209757782985e-06,u,BR,i,BR741
9939,1.0,i,BR,i,BR742
9933,2.2395304956453405e-16,y,BR,i,BR742
9937,3.368095224649901e-16,e,BR,i,BR742
9940,3.1024558985724997e-16,ɛ,BR,i,BR742
9942,1.0628267666659501e-15,ɛ̃,BR,i,BR742
9943,1.3035985289009452e-16,ø,BR,i,BR742
9938,2.6834041819324412e-17,œ,BR,i,BR742
9935,8.59915736046887e-16,a,BR,i,BR742
9944,1.1917310199059677e-16,ɑ̃,BR,i,BR742
9941,7.838015406950728e-17,o,BR,i,BR742
9932,5.809274221836642e-17,ɔ,BR,i,BR742
9936,1.3893260717480629e-16,ɔ̃,BR,i,BR742
9934,1.307104186511394e-16,u,BR,i,BR742
5896,0.9751898050308228,i,BR,i,BR757
5890,0.02457260899245739,y,BR,i,BR757
5894,2.779290298349224e-05,e,BR,i,BR757
5897,3.6724228266393766e-05,ɛ,BR,i,BR757
5899,1.5229254131554626e-05,ɛ̃,BR,i,BR757
5900,1.2794998838216998e-05,ø,BR,i,BR757
5895,4.755675945489202e-06,œ,BR,i,BR757
5892,1.3140062037564348e-05,a,BR,i,BR757
5901,2.4071110601653345e-05,ɑ̃,BR,i,BR757
5898,1.061649527400732e-05,o,BR,i,BR757
5889,1.8107890582541586e-06,ɔ,BR,i,BR757
5893,7.862563506932929e-05,ɔ̃,BR,i,BR757
5891,1.2033001439704094e-05,u,BR,i,BR757
1645,1.0,i,BR,i,BR796
1639,4.437469836027219e-10,y,BR,i,BR796
1643,4.113518137227601e-10,e,BR,i,BR796
1646,1.8409146429476664e-10,ɛ,BR,i,BR796
1648,1.0056643018341305e-10,ɛ̃,BR,i,BR796
1649,9.73890690314505e-11,ø,BR,i,BR796
1644,3.316025232180664e-11,œ,BR,i,BR796
1641,3.12796732959697e-10,a,BR,i,BR796
1650,1.0696749735972233e-10,ɑ̃,BR,i,BR796
1647,8.942652868215717e-11,o,BR,i,BR796
1638,3.9537723789395685e-11,ɔ,BR,i,BR796
1642,1.4377367352214065e-10,ɔ̃,BR,i,BR796
1640,9.543255768962311e-11,u,BR,i,BR796
1749,1.0,i,BR,i,BR99
1743,6.608986136136252e-10,y,BR,i,BR99
1747,3.56734863871111e-10,e,BR,i,BR99
1750,7.66141261543396e-10,ɛ,BR,i,BR99
1752,3.498456524475557e-10,ɛ̃,BR,i,BR99
1753,3.2419678053230427e-10,ø,BR,i,BR99
1748,1.4658251001886669e-10,œ,BR,i,BR99
1745,1.0556940877037846e-09,a,BR,i,BR99
1754,5.648309597816592e-10,ɑ̃,BR,i,BR99
1751,2.123864695224853e-10,o,BR,i,BR99
1742,1.1689786638680033e-10,ɔ,BR,i,BR99
1746,7.340527630184113e-10,ɔ̃,BR,i,BR99
1744,7.241072741415167e-10,u,BR,i,BR99
8717,1.0,i,BR,i,BR992
8711,6.817181368024006e-13,y,BR,i,BR992
8715,4.780427288286586e-14,e,BR,i,BR992
8718,8.481557741291806e-14,ɛ,BR,i,BR992
8720,3.686032598940181e-14,ɛ̃,BR,i,BR992
8721,5.020864705441476e-14,ø,BR,i,BR992
8716,9.925969991959622e-15,œ,BR,i,BR992
8713,6.852035757363983e-14,a,BR,i,BR992
8722,3.901313815187976e-14,ɑ̃,BR,i,BR992
8719,3.1808574058132116e-14,o,BR,i,BR992
8710,1.0016956577087784e-14,ɔ,BR,i,BR992
8714,5.563869745245538e-14,ɔ̃,BR,i,BR992
8712,4.857634680241994e-14,u,BR,i,BR992
11707,6.4822236467421135e-09,i,BR,ĩ,BR1025
11701,2.369515250677523e-09,y,BR,ĩ,BR1025
11705,5.5772924056896045e-09,e,BR,ĩ,BR1025
11708,1.1346664052780397e-08,ɛ,BR,ĩ,BR1025
11710,1.4754871990874108e-08,ɛ̃,BR,ĩ,BR1025
11711,1.872748001119362e-08,ø,BR,ĩ,BR1025
11706,7.104353993980794e-09,œ,BR,ĩ,BR1025
11703,1.0,a,BR,ĩ,BR1025
11712,1.4039341911242786e-09,ɑ̃,BR,ĩ,BR1025
11709,3.1423086355175656e-09,o,BR,ĩ,BR1025
11700,3.372542689561442e-09,ɔ,BR,ĩ,BR1025
11704,1.7984012057326026e-09,ɔ̃,BR,ĩ,BR1025
11702,6.6700542866726664e-09,u,BR,ĩ,BR1025
11460,1.0,i,BR,ĩ,BR1029
11454,3.3545724791722575e-13,y,BR,ĩ,BR1029
11458,3.0665614904161476e-13,e,BR,ĩ,BR1029
11461,2.8421709430404007e-13,ɛ,BR,ĩ,BR1029
11463,1.6164082876010677e-13,ɛ̃,BR,ĩ,BR1029
11464,1.2612826093879453e-13,ø,BR,ĩ,BR1029
11459,1.4510629839630668e-13,œ,BR,ĩ,BR1029
11456,3.8949960336036316e-13,a,BR,ĩ,BR1029
11465,1.5244180700743626e-13,ɑ̃,BR,ĩ,BR1029
11462,8.970211048562812e-14,o,BR,ĩ,BR1029
11453,8.376735720003192e-14,ɔ,BR,ĩ,BR1029
11457,2.9061543210980034e-13,ɔ̃,BR,ĩ,BR1029
11455,3.0825591645217143e-13,u,BR,ĩ,BR1029
11616,1.0,i,BR,ĩ,BR154
11610,7.121223749573247e-11,y,BR,ĩ,BR154
11614,1.7809087538012136e-11,e,BR,ĩ,BR154
11617,3.47474028716821e-11,ɛ,BR,ĩ,BR154
11619,1.3582386083899056e-11,ɛ̃,BR,ĩ,BR154
11620,2.08801101408973e-11,ø,BR,ĩ,BR154
11615,7.67105563098669e-12,œ,BR,ĩ,BR154
11612,8.452018251947635e-11,a,BR,ĩ,BR154
11621,1.9110444129943893e-11,ɑ̃,BR,ĩ,BR154
11618,1.7622028836150605e-11,o,BR,ĩ,BR154
11609,7.201452975613698e-12,ɔ,BR,ĩ,BR154
11613,6.47619291527235e-09,ɔ̃,BR,ĩ,BR154
11611,2.360977385817975e-11,u,BR,ĩ,BR154
8041,1.0,i,BR,ĩ,BR158
8035,9.753634990409766e-25,y,BR,ĩ,BR158
8039,1.149609856799362e-24,e,BR,ĩ,BR158
8042,1.0163864354799585e-24,ɛ,BR,ĩ,BR158
8044,6.688038682325866e-25,ɛ̃,BR,ĩ,BR158
8045,6.04509042051519e-25,ø,BR,ĩ,BR158
