,probabilities,classification,language,vowel,file
9766,0.12662331759929657,i,BR,i,BR132
9764,0.0767950639128685,y,BR,i,BR132
9770,0.09168194234371185,e,BR,i,BR132
9767,0.08582678437232971,ɛ,BR,i,BR132
9765,0.061077069491147995,ɛ̃,BR,i,BR132
9775,0.10985121130943298,ø,BR,i,BR132
9772,0.02045201137661934,œ,BR,i,BR132
9769,0.1846664547920227,a,BR,i,BR132
9774,0.058245472609996796,ɑ̃,BR,i,BR132
9771,0.055763401091098785,o,BR,i,BR132
9768,0.02415800280869007,ɔ,BR,i,BR132
9773,0.0380081906914711,ɔ̃,BR,i,BR132
9763,0.06685114651918411,u,BR,i,BR132
3032,0.12660837173461914,i,BR,i,BR329
3030,0.07680533826351166,y,BR,i,BR329
3036,0.0916886031627655,e,BR,i,BR329
3033,0.08583302795886993,ɛ,BR,i,BR329
3031,0.06108896806836128,ɛ̃,BR,i,BR329
3041,0.10984829813241959,ø,BR,i,BR329
3038,0.020461304113268852,œ,BR,i,BR329
3035,0.18458127975463867,a,BR,i,BR329
3040,0.05825859680771828,ɑ̃,BR,i,BR329
3037,0.05577512085437775,o,BR,i,BR329
3034,0.024167871102690697,ɔ,BR,i,BR329
3039,0.038021109998226166,ɔ̃,BR,i,BR329
3029,0.06686212867498398,u,BR,i,BR329
4956,0.12661783397197723,i,BR,i,BR373
4954,0.07679877430200577,y,BR,i,BR373
4960,0.09168636053800583,e,BR,i,BR373
4957,0.08582962304353714,ɛ,BR,i,BR373
4955,0.06108001619577408,ɛ̃,BR,i,BR373
4965,0.10985148698091507,ø,BR,i,BR373
4962,0.02045518346130848,œ,BR,i,BR373
4959,0.1846359223127365,a,BR,i,BR373
4964,0.05824917182326317,ɑ̃,BR,i,BR373
4961,0.05576694756746292,o,BR,i,BR373
4958,0.024161379784345627,ɔ,BR,i,BR373
4963,0.03801292926073074,ɔ̃,BR,i,BR373
4953,0.06685438007116318,u,BR,i,BR373
6230,0.12661468982696533,i,BR,i,BR374
6228,0.0768033042550087,y,BR,i,BR374
6234,0.09168688207864761,e,BR,i,BR374
6231,0.08582879602909088,ɛ,BR,i,BR374
6229,0.06108315289020538,ɛ̃,BR,i,BR374
6239,0.10985545068979263,ø,BR,i,BR374
6236,0.020458420738577843,œ,BR,i,BR374
6233,0.18461160361766815,a,BR,i,BR374
6238,0.058253053575754166,ɑ̃,BR,i,BR374
6235,0.05576981231570244,o,BR,i,BR374
6232,0.024163546040654182,ɔ,BR,i,BR374
6237,0.03801603987812996,ɔ̃,BR,i,BR374
6227,0.06685525923967361,u,BR,i,BR374
744,0.12661604583263397,i,BR,i,BR375
742,0.07679886370897293,y,BR,i,BR375
748,0.09168577939271927,e,BR,i,BR375
745,0.08583037555217743,ɛ,BR,i,BR375
743,0.06108148768544197,ɛ̃,BR,i,BR375
753,0.10985077917575836,ø,BR,i,BR375
750,0.020455677062273026,œ,BR,i,BR375
747,0.18463191390037537,a,BR,i,BR375
752,0.05825012922286987,ɑ̃,BR,i,BR375
749,0.055767860263586044,o,BR,i,BR375
746,0.02416214533150196,ɔ,BR,i,BR375
751,0.03801355138421059,ɔ̃,BR,i,BR375
741,0.06685547530651093,u,BR,i,BR375
8323,0.12661345303058624,i,BR,i,BR452
