,probabilities,classification,language,vowel,file
9766,1.0,i,BR,i,BR132
9764,9.714694563925982e-15,y,BR,i,BR132
9770,5.912253972934758e-15,e,BR,i,BR132
9767,5.877533668910331e-15,ɛ,BR,i,BR132
9765,4.477263269739252e-15,ɛ̃,BR,i,BR132
9775,2.0824385476376963e-15,ø,BR,i,BR132
9772,1.2306076881327924e-15,œ,BR,i,BR132
9769,1.1961358823992657e-15,a,BR,i,BR132
9774,1.0859743771693972e-15,ɑ̃,BR,i,BR132
9771,1.2684320502715516e-15,o,BR,i,BR132
9768,1.1365987835697082e-15,ɔ,BR,i,BR132
9773,1.983199532262672e-15,ɔ̃,BR,i,BR132
9763,1.5267977244363788e-14,u,BR,i,BR132
3032,0.010287082754075527,i,BR,i,BR329
3030,0.0182836651802063,y,BR,i,BR329
3036,0.003761263797059655,e,BR,i,BR329
3033,0.003885280806571245,ɛ,BR,i,BR329
3031,0.037588417530059814,ɛ̃,BR,i,BR329
3041,0.8677352070808411,ø,BR,i,BR329
3038,0.0009398739784955978,œ,BR,i,BR329
3035,0.0010494495509192348,a,BR,i,BR329
3040,0.004828895442187786,ɑ̃,BR,i,BR329
3037,0.0220761951059103,o,BR,i,BR329
3034,0.0087661761790514,ɔ,BR,i,BR329
3039,0.0018963682232424617,ɔ̃,BR,i,BR329
3029,0.018902083858847618,u,BR,i,BR329
4956,3.3746935912404297e-08,i,BR,i,BR373
4954,6.503027893955959e-09,y,BR,i,BR373
4960,2.4569310475008876e-10,e,BR,i,BR373
4957,7.277626279389438e-10,ɛ,BR,i,BR373
4955,1.1966597712742555e-09,ɛ̃,BR,i,BR373
4965,7.693393699881312e-10,ø,BR,i,BR373
4962,1.2179220132413349e-10,œ,BR,i,BR373
4959,8.203735607503759e-11,a,BR,i,BR373
4964,1.2854205200252267e-10,ɑ̃,BR,i,BR373
4961,4.6551851262677246e-10,o,BR,i,BR373
4958,1.497635349068105e-10,ɔ,BR,i,BR373
4963,1.0143873241386103e-10,ɔ̃,BR,i,BR373
4953,1.0,u,BR,i,BR373
6230,0.054031576961278915,i,BR,i,BR374
6228,0.22197122871875763,y,BR,i,BR374
6234,0.0033786934800446033,e,BR,i,BR374
6231,0.022945532575249672,ɛ,BR,i,BR374
6229,0.1067095473408699,ɛ̃,BR,i,BR374
6239,0.0870964527130127,ø,BR,i,BR374
6236,0.001955825835466385,œ,BR,i,BR374
6233,0.006603058893233538,a,BR,i,BR374
6238,0.0018520494922995567,ɑ̃,BR,i,BR374
6235,0.056375451385974884,o,BR,i,BR374
6232,0.013578607700765133,ɔ,BR,i,BR374
6237,0.007055138237774372,ɔ̃,BR,i,BR374
6227,0.4164469838142395,u,BR,i,BR374
744,0.2921988368034363,i,BR,i,BR375
742,0.053435489535331726,y,BR,i,BR375
748,0.001531751942820847,e,BR,i,BR375
745,0.003035117406398058,ɛ,BR,i,BR375
743,0.011671779677271843,ɛ̃,BR,i,BR375
753,0.13859687745571136,ø,BR,i,BR375
750,0.0016816845163702965,œ,BR,i,BR375
747,0.4766870439052582,a,BR,i,BR375
752,0.0016246308805420995,ɑ̃,BR,i,BR375
749,0.003897405695170164,o,BR,i,BR375
746,0.0067817531526088715,ɔ,BR,i,BR375
751,0.003577388357371092,ɔ̃,BR,i,BR375
741,0.0052802651189267635,u,BR,i,BR375
8323,0.45638445019721985,i,BR,i,BR452
8321,0.1732477843761444,y,BR,i,BR452
