,probabilities,classification,language,vowel,file
9766,0.11972352862358093,i,BR,i,BR132
9764,0.07367853075265884,y,BR,i,BR132
9770,0.0938330814242363,e,BR,i,BR132
9767,0.08555862307548523,ɛ,BR,i,BR132
9765,0.06409022957086563,ɛ̃,BR,i,BR132
9775,0.11254193633794785,ø,BR,i,BR132
9772,0.021375687792897224,œ,BR,i,BR132
9769,0.18772317469120026,a,BR,i,BR132
9774,0.0590994656085968,ɑ̃,BR,i,BR132
9771,0.05461639165878296,o,BR,i,BR132
9768,0.025952940806746483,ɔ,BR,i,BR132
9773,0.041241712868213654,ɔ̃,BR,i,BR132
9763,0.06056470423936844,u,BR,i,BR132
3032,0.11970958858728409,i,BR,i,BR329
3030,0.07369188219308853,y,BR,i,BR329
3036,0.093838632106781,e,BR,i,BR329
3033,0.08556760102510452,ɛ,BR,i,BR329
3031,0.06410575658082962,ɛ̃,BR,i,BR329
3041,0.11253228783607483,ø,BR,i,BR329
3038,0.021387064829468727,œ,BR,i,BR329
3035,0.18761543929576874,a,BR,i,BR329
3040,0.05911514535546303,ɑ̃,BR,i,BR329
3037,0.05463295802474022,o,BR,i,BR329
3034,0.025965962558984756,ɔ,BR,i,BR329
3039,0.04125737398862839,ɔ̃,BR,i,BR329
3029,0.0605803020298481,u,BR,i,BR329
4956,0.11971881240606308,i,BR,i,BR373
4954,0.07368350028991699,y,BR,i,BR373
4960,0.09383511543273926,e,BR,i,BR373
4957,0.08556178957223892,ɛ,BR,i,BR373
4955,0.06409650295972824,ɛ̃,BR,i,BR373
4965,0.11253922432661057,ø,BR,i,BR373
4962,0.02137957699596882,œ,BR,i,BR373
4959,0.18768428266048431,a,BR,i,BR373
4964,0.05910436064004898,ɑ̃,BR,i,BR373
4961,0.05462174490094185,o,BR,i,BR373
4958,0.025957463309168816,ɔ,BR,i,BR373
4963,0.041247013956308365,ɔ̃,BR,i,BR373
4953,0.06057063862681389,u,BR,i,BR373
6230,0.11971449851989746,i,BR,i,BR374
6228,0.07368703186511993,y,BR,i,BR374
6234,0.09383746236562729,e,BR,i,BR374
6231,0.08556392788887024,ɛ,BR,i,BR374
6229,0.06410055607557297,ɛ̃,BR,i,BR374
6239,0.11253602802753448,ø,BR,i,BR374
6236,0.021383047103881836,œ,BR,i,BR374
6233,0.18765461444854736,a,BR,i,BR374
6238,0.05910899490118027,ɑ̃,BR,i,BR374
6235,0.05462685599923134,o,BR,i,BR374
6232,0.02596108429133892,ɔ,BR,i,BR374
6237,0.04125150665640831,ɔ̃,BR,i,BR374
6227,0.06057446449995041,u,BR,i,BR374
744,0.1197175458073616,i,BR,i,BR375
742,0.07368384301662445,y,BR,i,BR375
748,0.09383627027273178,e,BR,i,BR375
745,0.08556219190359116,ɛ,BR,i,BR375
743,0.06409631669521332,ɛ̃,BR,i,BR375
753,0.1125389039516449,ø,BR,i,BR375
750,0.021380165591835976,œ,BR,i,BR375
747,0.18768087029457092,a,BR,i,BR375
752,0.05910508707165718,ɑ̃,BR,i,BR375
749,0.054622832685709,o,BR,i,BR375
746,0.025957981124520302,ɔ,BR,i,BR375
751,0.041247524321079254,ɔ̃,BR,i,BR375
741,0.06057045981287956,u,BR,i,BR375
8323,0.11971551924943924,i,BR,i,BR452
8321,0.0736870989203453,y,BR,i,BR452
8327,0.09383754432201385,e,BR,i,BR452
8324,0.08556400239467621,ɛ,BR,i,BR452
8322,0.06410012394189835,ɛ̃,BR,i,BR452
8332,0.11253613233566284,ø,BR,i,BR452
8329,0.021382901817560196,œ,BR,i,BR452
8326,0.1876547783613205,a,BR,i,BR452
8331,0.05910859256982803,ɑ̃,BR,i,BR452
8328,0.05462690442800522,o,BR,i,BR452
8325,0.02596110664308071,ɔ,BR,i,BR452
8330,0.041251227259635925,ɔ̃,BR,i,BR452
8320,0.06057405844330788,u,BR,i,BR452
5060,0.11971449106931686,i,BR,i,BR454
5058,0.07368814945220947,y,BR,i,BR454
5064,0.09383746236562729,e,BR,i,BR454
5061,0.08556457608938217,ɛ,BR,i,BR454
5059,0.06410153210163116,ɛ̃,BR,i,BR454
5069,0.11253517121076584,ø,BR,i,BR454
5066,0.02138386107981205,œ,BR,i,BR454
5063,0.1876460164785385,a,BR,i,BR454
5068,0.0591098926961422,ɑ̃,BR,i,BR454
5065,0.05462810397148132,o,BR,i,BR454
5062,0.025962073355913162,ɔ,BR,i,BR454
5067,0.04125276207923889,ɔ̃,BR,i,BR454
5057,0.06057585030794144,u,BR,i,BR454
10702,0.11972320824861526,i,BR,i,BR46
10700,0.07367946207523346,y,BR,i,BR46
10706,0.0938342735171318,e,BR,i,BR46
10703,0.08555971086025238,ɛ,BR,i,BR46
10701,0.0640910416841507,ɛ̃,BR,i,BR46
10711,0.11254165321588516,ø,BR,i,BR46
10708,0.02137693576514721,œ,BR,i,BR46
10705,0.1877140998840332,a,BR,i,BR46
10710,0.05910021811723709,ɑ̃,BR,i,BR46
10707,0.05461708456277847,o,BR,i,BR46
10704,0.02595406398177147,ɔ,BR,i,BR46
10709,0.04124286770820618,ɔ̃,BR,i,BR46
10699,0.06056547537446022,u,BR,i,BR46
4397,0.11972402781248093,i,BR,i,BR47
4395,0.07367884367704391,y,BR,i,BR47
4401,0.09383347630500793,e,BR,i,BR47
4398,0.08555898815393448,ɛ,BR,i,BR47
4396,0.06409049779176712,ɛ̃,BR,i,BR47
4406,0.11254069209098816,ø,BR,i,BR47
4403,0.021376103162765503,œ,BR,i,BR47
4400,0.1877211034297943,a,BR,i,BR47
4405,0.059099722653627396,ɑ̃,BR,i,BR47
4402,0.054616622626781464,o,BR,i,BR47
4399,0.025953050702810287,ɔ,BR,i,BR47
4404,0.04124188795685768,ɔ̃,BR,i,BR47
4394,0.06056496128439903,u,BR,i,BR47
8856,0.1197163462638855,i,BR,i,BR496
8854,0.07368535548448563,y,BR,i,BR496
8860,0.09383604675531387,e,BR,i,BR496
8857,0.0855632871389389,ɛ,BR,i,BR496
8855,0.06409811973571777,ɛ̃,BR,i,BR496
8865,0.11253777146339417,ø,BR,i,BR496
8862,0.021381419152021408,œ,BR,i,BR496
8859,0.18766896426677704,a,BR,i,BR496
8864,0.05910719931125641,ɑ̃,BR,i,BR496
8861,0.054624784737825394,o,BR,i,BR496
8858,0.025959305465221405,ɔ,BR,i,BR496
8863,0.04124930873513222,ɔ̃,BR,i,BR496
8853,0.06057216599583626,u,BR,i,BR496
11326,0.11971732974052429,i,BR,i,BR741
11324,0.07368427515029907,y,BR,i,BR741
