,probabilities,classification,language,vowel,file
9766,1.0,i,BR,i,BR132
9764,2.4022256724781903e-16,y,BR,i,BR132
9770,1.3029847383341786e-12,e,BR,i,BR132
9767,5.901939093694297e-13,ɛ,BR,i,BR132
9765,7.048477732667069e-16,ɛ̃,BR,i,BR132
9775,4.652649805918609e-16,ø,BR,i,BR132
9772,1.1102393035396116e-16,œ,BR,i,BR132
9769,2.818016146835197e-16,a,BR,i,BR132
9774,3.5864129375465725e-16,ɑ̃,BR,i,BR132
9771,1.0955647224262268e-16,o,BR,i,BR132
9768,1.0148099247239819e-16,ɔ,BR,i,BR132
9773,1.522527164310824e-16,ɔ̃,BR,i,BR132
9763,4.205371940538608e-16,u,BR,i,BR132
3032,7.452380523125836e-15,i,BR,i,BR329
3030,4.865477104190738e-15,y,BR,i,BR329
3036,3.572625051698197e-14,e,BR,i,BR329
3033,7.463685919306684e-12,ɛ,BR,i,BR329
3031,5.633063527893563e-14,ɛ̃,BR,i,BR329
3041,2.5416565282553732e-14,ø,BR,i,BR329
3038,1.629190624638857e-14,œ,BR,i,BR329
3035,3.967464579091029e-09,a,BR,i,BR329
3040,8.947654899990609e-14,ɑ̃,BR,i,BR329
3037,1.2604594797104626e-14,o,BR,i,BR329
3034,1.9556069681377422e-14,ɔ,BR,i,BR329
3039,9.383462329902188e-15,ɔ̃,BR,i,BR329
3029,1.0,u,BR,i,BR329
4956,1.0,i,BR,i,BR373
4954,1.234917723635931e-11,y,BR,i,BR373
4960,3.839502327185329e-11,e,BR,i,BR373
4957,2.9747246332867405e-10,ɛ,BR,i,BR373
4955,1.4905956677302434e-11,ɛ̃,BR,i,BR373
4965,2.1031676400440347e-11,ø,BR,i,BR373
4962,4.421278013838625e-12,œ,BR,i,BR373
4959,3.323736034663294e-12,a,BR,i,BR373
4964,7.83119142450106e-12,ɑ̃,BR,i,BR373
4961,3.437520233739999e-12,o,BR,i,BR373
4958,3.453713660547808e-12,ɔ,BR,i,BR373
4963,5.231045631381992e-12,ɔ̃,BR,i,BR373
4953,2.3790591024974717e-11,u,BR,i,BR373
6230,3.184042327575298e-07,i,BR,i,BR374
6228,1.6439388161870738e-07,y,BR,i,BR374
6234,0.9997879862785339,e,BR,i,BR374
6231,1.4007174797825428e-07,ɛ,BR,i,BR374
6229,4.3659565562848e-06,ɛ̃,BR,i,BR374
6239,2.135154772986425e-07,ø,BR,i,BR374
6236,1.2777441327216366e-07,œ,BR,i,BR374
6233,3.1460724585485877e-06,a,BR,i,BR374
6238,2.8455471579036384e-07,ɑ̃,BR,i,BR374
6235,1.239411062670115e-06,o,BR,i,BR374
6232,1.1966353952175268e-07,ɔ,BR,i,BR374
6237,1.1478293515665428e-07,ɔ̃,BR,i,BR374
6227,0.0002018514060182497,u,BR,i,BR374
744,1.4406244872589014e-06,i,BR,i,BR375
742,8.820616130833514e-07,y,BR,i,BR375
748,0.861112117767334,e,BR,i,BR375
745,0.0017821764340624213,ɛ,BR,i,BR375
743,1.867033279268071e-05,ɛ̃,BR,i,BR375
753,0.13706929981708527,ø,BR,i,BR375
750,1.079933213077311e-06,œ,BR,i,BR375
747,9.07534467842197e-06,a,BR,i,BR375
752,1.8496291431802092e-06,ɑ̃,BR,i,BR375
749,6.201155997587193e-07,o,BR,i,BR375
746,7.616154675815778e-07,ɔ,BR,i,BR375
751,1.0720196996771847e-06,ɔ̃,BR,i,BR375
741,1.0089457873618812e-06,u,BR,i,BR375
8323,1.0,i,BR,i,BR452
8321,2.591127833129203e-11,y,BR,i,BR452
8327,1.5363121885769715e-10,e,BR,i,BR452
8324,3.36998179362169e-10,ɛ,BR,i,BR452
8322,5.314702497538626e-11,ɛ̃,BR,i,BR452
8332,8.810729229535852e-11,ø,BR,i,BR452
8329,1.815784675396337e-11,œ,BR,i,BR452
8326,1.0945237077786274e-10,a,BR,i,BR452
8331,7.652091460474963e-11,ɑ̃,BR,i,BR452
8328,2.8460577644606744e-11,o,BR,i,BR452
8325,5.169690717177211e-11,ɔ,BR,i,BR452
8330,3.1920573823063236e-11,ɔ̃,BR,i,BR452
8320,1.3987641600543554e-10,u,BR,i,BR452
5060,0.7338504791259766,i,BR,i,BR454
5058,0.0010119194630533457,y,BR,i,BR454
5064,0.24031655490398407,e,BR,i,BR454
5061,0.004574375692754984,ɛ,BR,i,BR454
5059,0.0032691587693989277,ɛ̃,BR,i,BR454
5069,0.004369631409645081,ø,BR,i,BR454
5066,0.00036357430508360267,œ,BR,i,BR454
5063,0.0010931111173704267,a,BR,i,BR454
5068,0.004763643257319927,ɑ̃,BR,i,BR454
5065,0.002925674431025982,o,BR,i,BR454
5062,0.0012643217341974378,ɔ,BR,i,BR454
5067,0.0009270604350604117,ɔ̃,BR,i,BR454
5057,0.0012705877888947725,u,BR,i,BR454
10702,1.0,i,BR,i,BR46
10700,4.50250487803721e-17,y,BR,i,BR46
10706,1.9636399202365696e-17,e,BR,i,BR46
10703,2.241049414316947e-18,ɛ,BR,i,BR46
10701,2.6842321070075455e-18,ɛ̃,BR,i,BR46
10711,3.985847536564344e-18,ø,BR,i,BR46
10708,6.4211063442044e-19,œ,BR,i,BR46
10705,3.878348746819389e-19,a,BR,i,BR46
10710,2.399530602237207e-18,ɑ̃,BR,i,BR46
10707,1.1720817373655615e-18,o,BR,i,BR46
10704,9.553999147509177e-19,ɔ,BR,i,BR46
10709,1.339662739204517e-18,ɔ̃,BR,i,BR46
10699,3.540112991684019e-18,u,BR,i,BR46
4397,1.0,i,BR,i,BR47
4395,3.229994708231764e-17,y,BR,i,BR47
4401,2.886164182606542e-16,e,BR,i,BR47
4398,7.069374035475833e-16,ɛ,BR,i,BR47
4396,1.2810794962536996e-16,ɛ̃,BR,i,BR47
4406,2.1750702295681042e-16,ø,BR,i,BR47
4403,6.075075145918512e-17,œ,BR,i,BR47
4400,2.1182753469657233e-16,a,BR,i,BR47
4405,1.2793604164174674e-16,ɑ̃,BR,i,BR47
4402,5.760197265221626e-17,o,BR,i,BR47
4399,1.0876694489155307e-16,ɔ,BR,i,BR47
4404,5.3489783203251794e-17,ɔ̃,BR,i,BR47
4394,4.852628990809429e-16,u,BR,i,BR47
8856,1.0,i,BR,i,BR496
8854,3.1651287146772233e-10,y,BR,i,BR496
8860,4.141151865866277e-09,e,BR,i,BR496
8857,2.056573800146566e-10,ɛ,BR,i,BR496
8855,1.633276014434415e-10,ɛ̃,BR,i,BR496
8865,1.2005410554571938e-10,ø,BR,i,BR496
8862,2.6945933331856686e-11,œ,BR,i,BR496
8859,1.2809214626485765e-11,a,BR,i,BR496
8864,2.514581598500598e-10,ɑ̃,BR,i,BR496
8861,3.644998886054296e-11,o,BR,i,BR496
8858,4.044076185039103e-11,ɔ,BR,i,BR496
8863,7.403432034092106e-11,ɔ̃,BR,i,BR496
8853,1.3109932583965644e-10,u,BR,i,BR496
11326,0.0001014909939840436,i,BR,i,BR741
11324,1.661909482209012e-05,y,BR,i,BR741
11330,0.6326685547828674,e,BR,i,BR741
11327,1.4265910976973828e-05,ɛ,BR,i,BR741
11325,1.22250166896265e-05,ɛ̃,BR,i,BR741
11335,0.36715632677078247,ø,BR,i,BR741
11332,3.6929752695868956e-06,œ,BR,i,BR741
11329,1.2817965398426168e-05,a,BR,i,BR741
11334,3.4047250210278435e-06,ɑ̃,BR,i,BR741
11331,3.420868097236962e-06,o,BR,i,BR741
11328,1.4179150866766577e-06,ɔ,BR,i,BR741
11333,2.8131564704381162e-06,ɔ̃,BR,i,BR741
11323,3.0009018701093737e-06,u,BR,i,BR741
926,1.0,i,BR,i,BR742
924,1.6817443775401333e-17,y,BR,i,BR742
930,1.6224537586807819e-16,e,BR,i,BR742
927,6.658920927477712e-16,ɛ,BR,i,BR742
925,6.30840956182992e-17,ɛ̃,BR,i,BR742
935,4.8145878808804015e-17,ø,BR,i,BR742
932,3.6637513469700754e-17,œ,BR,i,BR742
929,9.97370839828996e-17,a,BR,i,BR742
934,5.4222800883594235e-17,ɑ̃,BR,i,BR742
931,3.3915199208062186e-17,o,BR,i,BR742
928,6.963833068503457e-17,ɔ,BR,i,BR742
933,3.0734415128832427e-17,ɔ̃,BR,i,BR742
923,2.4537951558894003e-16,u,BR,i,BR742
7790,1.6055537344072945e-05,i,BR,i,BR757
7788,6.586989229617757e-07,y,BR,i,BR757
7794,0.999971866607666,e,BR,i,BR757
7791,7.649181497981772e-06,ɛ,BR,i,BR757
7789,1.4921220099495258e-06,ɛ̃,BR,i,BR757
7799,6.310334583758959e-07,ø,BR,i,BR757
7796,1.932842224050546e-07,œ,BR,i,BR757
7793,5.69760686630616e-07,a,BR,i,BR757
7798,2.037194093418293e-07,ɑ̃,BR,i,BR757
7795,1.0461643995540726e-07,o,BR,i,BR757
7792,9.9658286956128e-08,ɔ,BR,i,BR757
7797,2.1640201453010377e-07,ɔ̃,BR,i,BR757
