,probabilities,classification,language,vowel,file
8251,0.7975506782531738,i,BR,i,BR132
8257,0.07503217458724976,ɪ,BR,i,BR132
8250,0.042170584201812744,eɪ,BR,i,BR132
8256,0.005772304721176624,ɛ,BR,i,BR132
8254,0.00031723646679893136,æ,BR,i,BR132
8255,0.0002004452981054783,ɑ,BR,i,BR132
8259,0.0009739403612911701,ʌ,BR,i,BR132
8252,0.007541406899690628,oʊ,BR,i,BR132
8253,0.04403121769428253,u,BR,i,BR132
8258,0.026409821584820747,ʊ,BR,i,BR132
7411,0.0687466710805893,i,BR,i,BR329
7417,0.09508111327886581,ɪ,BR,i,BR329
7410,0.06419951468706131,eɪ,BR,i,BR329
7416,0.14343459904193878,ɛ,BR,i,BR329
7414,0.07745900750160217,æ,BR,i,BR329
7415,0.05189404636621475,ɑ,BR,i,BR329
7419,0.15394945442676544,ʌ,BR,i,BR329
7412,0.07039035111665726,oʊ,BR,i,BR329
7413,0.16612917184829712,u,BR,i,BR329
7418,0.10871613025665283,ʊ,BR,i,BR329
8511,0.7715135216712952,i,BR,i,BR373
8517,0.03495777025818825,ɪ,BR,i,BR373
8510,0.014356185682117939,eɪ,BR,i,BR373
8516,0.02167574129998684,ɛ,BR,i,BR373
8514,0.006980883423238993,æ,BR,i,BR373
8515,0.01370361540466547,ɑ,BR,i,BR373
8519,0.04046883061528206,ʌ,BR,i,BR373
8512,0.034488312900066376,oʊ,BR,i,BR373
8513,0.02545757219195366,u,BR,i,BR373
8518,0.03639747202396393,ʊ,BR,i,BR373
7631,0.32467120885849,i,BR,i,BR374
7637,0.18728509545326233,ɪ,BR,i,BR374
7630,0.2549836337566376,eɪ,BR,i,BR374
7636,0.019827624782919884,ɛ,BR,i,BR374
7634,0.008160280995070934,æ,BR,i,BR374
7635,0.008282668888568878,ɑ,BR,i,BR374
7639,0.019762661308050156,ʌ,BR,i,BR374
7632,0.014520391821861267,oʊ,BR,i,BR374
7633,0.08345981687307358,u,BR,i,BR374
7638,0.07904652506113052,ʊ,BR,i,BR374
7761,0.04857991263270378,i,BR,i,BR375
7767,0.4156128168106079,ɪ,BR,i,BR375
7760,0.2981654107570648,eɪ,BR,i,BR375
7766,0.03201356530189514,ɛ,BR,i,BR375
7764,0.0015600677579641342,æ,BR,i,BR375
7765,0.0016824398189783096,ɑ,BR,i,BR375
7769,0.009725446812808514,ʌ,BR,i,BR375
7762,0.005424594506621361,oʊ,BR,i,BR375
