,probabilities,classification,language,vowel,file
8251,0.7809595465660095,i,BR,i,BR132
8257,0.09137288480997086,ɪ,BR,i,BR132
8250,0.03085615485906601,eɪ,BR,i,BR132
8256,0.007880994118750095,ɛ,BR,i,BR132
8254,0.0005769287818111479,æ,BR,i,BR132
8255,0.0002872368786484003,ɑ,BR,i,BR132
8259,0.0016365976771339774,ʌ,BR,i,BR132
8252,0.006191853899508715,oʊ,BR,i,BR132
8253,0.04975960776209831,u,BR,i,BR132
8258,0.03047831542789936,ʊ,BR,i,BR132
7411,0.06961763650178909,i,BR,i,BR329
7417,0.11649863421916962,ɪ,BR,i,BR329
7410,0.043069254606962204,eɪ,BR,i,BR329
7416,0.10447605699300766,ɛ,BR,i,BR329
7414,0.06425582617521286,æ,BR,i,BR329
7415,0.06335043162107468,ɑ,BR,i,BR329
7419,0.15190306305885315,ʌ,BR,i,BR329
7412,0.07719026505947113,oʊ,BR,i,BR329
7413,0.17151135206222534,u,BR,i,BR329
7418,0.1381274312734604,ʊ,BR,i,BR329
8511,0.6555086970329285,i,BR,i,BR373
8517,0.0374734029173851,ɪ,BR,i,BR373
8510,0.02232527732849121,eɪ,BR,i,BR373
8516,0.02982262894511223,ɛ,BR,i,BR373
8514,0.021655160933732986,æ,BR,i,BR373
8515,0.022698180750012398,ɑ,BR,i,BR373
8519,0.050125036388635635,ʌ,BR,i,BR373
8512,0.05264006555080414,oʊ,BR,i,BR373
8513,0.05695638805627823,u,BR,i,BR373
8518,0.050795234739780426,ʊ,BR,i,BR373
7631,0.38973113894462585,i,BR,i,BR374
7637,0.19028909504413605,ɪ,BR,i,BR374
7630,0.13405504822731018,eɪ,BR,i,BR374
7636,0.04756392166018486,ɛ,BR,i,BR374
7634,0.012937217950820923,æ,BR,i,BR374
7635,0.007917974144220352,ɑ,BR,i,BR374
7639,0.031205320730805397,ʌ,BR,i,BR374
7632,0.013780639506876469,oʊ,BR,i,BR374
7633,0.08231154829263687,u,BR,i,BR374
7638,0.09020818024873734,ʊ,BR,i,BR374
7761,0.07498638331890106,i,BR,i,BR375
7767,0.45124006271362305,ɪ,BR,i,BR375
7760,0.17523112893104553,eɪ,BR,i,BR375
7766,0.0598534531891346,ɛ,BR,i,BR375
7764,0.0035844005178660154,æ,BR,i,BR375
7765,0.001822423655539751,ɑ,BR,i,BR375
7769,0.016955720260739326,ʌ,BR,i,BR375
7762,0.004052134696394205,oʊ,BR,i,BR375
7763,0.0945868194103241,u,BR,i,BR375
7768,0.11768750846385956,ʊ,BR,i,BR375
7491,0.9152234792709351,i,BR,i,BR452
7497,0.02762506902217865,ɪ,BR,i,BR452
7490,0.006831291597336531,eɪ,BR,i,BR452
7496,0.0022206506691873074,ɛ,BR,i,BR452
7494,0.0001625587319722399,æ,BR,i,BR452
7495,0.0001346101053059101,ɑ,BR,i,BR452
7499,0.0015743813710287213,ʌ,BR,i,BR452
7492,0.001705814152956009,oʊ,BR,i,BR452
7493,0.03328227624297142,u,BR,i,BR452
7498,0.011239868588745594,ʊ,BR,i,BR452
7171,0.1579836905002594,i,BR,i,BR454
