,probabilities,classification,language,vowel,file
8251,0.7884120345115662,i,BR,i,BR132
8257,0.08017033711075783,ɪ,BR,i,BR132
8250,0.037574753351509574,eɪ,BR,i,BR132
8256,0.007236986327916384,ɛ,BR,i,BR132
8254,0.0005507435911567881,æ,BR,i,BR132
8255,0.00030750284349778667,ɑ,BR,i,BR132
8259,0.0017533607606310397,ʌ,BR,i,BR132
8252,0.007273035263642669,oʊ,BR,i,BR132
8253,0.04755580872297287,u,BR,i,BR132
8258,0.029165468364953994,ʊ,BR,i,BR132
7411,0.07397087067365646,i,BR,i,BR329
7417,0.10293727219104767,ɪ,BR,i,BR329
7410,0.05794254280626774,eɪ,BR,i,BR329
7416,0.12895164936780928,ɛ,BR,i,BR329
7414,0.07463575378060341,æ,BR,i,BR329
7415,0.05751535035669804,ɑ,BR,i,BR329
7419,0.15258093625307084,ʌ,BR,i,BR329
7412,0.073358716070652,oʊ,BR,i,BR329
7413,0.16048631221055984,u,BR,i,BR329
7418,0.11762059703469277,ʊ,BR,i,BR329
8511,0.7174169987440109,i,BR,i,BR373
8517,0.03698769342154264,ɪ,BR,i,BR373
8510,0.01778638903051615,eɪ,BR,i,BR373
8516,0.0250518960878253,ɛ,BR,i,BR373
8514,0.013558703660964965,æ,BR,i,BR373
8515,0.01928739147260785,ɑ,BR,i,BR373
8519,0.0475180022418499,ʌ,BR,i,BR373
8512,0.04016748778522015,oʊ,BR,i,BR373
8513,0.038579304702579975,u,BR,i,BR373
8518,0.043646106496453285,ʊ,BR,i,BR373
7631,0.3351066321134567,i,BR,i,BR374
7637,0.1889987602829933,ɪ,BR,i,BR374
7630,0.2246992863714695,eɪ,BR,i,BR374
7636,0.031796976923942566,ɛ,BR,i,BR374
7634,0.011226162314414978,æ,BR,i,BR374
7635,0.008907808037474752,ɑ,BR,i,BR374
7639,0.025683072023093702,ʌ,BR,i,BR374
7632,0.014758946653455497,oʊ,BR,i,BR374
7633,0.07798899859189987,u,BR,i,BR374
7638,0.08083336949348449,ʊ,BR,i,BR374
7761,0.0631137516349554,i,BR,i,BR375
7767,0.42015452682971954,ɪ,BR,i,BR375
7760,0.26405409500002863,eɪ,BR,i,BR375
7766,0.0443474255502224,ɛ,BR,i,BR375
7764,0.0029975070036016406,æ,BR,i,BR375
7765,0.0021157299051992595,ɑ,BR,i,BR375
7769,0.013753662444651127,ʌ,BR,i,BR375
7762,0.005314675020053982,oʊ,BR,i,BR375
7763,0.0938220590353012,u,BR,i,BR375
7768,0.09032653495669365,ʊ,BR,i,BR375
7491,0.9224739730358124,i,BR,i,BR452
7497,0.02496682833880186,ɪ,BR,i,BR452
7490,0.007806035270914435,eɪ,BR,i,BR452
7496,0.0024717908701859413,ɛ,BR,i,BR452
7494,0.00019514159430400468,æ,BR,i,BR452
7495,0.00015154231296037323,ɑ,BR,i,BR452
7499,0.0018356358865275978,ʌ,BR,i,BR452
7492,0.0015843222732655703,oʊ,BR,i,BR452
7493,0.02887609452009201,u,BR,i,BR452
7498,0.009638628643006086,ʊ,BR,i,BR452
7171,0.13099211901426316,i,BR,i,BR454
7177,0.2957075238227844,ɪ,BR,i,BR454
7170,0.0157226680777967,eɪ,BR,i,BR454
7176,0.02318673487752676,ɛ,BR,i,BR454
7174,0.0024989502970129253,æ,BR,i,BR454
7175,0.0021420394885353746,ɑ,BR,i,BR454
7179,0.024894506484270097,ʌ,BR,i,BR454
7172,0.012384632509201765,oʊ,BR,i,BR454
7173,0.33026831448078153,u,BR,i,BR454
7178,0.16220251023769378,ʊ,BR,i,BR454
7791,0.11066165938973427,i,BR,i,BR46
7797,0.10772926807403564,ɪ,BR,i,BR46
7790,0.0029770076740533113,eɪ,BR,i,BR46
7796,0.019899453222751617,ɛ,BR,i,BR46
7794,0.0014329717145301402,æ,BR,i,BR46
7795,0.0019100088509730994,ɑ,BR,i,BR46
7799,0.03737063817679882,ʌ,BR,i,BR46
7792,0.01554223159328103,oʊ,BR,i,BR46
7793,0.5555670529603958,u,BR,i,BR46
7798,0.14690968692302703,ʊ,BR,i,BR46
7901,0.9387610793113709,i,BR,i,BR47
7907,0.011526156426407396,ɪ,BR,i,BR47
7900,0.019573598355054855,eɪ,BR,i,BR47
7906,0.0069767295382916926,ɛ,BR,i,BR47
7904,0.003032633673865348,æ,BR,i,BR47
7905,0.0012078918749466538,ɑ,BR,i,BR47
7909,0.0059096096782013776,ʌ,BR,i,BR47
7902,0.001983256242237985,oʊ,BR,i,BR47
7903,0.00655843757558614,u,BR,i,BR47
7908,0.00447064961772412,ʊ,BR,i,BR47
7301,0.48018153607845304,i,BR,i,BR496
7307,0.18960996717214584,ɪ,BR,i,BR496
7300,0.0035639468114823103,eɪ,BR,i,BR496
7306,0.011228007264435291,ɛ,BR,i,BR496
7304,0.0013178006163798272,æ,BR,i,BR496
7305,0.0010954724391922354,ɑ,BR,i,BR496
7309,0.02087571695446968,ʌ,BR,i,BR496
7302,0.0059911486692726616,oʊ,BR,i,BR496
7303,0.20001998990774156,u,BR,i,BR496
7308,0.08611642345786094,ʊ,BR,i,BR496
7571,0.2852494537830353,i,BR,i,BR741
7577,0.19261392205953598,ɪ,BR,i,BR741
7570,0.0228739470243454,eɪ,BR,i,BR741
7576,0.016442597005516292,ɛ,BR,i,BR741
7574,0.0010719846934080124,æ,BR,i,BR741
7575,0.0006716065661748871,ɑ,BR,i,BR741
7579,0.014838513173162936,ʌ,BR,i,BR741
7572,0.006028309417888522,oʊ,BR,i,BR741
7573,0.30911809504032134,u,BR,i,BR741
7578,0.15109158605337142,ʊ,BR,i,BR741
8321,0.7364307641983032,i,BR,i,BR742
8327,0.09308054745197296,ɪ,BR,i,BR742
8320,0.013163498975336552,eɪ,BR,i,BR742
8326,0.01835825331509113,ɛ,BR,i,BR742
