,probabilities,classification,language,vowel,file
5967,0.9380671977996826,i,BR,i,BR132
5968,0.0033959364518523216,y,BR,i,BR132
5969,0.007456913124769926,e,BR,i,BR132
5970,0.012312470003962517,ɛ,BR,i,BR132
5979,0.0036116887349635363,ɛ̃,BR,i,BR132
5971,0.001750733470544219,ø,BR,i,BR132
5972,0.001467883470468223,œ,BR,i,BR132
5973,0.01931699365377426,a,BR,i,BR132
5974,0.00221783434972167,ɑ̃,BR,i,BR132
5975,0.0015964083140715957,o,BR,i,BR132
5976,0.001972062746062875,ɔ,BR,i,BR132
5977,0.001918940106406808,ɔ̃,BR,i,BR132
5978,0.004915009718388319,u,BR,i,BR132
8892,0.2992410361766815,i,BR,i,BR329
8893,0.06309645622968674,y,BR,i,BR329
8894,0.09806748479604721,e,BR,i,BR329
8895,0.14305396378040314,ɛ,BR,i,BR329
8904,0.024057915434241295,ɛ̃,BR,i,BR329
8896,0.018650466576218605,ø,BR,i,BR329
8897,0.011882275342941284,œ,BR,i,BR329
8898,0.23207661509513855,a,BR,i,BR329
8899,0.015524376183748245,ɑ̃,BR,i,BR329
8900,0.021911688148975372,o,BR,i,BR329
8901,0.016737783327698708,ɔ,BR,i,BR329
8902,0.010119752027094364,ɔ̃,BR,i,BR329
8903,0.04558006301522255,u,BR,i,BR329
8463,0.16978539526462555,i,BR,i,BR373
8464,0.20971696078777313,y,BR,i,BR373
8465,0.11206890642642975,e,BR,i,BR373
8466,0.13216336071491241,ɛ,BR,i,BR373
8475,0.029552079737186432,ɛ̃,BR,i,BR373
8467,0.047074876725673676,ø,BR,i,BR373
8468,0.01998894475400448,œ,BR,i,BR373
8469,0.09256524592638016,a,BR,i,BR373
8470,0.03937101736664772,ɑ̃,BR,i,BR373
8471,0.030868465080857277,o,BR,i,BR373
8472,0.017443740740418434,ɔ,BR,i,BR373
8473,0.04070375859737396,ɔ̃,BR,i,BR373
8474,0.05869724974036217,u,BR,i,BR373
11622,0.255624383687973,i,BR,i,BR374
11623,0.09139341861009598,y,BR,i,BR374
11624,0.14595670998096466,e,BR,i,BR374
11625,0.09449820965528488,ɛ,BR,i,BR374
11634,0.028012383729219437,ɛ̃,BR,i,BR374
11626,0.02887432463467121,ø,BR,i,BR374
11627,0.021397920325398445,œ,BR,i,BR374
11628,0.12806907296180725,a,BR,i,BR374
11629,0.027685778215527534,ɑ̃,BR,i,BR374
11630,0.031628549098968506,o,BR,i,BR374
11631,0.021210217848420143,ɔ,BR,i,BR374
11632,0.014138163067400455,ɔ̃,BR,i,BR374
11633,0.11151084303855896,u,BR,i,BR374
2197,0.13449746370315552,i,BR,i,BR375
2198,0.02851632982492447,y,BR,i,BR375
2199,0.31772381067276,e,BR,i,BR375
2200,0.3128410875797272,ɛ,BR,i,BR375
2209,0.013088524341583252,ɛ̃,BR,i,BR375
2201,0.011738934554159641,ø,BR,i,BR375
2202,0.007838873192667961,œ,BR,i,BR375
2203,0.10266020894050598,a,BR,i,BR375
2204,0.00944997277110815,ɑ̃,BR,i,BR375
2205,0.0176584180444479,o,BR,i,BR375
2206,0.009515120647847652,ɔ,BR,i,BR375
2207,0.009931141510605812,ɔ̃,BR,i,BR375
2208,0.02454010583460331,u,BR,i,BR375
6344,0.6851708889007568,i,BR,i,BR452
6345,0.05220770835876465,y,BR,i,BR452
6346,0.08696378022432327,e,BR,i,BR452
6347,0.03993574529886246,ɛ,BR,i,BR452
6356,0.014595543034374714,ɛ̃,BR,i,BR452
6348,0.012989578768610954,ø,BR,i,BR452
6349,0.008884820155799389,œ,BR,i,BR452
6350,0.03215579316020012,a,BR,i,BR452
6351,0.008154919371008873,ɑ̃,BR,i,BR452
6352,0.015208284370601177,o,BR,i,BR452
6353,0.007740282919257879,ɔ,BR,i,BR452
6354,0.014061454683542252,ɔ̃,BR,i,BR452
6355,0.021931186318397522,u,BR,i,BR452
6669,0.25465476512908936,i,BR,i,BR454
6670,0.22524483501911163,y,BR,i,BR454
6671,0.09696108102798462,e,BR,i,BR454
6672,0.06872785091400146,ɛ,BR,i,BR454
6681,0.03676839917898178,ɛ̃,BR,i,BR454
6673,0.04217797517776489,ø,BR,i,BR454
6674,0.019990459084510803,œ,BR,i,BR454
6675,0.10608386248350143,a,BR,i,BR454
6676,0.029204506427049637,ɑ̃,BR,i,BR454
6677,0.026748545467853546,o,BR,i,BR454
6678,0.018333962187170982,ɔ,BR,i,BR454
6679,0.04777815192937851,ɔ̃,BR,i,BR454
6680,0.02732563205063343,u,BR,i,BR454
2236,0.5816829204559326,i,BR,i,BR46
2237,0.026504697278141975,y,BR,i,BR46
2238,0.08180095255374908,e,BR,i,BR46
2239,0.07472486048936844,ɛ,BR,i,BR46
2248,0.03538411110639572,ɛ̃,BR,i,BR46
2240,0.01171751506626606,ø,BR,i,BR46
2241,0.01870286650955677,œ,BR,i,BR46
2242,0.03487611934542656,a,BR,i,BR46
2243,0.028435098007321358,ɑ̃,BR,i,BR46
2244,0.019113689661026,o,BR,i,BR46
2245,0.030270136892795563,ɔ,BR,i,BR46
2246,0.02897639386355877,ɔ̃,BR,i,BR46
2247,0.02781066484749317,u,BR,i,BR46
2938,0.5688713788986206,i,BR,i,BR47
2939,0.036073941737413406,y,BR,i,BR47
2940,0.060405053198337555,e,BR,i,BR47
2941,0.07117490470409393,ɛ,BR,i,BR47
2950,0.022842705249786377,ɛ̃,BR,i,BR47
2942,0.010912420228123665,ø,BR,i,BR47
2943,0.006075224839150906,œ,BR,i,BR47
2944,0.11725340038537979,a,BR,i,BR47
2945,0.013433778658509254,ɑ̃,BR,i,BR47
2946,0.020718293264508247,o,BR,i,BR47
2947,0.018524890765547752,ɔ,BR,i,BR47
2948,0.01785893924534321,ɔ̃,BR,i,BR47
2949,0.03585505113005638,u,BR,i,BR47
9230,0.1763407588005066,i,BR,i,BR496
9231,0.07896240800619125,y,BR,i,BR496
9232,0.34770748019218445,e,BR,i,BR496
9233,0.08932378888130188,ɛ,BR,i,BR496
9242,0.03448769822716713,ɛ̃,BR,i,BR496
9234,0.034638937562704086,ø,BR,i,BR496
9235,0.011990210972726345,œ,BR,i,BR496
9236,0.07808753848075867,a,BR,i,BR496
9237,0.0214890968054533,ɑ̃,BR,i,BR496
9238,0.03851421922445297,o,BR,i,BR496
9239,0.016207944601774216,ɔ,BR,i,BR496
9240,0.03533853963017464,ɔ̃,BR,i,BR496
9241,0.0369112454354763,u,BR,i,BR496
9880,0.1630922555923462,i,BR,i,BR741
9881,0.07667166739702225,y,BR,i,BR741
9882,0.15906991064548492,e,BR,i,BR741
9883,0.12680070102214813,ɛ,BR,i,BR741
9892,0.045728035271167755,ɛ̃,BR,i,BR741
9884,0.04595663398504257,ø,BR,i,BR741
9885,0.035011086612939835,œ,BR,i,BR741
9886,0.08973407000303268,a,BR,i,BR741
9887,0.03555561229586601,ɑ̃,BR,i,BR741
9888,0.05238867923617363,o,BR,i,BR741
9889,0.0421864278614521,ɔ,BR,i,BR741
9890,0.07569622248411179,ɔ̃,BR,i,BR741
9891,0.05210869386792183,u,BR,i,BR741
11258,0.22670629620552063,i,BR,i,BR742
11259,0.06001502647995949,y,BR,i,BR742
11260,0.1406869739294052,e,BR,i,BR742
11261,0.17421211302280426,ɛ,BR,i,BR742
11270,0.029377073049545288,ɛ̃,BR,i,BR742
11262,0.020559465512633324,ø,BR,i,BR742
11263,0.012288227677345276,œ,BR,i,BR742
11264,0.19805219769477844,a,BR,i,BR742
11265,0.024343615397810936,ɑ̃,BR,i,BR742
11266,0.02867572009563446,o,BR,i,BR742
11267,0.02214151620864868,ɔ,BR,i,BR742
11268,0.029684308916330338,ɔ̃,BR,i,BR742
11269,0.03325759246945381,u,BR,i,BR742
8775,0.3955053985118866,i,BR,i,BR757
8776,0.10045915096998215,y,BR,i,BR757
8777,0.16298818588256836,e,BR,i,BR757
8778,0.14658497273921967,ɛ,BR,i,BR757
8787,0.01784340851008892,ɛ̃,BR,i,BR757
8779,0.01688690483570099,ø,BR,i,BR757
8780,0.010863145813345909,œ,BR,i,BR757
8781,0.05504394322633743,a,BR,i,BR757
8782,0.016432465985417366,ɑ̃,BR,i,BR757
