,probabilities,classification,language,vowel,file
1488,0.12713214755058289,i,BR,i,BR132
1482,0.07588165253400803,y,BR,i,BR132
1486,0.09296362847089767,e,BR,i,BR132
1493,0.08391134440898895,ɛ,BR,i,BR132
1484,0.06237664818763733,ɛ̃,BR,i,BR132
1494,0.1122228279709816,ø,BR,i,BR132
1489,0.02072969824075699,œ,BR,i,BR132
1492,0.18191398680210114,a,BR,i,BR132
1485,0.05805012211203575,ɑ̃,BR,i,BR132
1487,0.057389579713344574,o,BR,i,BR132
1491,0.023507753387093544,ɔ,BR,i,BR132
1490,0.037792958319187164,ɔ̃,BR,i,BR132
1483,0.06612761318683624,u,BR,i,BR132
929,0.12711453437805176,i,BR,i,BR329
923,0.07589197903871536,y,BR,i,BR329
927,0.09296706318855286,e,BR,i,BR329
934,0.08391828835010529,ɛ,BR,i,BR329
925,0.06238942593336105,ɛ̃,BR,i,BR329
935,0.11221499741077423,ø,BR,i,BR329
930,0.020739007741212845,œ,BR,i,BR329
933,0.18183468282222748,a,BR,i,BR329
926,0.058062903583049774,ɑ̃,BR,i,BR329
928,0.05740265175700188,o,BR,i,BR329
932,0.023517951369285583,ɔ,BR,i,BR329
931,0.03780531510710716,ɔ̃,BR,i,BR329
924,0.06614115834236145,u,BR,i,BR329
7806,0.12712612748146057,i,BR,i,BR373
7800,0.07588499784469604,y,BR,i,BR373
7804,0.09296489506959915,e,BR,i,BR373
7811,0.08391376584768295,ɛ,BR,i,BR373
7802,0.062381304800510406,ɛ̃,BR,i,BR373
7812,0.11221922934055328,ø,BR,i,BR373
7807,0.02073298767209053,œ,BR,i,BR373
7810,0.18188594281673431,a,BR,i,BR373
7803,0.05805489793419838,ɑ̃,BR,i,BR373
7805,0.057394303381443024,o,BR,i,BR373
7809,0.023511124774813652,ɔ,BR,i,BR373
7808,0.03779693692922592,ɔ̃,BR,i,BR373
7801,0.06613355875015259,u,BR,i,BR373
5583,0.12712152302265167,i,BR,i,BR374
5577,0.07588803768157959,y,BR,i,BR374
5581,0.09296577423810959,e,BR,i,BR374
5588,0.08391585201025009,ɛ,BR,i,BR374
5579,0.06238427758216858,ɛ̃,BR,i,BR374
5589,0.1122177317738533,ø,BR,i,BR374
5584,0.020735714584589005,œ,BR,i,BR374
5587,0.18186408281326294,a,BR,i,BR374
5580,0.05805855616927147,ɑ̃,BR,i,BR374
5582,0.05739791691303253,o,BR,i,BR374
5586,0.023513861000537872,ɔ,BR,i,BR374
5585,0.037800468504428864,ɔ̃,BR,i,BR374
5578,0.0661362037062645,u,BR,i,BR374
12655,0.12712502479553223,i,BR,i,BR375
12649,0.07588549703359604,y,BR,i,BR375
12653,0.0929654985666275,e,BR,i,BR375
12660,0.08391367644071579,ɛ,BR,i,BR375
12651,0.062381237745285034,ɛ̃,BR,i,BR375
12661,0.11221911013126373,ø,BR,i,BR375
12656,0.020733123645186424,œ,BR,i,BR375
12659,0.1818857491016388,a,BR,i,BR375
12652,0.058054398745298386,ɑ̃,BR,i,BR375
12654,0.05739380419254303,o,BR,i,BR375
12658,0.023511279374361038,ɔ,BR,i,BR375
12657,0.03779804706573486,ɔ̃,BR,i,BR375
12650,0.06613348424434662,u,BR,i,BR375
2268,0.12712183594703674,i,BR,i,BR452
2262,0.07588823139667511,y,BR,i,BR452
2266,0.09296531230211258,e,BR,i,BR452
2273,0.08391541987657547,ɛ,BR,i,BR452
2264,0.06238443776965141,ɛ̃,BR,i,BR452
2274,0.11221802234649658,ø,BR,i,BR452
2269,0.020735610276460648,œ,BR,i,BR452
2272,0.18186454474925995,a,BR,i,BR452
2265,0.058057814836502075,ɑ̃,BR,i,BR452
2267,0.05739806219935417,o,BR,i,BR452
2271,0.023514099419116974,ɔ,BR,i,BR452
2270,0.037800274789333344,ɔ̃,BR,i,BR452
2263,0.06613637506961823,u,BR,i,BR452
1228,0.1271197348833084,i,BR,i,BR454
1222,0.07588870823383331,y,BR,i,BR454
1226,0.09296590089797974,e,BR,i,BR454
1233,0.08391658961772919,ɛ,BR,i,BR454
1224,0.062385786324739456,ɛ̃,BR,i,BR454
1234,0.11221616715192795,ø,BR,i,BR454
1229,0.020736532285809517,œ,BR,i,BR454
1232,0.18185876309871674,a,BR,i,BR454
1225,0.05805907025933266,ɑ̃,BR,i,BR454
1227,0.05739929899573326,o,BR,i,BR454
1231,0.02351478673517704,ɔ,BR,i,BR454
1230,0.037801384925842285,ɔ̃,BR,i,BR454
1223,0.06613729894161224,u,BR,i,BR454
8664,0.12712912261486053,i,BR,i,BR46
8658,0.07588331401348114,y,BR,i,BR46
8662,0.09296423941850662,e,BR,i,BR46
8669,0.08391318470239639,ɛ,BR,i,BR46
8660,0.06237706542015076,ɛ̃,BR,i,BR46
8670,0.1122201532125473,ø,BR,i,BR46
8665,0.02073047123849392,œ,BR,i,BR46
8668,0.18190965056419373,a,BR,i,BR46
8661,0.058051396161317825,ɑ̃,BR,i,BR46
8663,0.057390838861465454,o,BR,i,BR46
8667,0.02350826933979988,ɔ,BR,i,BR46
8666,0.03779321536421776,ɔ̃,BR,i,BR46
8659,0.06612905859947205,u,BR,i,BR46
10445,0.1271306872367859,i,BR,i,BR47
10439,0.07588193565607071,y,BR,i,BR47
10443,0.09296255558729172,e,BR,i,BR47
10450,0.08391165733337402,ɛ,BR,i,BR47
10441,0.06237688288092613,ɛ̃,BR,i,BR47
10451,0.11222155392169952,ø,BR,i,BR47
10446,0.020730093121528625,œ,BR,i,BR47
10449,0.18191467225551605,a,BR,i,BR47
10442,0.05805034190416336,ɑ̃,BR,i,BR47
10444,0.057389795780181885,o,BR,i,BR47
10448,0.023507842794060707,ɔ,BR,i,BR47
10447,0.037793103605508804,ɔ̃,BR,i,BR47
10440,0.06612886488437653,u,BR,i,BR47
9665,0.12712305784225464,i,BR,i,BR496
9659,0.07588721811771393,y,BR,i,BR496
9663,0.09296548366546631,e,BR,i,BR496
9670,0.08391429483890533,ɛ,BR,i,BR496
9661,0.06238313019275665,ɛ̃,BR,i,BR496
9671,0.11221908777952194,ø,BR,i,BR496
9666,0.020734384655952454,œ,BR,i,BR496
9669,0.1818746030330658,a,BR,i,BR496
9662,0.05805615335702896,ɑ̃,BR,i,BR496
9664,0.05739554390311241,o,BR,i,BR496
9668,0.0235127080231905,ɔ,BR,i,BR496
9667,0.03779890760779381,ɔ̃,BR,i,BR496
9660,0.06613548845052719,u,BR,i,BR496
8950,0.1271248757839203,i,BR,i,BR741
8944,0.07588598877191544,y,BR,i,BR741
8948,0.09296539425849915,e,BR,i,BR741
8955,0.08391422033309937,ɛ,BR,i,BR741
8946,0.06238211691379547,ɛ̃,BR,i,BR741
8956,0.11221812665462494,ø,BR,i,BR741
8951,0.020734047517180443,œ,BR,i,BR741
8954,0.18187998235225677,a,BR,i,BR741
8947,0.058055657893419266,ɑ̃,BR,i,BR741
8949,0.057395052164793015,o,BR,i,BR741
8953,0.023512328043580055,ɔ,BR,i,BR741
8952,0.03779829293489456,ɔ̃,BR,i,BR741
8945,0.06613391637802124,u,BR,i,BR741
1267,0.1271258443593979,i,BR,i,BR742
1261,0.07588482648134232,y,BR,i,BR742
1265,0.09296468645334244,e,BR,i,BR742
1272,0.08391357958316803,ɛ,BR,i,BR742
1263,0.06238117069005966,ɛ̃,BR,i,BR742
1273,0.11221898347139359,ø,BR,i,BR742
1268,0.02073294296860695,œ,BR,i,BR742
1271,0.18188831210136414,a,BR,i,BR742
1264,0.058053888380527496,ɑ̃,BR,i,BR742
1266,0.05739417299628258,o,BR,i,BR742
1270,0.023511074483394623,ɔ,BR,i,BR742
1269,0.03779714182019234,ɔ̃,BR,i,BR742
1262,0.06613340973854065,u,BR,i,BR742
9106,0.12712664902210236,i,BR,i,BR757
9100,0.07588531076908112,y,BR,i,BR757
9104,0.092965267598629,e,BR,i,BR757
9111,0.08391410857439041,ɛ,BR,i,BR757
9102,0.06237870082259178,ɛ̃,BR,i,BR757
9112,0.11222139745950699,ø,BR,i,BR757
9107,0.02073291316628456,œ,BR,i,BR757
9110,0.18189223110675812,a,BR,i,BR757
9103,0.05805203691124916,ɑ̃,BR,i,BR757
9105,0.05739234760403633,o,BR,i,BR757
9109,0.023511040955781937,ɔ,BR,i,BR757
9108,0.03779709339141846,ɔ̃,BR,i,BR757
9101,0.06613080203533173,u,BR,i,BR757
1774,0.12712514400482178,i,BR,i,BR796
1768,0.07588557153940201,y,BR,i,BR796
1772,0.09296559542417526,e,BR,i,BR796
1779,0.08391375839710236,ɛ,BR,i,BR796
1770,0.062380351126194,ɛ̃,BR,i,BR796
1780,0.11221922188997269,ø,BR,i,BR796
1775,0.020733144134283066,œ,BR,i,BR796
1778,0.18188592791557312,a,BR,i,BR796
