,probabilities,classification,language,vowel,file
3354,0.13922271132469177,i,BR,i,BR132
3355,0.017544828355312347,y,BR,i,BR132
3356,0.050849515944719315,e,BR,i,BR132
3357,0.022019920870661736,ɛ,BR,i,BR132
3366,0.48527348041534424,ɛ̃,BR,i,BR132
3358,0.013426232151687145,ø,BR,i,BR132
3359,0.01595422625541687,œ,BR,i,BR132
3360,0.16722367703914642,a,BR,i,BR132
3361,0.03998605161905289,ɑ̃,BR,i,BR132
3362,0.008011915720999241,o,BR,i,BR132
3363,0.006135917268693447,ɔ,BR,i,BR132
3364,0.018474459648132324,ɔ̃,BR,i,BR132
3365,0.01587701216340065,u,BR,i,BR132
2977,0.06789471209049225,i,BR,i,BR329
2978,0.014691395685076714,y,BR,i,BR329
2979,0.5380859971046448,e,BR,i,BR329
2980,0.03505278006196022,ɛ,BR,i,BR329
2989,0.17368119955062866,ɛ̃,BR,i,BR329
2981,0.032451171427965164,ø,BR,i,BR329
2982,0.004960082937031984,œ,BR,i,BR329
2983,0.0666254311800003,a,BR,i,BR329
2984,0.03687019646167755,ɑ̃,BR,i,BR329
2985,0.006374548189342022,o,BR,i,BR329
2986,0.014675411395728588,ɔ,BR,i,BR329
2987,0.0015440565766766667,ɔ̃,BR,i,BR329
2988,0.007093007676303387,u,BR,i,BR329
5733,0.42408081889152527,i,BR,i,BR373
5734,0.010202360339462757,y,BR,i,BR373
5735,0.02628323622047901,e,BR,i,BR373
5736,0.02321440353989601,ɛ,BR,i,BR373
5745,0.03585278242826462,ɛ̃,BR,i,BR373
5737,0.04605493322014809,ø,BR,i,BR373
5738,0.004712545778602362,œ,BR,i,BR373
5739,0.03158083185553551,a,BR,i,BR373
5740,0.017419718205928802,ɑ̃,BR,i,BR373
5741,0.15547886490821838,o,BR,i,BR373
5742,0.00868984218686819,ɔ,BR,i,BR373
5743,0.004004290793091059,ɔ̃,BR,i,BR373
5744,0.21242541074752808,u,BR,i,BR373
5460,0.11115717887878418,i,BR,i,BR374
5461,0.0345710813999176,y,BR,i,BR374
5462,0.22894372045993805,e,BR,i,BR374
5463,0.06994694471359253,ɛ,BR,i,BR374
5472,0.07557768374681473,ɛ̃,BR,i,BR374
5464,0.07398305088281631,ø,BR,i,BR374
5465,0.02477365732192993,œ,BR,i,BR374
5466,0.17529429495334625,a,BR,i,BR374
5467,0.038005899637937546,ɑ̃,BR,i,BR374
5468,0.06934607028961182,o,BR,i,BR374
5469,0.06438029557466507,ɔ,BR,i,BR374
5470,0.011982735246419907,ɔ̃,BR,i,BR374
5471,0.022037310525774956,u,BR,i,BR374
7371,0.012435485608875751,i,BR,i,BR375
7372,0.006199021358042955,y,BR,i,BR375
7373,0.893665075302124,e,BR,i,BR375
7374,0.009102599695324898,ɛ,BR,i,BR375
7383,0.022738629952073097,ɛ̃,BR,i,BR375
7375,0.014934591948986053,ø,BR,i,BR375
7376,0.0028998448979109526,œ,BR,i,BR375
7377,0.00514048058539629,a,BR,i,BR375
7378,0.011045381426811218,ɑ̃,BR,i,BR375
7379,0.006357942707836628,o,BR,i,BR375
7380,0.010352512821555138,ɔ,BR,i,BR375
7381,0.0022648009471595287,ɔ̃,BR,i,BR375
7382,0.0028638585936278105,u,BR,i,BR375
2236,0.18665990233421326,i,BR,i,BR452
2237,0.0446341298520565,y,BR,i,BR452
2238,0.011502943001687527,e,BR,i,BR452
2239,0.012185221537947655,ɛ,BR,i,BR452
2248,0.23677140474319458,ɛ̃,BR,i,BR452
2240,0.00398782966658473,ø,BR,i,BR452
2241,0.0023779626935720444,œ,BR,i,BR452
2242,0.11588219553232193,a,BR,i,BR452
2243,0.021604755893349648,ɑ̃,BR,i,BR452
2244,0.30172768235206604,o,BR,i,BR452
2245,0.027934523299336433,ɔ,BR,i,BR452
2246,0.00679902546107769,ɔ̃,BR,i,BR452
2247,0.02793237939476967,u,BR,i,BR452
10088,0.11328230053186417,i,BR,i,BR454
10089,0.033305224031209946,y,BR,i,BR454
10090,0.14579038321971893,e,BR,i,BR454
10091,0.022052349522709846,ɛ,BR,i,BR454
10100,0.13031551241874695,ɛ̃,BR,i,BR454
10092,0.035328369587659836,ø,BR,i,BR454
10093,0.0279086884111166,œ,BR,i,BR454
10094,0.026169613003730774,a,BR,i,BR454
10095,0.1558317095041275,ɑ̃,BR,i,BR454
10096,0.18984352052211761,o,BR,i,BR454
10097,0.004745871759951115,ɔ,BR,i,BR454
10098,0.06796440482139587,ɔ̃,BR,i,BR454
10099,0.04746202751994133,u,BR,i,BR454
3367,0.002937418408691883,i,BR,i,BR46
3368,0.0011235764250159264,y,BR,i,BR46
3369,0.931801974773407,e,BR,i,BR46
3370,0.005312853958457708,ɛ,BR,i,BR46
3379,0.017618343234062195,ɛ̃,BR,i,BR46
3371,0.0022720161359757185,ø,BR,i,BR46
3372,0.0015968517400324345,œ,BR,i,BR46
3373,0.003452931996434927,a,BR,i,BR46
3374,0.02914881706237793,ɑ̃,BR,i,BR46
3375,0.0009170083794742823,o,BR,i,BR46
3376,0.0017326868837699294,ɔ,BR,i,BR46
3377,0.000637744611594826,ɔ̃,BR,i,BR46
3378,0.0014479687670245767,u,BR,i,BR46
3965,0.1707742065191269,i,BR,i,BR47
3966,0.01526105310767889,y,BR,i,BR47
3967,0.057911451905965805,e,BR,i,BR47
3968,0.033565666526556015,ɛ,BR,i,BR47
3977,0.40951424837112427,ɛ̃,BR,i,BR47
3969,0.02097529172897339,ø,BR,i,BR47
3970,0.030900804325938225,œ,BR,i,BR47
3971,0.04284638538956642,a,BR,i,BR47
3972,0.05931803584098816,ɑ̃,BR,i,BR47
3973,0.018154779449105263,o,BR,i,BR47
3974,0.06905090063810349,ɔ,BR,i,BR47
3975,0.05389350652694702,ɔ̃,BR,i,BR47
3976,0.017833668738603592,u,BR,i,BR47
3289,0.44086170196533203,i,BR,i,BR496
3290,0.2015111744403839,y,BR,i,BR496
3291,0.2582852840423584,e,BR,i,BR496
3292,0.002352697541937232,ɛ,BR,i,BR496
3301,0.022047225385904312,ɛ̃,BR,i,BR496
3293,0.007501809857785702,ø,BR,i,BR496
3294,0.0012235422618687153,œ,BR,i,BR496
3295,0.02713530883193016,a,BR,i,BR496
3296,0.0077234781347215176,ɑ̃,BR,i,BR496
3297,0.02078619971871376,o,BR,i,BR496
3298,0.0011926894076168537,ɔ,BR,i,BR496
3299,0.0009869919158518314,ɔ̃,BR,i,BR496
3300,0.008391911163926125,u,BR,i,BR496
6110,0.0024826466105878353,i,BR,i,BR741
6111,0.001126726041547954,y,BR,i,BR741
6112,0.8894826173782349,e,BR,i,BR741
6113,0.0032647892367094755,ɛ,BR,i,BR741
6122,0.028756050392985344,ɛ̃,BR,i,BR741
6114,0.005676367785781622,ø,BR,i,BR741
6115,0.004913876298815012,œ,BR,i,BR741
6116,0.0034659765660762787,a,BR,i,BR741
6117,0.03313900902867317,ɑ̃,BR,i,BR741
6118,0.016841987147927284,o,BR,i,BR741
6119,0.008591858670115471,ɔ,BR,i,BR741
6120,0.0005310048582032323,ɔ̃,BR,i,BR741
6121,0.0017271351534873247,u,BR,i,BR741
9009,0.23086467385292053,i,BR,i,BR742
9010,0.004438391420990229,y,BR,i,BR742
