,probabilities,classification,language,vowel,file
3360,0.9997817873954773,i,BR,i,BR132
3354,1.5523133356509788e-07,y,BR,i,BR132
3358,3.24764296237845e-05,e,BR,i,BR132
3365,1.0781804604675926e-07,ɛ,BR,i,BR132
3356,1.751864874677267e-05,ɛ̃,BR,i,BR132
3366,1.1623767477431102e-06,ø,BR,i,BR132
3361,2.1855080944988003e-07,œ,BR,i,BR132
3364,0.00016013288404792547,a,BR,i,BR132
3357,2.3191523723653518e-06,ɑ̃,BR,i,BR132
3359,1.92646257346496e-06,o,BR,i,BR132
3363,5.780582910119847e-07,ɔ,BR,i,BR132
3362,3.9224551073857583e-07,ɔ̃,BR,i,BR132
3355,1.1492555813674699e-06,u,BR,i,BR132
2983,0.004204499535262585,i,BR,i,BR329
2977,0.006285607349127531,y,BR,i,BR329
2981,0.011029144749045372,e,BR,i,BR329
2988,0.0004152043256908655,ɛ,BR,i,BR329
2979,0.001072644954547286,ɛ̃,BR,i,BR329
2989,0.0011676809517666698,ø,BR,i,BR329
2984,0.0002975923998747021,œ,BR,i,BR329
2987,0.003545300802215934,a,BR,i,BR329
2980,0.004179585259407759,ɑ̃,BR,i,BR329
2982,0.9575791954994202,o,BR,i,BR329
2986,0.005122536793351173,ɔ,BR,i,BR329
2985,7.258012919919565e-05,ɔ̃,BR,i,BR329
2978,0.005028480663895607,u,BR,i,BR329
5739,0.09521593898534775,i,BR,i,BR373
5733,0.001692608231678605,y,BR,i,BR373
5737,0.012101653963327408,e,BR,i,BR373
5744,0.0056669139303267,ɛ,BR,i,BR373
5735,0.23475012183189392,ɛ̃,BR,i,BR373
5745,0.046262435615062714,ø,BR,i,BR373
5740,0.0059569356963038445,œ,BR,i,BR373
5743,0.019332488998770714,a,BR,i,BR373
5736,0.0033061376307159662,ɑ̃,BR,i,BR373
5738,0.5480386018753052,o,BR,i,BR373
5742,0.006059983745217323,ɔ,BR,i,BR373
5741,0.0018067826749756932,ɔ̃,BR,i,BR373
5734,0.01980937458574772,u,BR,i,BR373
5466,0.08179237693548203,i,BR,i,BR374
5460,0.011811391450464725,y,BR,i,BR374
5464,0.09914941340684891,e,BR,i,BR374
5471,0.0005786726833321154,ɛ,BR,i,BR374
5462,0.03949672728776932,ɛ̃,BR,i,BR374
5472,0.005502957850694656,ø,BR,i,BR374
5467,0.002020999090746045,œ,BR,i,BR374
5470,0.011805625632405281,a,BR,i,BR374
5463,0.010054069571197033,ɑ̃,BR,i,BR374
5465,0.6736253499984741,o,BR,i,BR374
5469,0.015317529439926147,ɔ,BR,i,BR374
5468,0.002445278689265251,ɔ̃,BR,i,BR374
5461,0.046399541199207306,u,BR,i,BR374
7377,0.9975935816764832,i,BR,i,BR375
7371,3.649829886853695e-05,y,BR,i,BR375
7375,0.0004594061756506562,e,BR,i,BR375
7382,4.242024806444533e-05,ɛ,BR,i,BR375
7373,0.0004963576793670654,ɛ̃,BR,i,BR375
7383,2.4171065888367593e-05,ø,BR,i,BR375
7378,1.6460111510241404e-05,œ,BR,i,BR375
7381,0.00024456653045490384,a,BR,i,BR375
7374,0.0003613080480135977,ɑ̃,BR,i,BR375
7376,7.863711653044447e-05,o,BR,i,BR375
7380,0.0005496358498930931,ɔ,BR,i,BR375
7379,3.652504165074788e-05,ɔ̃,BR,i,BR375
7372,6.040182779543102e-05,u,BR,i,BR375
2242,0.008682385087013245,i,BR,i,BR452
2236,8.953269571065903e-05,y,BR,i,BR452
2240,0.9485315084457397,e,BR,i,BR452
2247,0.0006477969000115991,ɛ,BR,i,BR452
2238,0.009167767129838467,ɛ̃,BR,i,BR452
2248,0.02131212130188942,ø,BR,i,BR452
2243,0.00021457468392327428,œ,BR,i,BR452
2246,0.006548309698700905,a,BR,i,BR452
2239,0.0011798660270869732,ɑ̃,BR,i,BR452
2241,0.0026950177270919085,o,BR,i,BR452
2245,0.00012298695219215006,ɔ,BR,i,BR452
2244,0.00015915207040961832,ɔ̃,BR,i,BR452
2237,0.0006487861392088234,u,BR,i,BR452
10094,0.014948302879929543,i,BR,i,BR454
10088,0.0055071511305868626,y,BR,i,BR454
