,probabilities,classification,language,vowel,file
8251,0.9456515312194824,i,BR,i,BR132
8257,0.03806307166814804,ɪ,BR,i,BR132
8250,0.01399612333625555,eɪ,BR,i,BR132
8256,0.0008448783773928881,ɛ,BR,i,BR132
8254,0.00023340991174336523,æ,BR,i,BR132
8255,3.479952283669263e-05,ɑ,BR,i,BR132
8259,2.127309016941581e-05,ʌ,BR,i,BR132
8252,0.00016980606596916914,oʊ,BR,i,BR132
8253,0.0006641804939135909,u,BR,i,BR132
8258,0.0003207324189133942,ʊ,BR,i,BR132
7411,0.09063990414142609,i,BR,i,BR329
7417,0.18482863903045654,ɪ,BR,i,BR329
7410,0.019545286893844604,eɪ,BR,i,BR329
7416,0.022709332406520844,ɛ,BR,i,BR329
7414,0.010368645191192627,æ,BR,i,BR329
7415,0.008394915610551834,ɑ,BR,i,BR329
7419,0.06310783326625824,ʌ,BR,i,BR329
7412,0.033476829528808594,oʊ,BR,i,BR329
7413,0.2968766391277313,u,BR,i,BR329
7418,0.2700519859790802,ʊ,BR,i,BR329
8511,0.5888957381248474,i,BR,i,BR373
8517,0.3515288531780243,ɪ,BR,i,BR373
8510,0.016110893338918686,eɪ,BR,i,BR373
8516,0.0020184763707220554,ɛ,BR,i,BR373
8514,9.316016803495586e-05,æ,BR,i,BR373
8515,2.984269849548582e-05,ɑ,BR,i,BR373
8519,0.0005508451140485704,ʌ,BR,i,BR373
8512,0.0004156024951953441,oʊ,BR,i,BR373
8513,0.027857325971126556,u,BR,i,BR373
8518,0.012499322183430195,ʊ,BR,i,BR373
7631,0.5808290243148804,i,BR,i,BR374
7637,0.0692555159330368,ɪ,BR,i,BR374
7630,0.00643951864913106,eɪ,BR,i,BR374
7636,0.004959986545145512,ɛ,BR,i,BR374
7634,0.0004778903676196933,æ,BR,i,BR374
7635,0.00018742003885563463,ɑ,BR,i,BR374
7639,0.004228785168379545,ʌ,BR,i,BR374
7632,0.002131611341610551,oʊ,BR,i,BR374
7633,0.23416943848133087,u,BR,i,BR374
7638,0.0973208025097847,ʊ,BR,i,BR374
7761,0.7020289301872253,i,BR,i,BR375
7767,0.19527317583560944,ɪ,BR,i,BR375
7760,0.024501409381628036,eɪ,BR,i,BR375
7766,0.014453927055001259,ɛ,BR,i,BR375
7764,0.0019170204177498817,æ,BR,i,BR375
7765,0.001285645877942443,ɑ,BR,i,BR375
7769,0.01331977266818285,ʌ,BR,i,BR375
7762,0.002661104081198573,oʊ,BR,i,BR375
7763,0.02139843814074993,u,BR,i,BR375
7768,0.02316058613359928,ʊ,BR,i,BR375
7491,0.6404055953025818,i,BR,i,BR452
7497,0.1483653336763382,ɪ,BR,i,BR452
7490,0.04512450098991394,eɪ,BR,i,BR452
7496,0.007778720464557409,ɛ,BR,i,BR452
7494,0.0006779019022360444,æ,BR,i,BR452
7495,0.0008013161714188755,ɑ,BR,i,BR452
7499,0.007407777011394501,ʌ,BR,i,BR452
7492,0.0023526805453002453,oʊ,BR,i,BR452
7493,0.12135688215494156,u,BR,i,BR452
7498,0.025729328393936157,ʊ,BR,i,BR452
7171,0.060273706912994385,i,BR,i,BR454
7177,0.8672500848770142,ɪ,BR,i,BR454
7170,0.0007787509821355343,eɪ,BR,i,BR454
7176,0.0040318104438483715,ɛ,BR,i,BR454
7174,2.269111246278044e-05,æ,BR,i,BR454
7175,2.1210303202678915e-06,ɑ,BR,i,BR454
7179,0.0005109916091896594,ʌ,BR,i,BR454
7172,0.0001949281431734562,oʊ,BR,i,BR454
7173,0.05028042569756508,u,BR,i,BR454
7178,0.016654523089528084,ʊ,BR,i,BR454
7791,0.9095129370689392,i,BR,i,BR46
7797,0.04413021728396416,ɪ,BR,i,BR46
7790,0.03208943083882332,eɪ,BR,i,BR46
7796,0.007952629588544369,ɛ,BR,i,BR46
7794,3.533648850861937e-05,æ,BR,i,BR46
7795,8.052224984567147e-06,ɑ,BR,i,BR46
7799,8.230660750996321e-05,ʌ,BR,i,BR46
7792,0.00013559250510297716,oʊ,BR,i,BR46
7793,0.004504968412220478,u,BR,i,BR46
7798,0.001548444270156324,ʊ,BR,i,BR46
7901,0.9167987704277039,i,BR,i,BR47
7907,0.03831854835152626,ɪ,BR,i,BR47
7900,0.01713663712143898,eɪ,BR,i,BR47
7906,0.0017630783841013908,ɛ,BR,i,BR47
7904,0.0005264184437692165,æ,BR,i,BR47
7905,5.8440116845304146e-05,ɑ,BR,i,BR47
7909,0.00042330671567469835,ʌ,BR,i,BR47
7902,0.0006021728622727096,oʊ,BR,i,BR47
7903,0.01700453832745552,u,BR,i,BR47
7908,0.007368064951151609,ʊ,BR,i,BR47
7301,0.6358625888824463,i,BR,i,BR496
7307,0.2774258255958557,ɪ,BR,i,BR496
7300,0.016497358679771423,eɪ,BR,i,BR496
7306,0.04690096154808998,ɛ,BR,i,BR496
7304,9.000443242257461e-05,æ,BR,i,BR496
7305,2.1701331206713803e-05,ɑ,BR,i,BR496
7309,0.0005467318696901202,ʌ,BR,i,BR496
7302,0.00017598166596144438,oʊ,BR,i,BR496
7303,0.012536418624222279,u,BR,i,BR496
7308,0.00994238629937172,ʊ,BR,i,BR496
7571,0.588847279548645,i,BR,i,BR741
7577,0.057398270815610886,ɪ,BR,i,BR741
7570,0.08380182087421417,eɪ,BR,i,BR741
7576,0.08673003315925598,ɛ,BR,i,BR741
7574,9.008756023831666e-05,æ,BR,i,BR741
7575,8.578828419558704e-05,ɑ,BR,i,BR741
7579,0.0016714740777388215,ʌ,BR,i,BR741
7572,0.0013806591741740704,oʊ,BR,i,BR741
7573,0.1505541354417801,u,BR,i,BR741
7578,0.029440440237522125,ʊ,BR,i,BR741
8321,0.9718851447105408,i,BR,i,BR742
8327,0.024127976968884468,ɪ,BR,i,BR742
8320,0.0015416051028296351,eɪ,BR,i,BR742
8326,0.00017226293857675046,ɛ,BR,i,BR742
8324,6.510180355689954e-06,æ,BR,i,BR742
8325,1.4838242350379005e-06,ɑ,BR,i,BR742
8329,2.7517025955603458e-05,ʌ,BR,i,BR742
8322,1.6823563782963902e-05,oʊ,BR,i,BR742
8323,0.0017735129222273827,u,BR,i,BR742
8328,0.00044710698421113193,ʊ,BR,i,BR742
7811,0.18956677615642548,i,BR,i,BR757
7817,0.740851104259491,ɪ,BR,i,BR757
7810,0.0049811373464763165,eɪ,BR,i,BR757
7816,0.03749004006385803,ɛ,BR,i,BR757
7814,0.00011064585851272568,æ,BR,i,BR757
7815,1.7679278244031593e-05,ɑ,BR,i,BR757
7819,0.000607790716458112,ʌ,BR,i,BR757
7812,0.000338254205416888,oʊ,BR,i,BR757
7813,0.01519631315022707,u,BR,i,BR757
7818,0.010840281844139099,ʊ,BR,i,BR757
6731,0.38109931349754333,i,BR,i,BR796
6737,0.5080021619796753,ɪ,BR,i,BR796
6730,0.004809763748198748,eɪ,BR,i,BR796
6736,0.07992733269929886,ɛ,BR,i,BR796
6734,0.0004788337682839483,æ,BR,i,BR796
6735,0.0001070710422936827,ɑ,BR,i,BR796
6739,0.0010819114977493882,ʌ,BR,i,BR796
6732,0.0018126567592844367,oʊ,BR,i,BR796
6733,0.014728217385709286,u,BR,i,BR796
6738,0.007952687330543995,ʊ,BR,i,BR796
7651,0.9365848898887634,i,BR,i,BR99
7657,0.05184429511427879,ɪ,BR,i,BR99
7650,0.009620165452361107,eɪ,BR,i,BR99
7656,0.0009108450030907989,ɛ,BR,i,BR99
7654,8.287510718218982e-05,æ,BR,i,BR99
7655,7.680861926928628e-06,ɑ,BR,i,BR99
7659,5.574729584623128e-06,ʌ,BR,i,BR99
7652,4.2526320612523705e-05,oʊ,BR,i,BR99
7653,0.000733115361072123,u,BR,i,BR99
7658,0.00016802267055027187,ʊ,BR,i,BR99
7331,0.8526008725166321,i,BR,i,BR992
7337,0.1235012337565422,ɪ,BR,i,BR992
7330,0.003728166688233614,eɪ,BR,i,BR992
7336,0.0038389915134757757,ɛ,BR,i,BR992
7334,2.823178147082217e-05,æ,BR,i,BR992
7335,1.4311877748696133e-05,ɑ,BR,i,BR992
7339,0.00032032380113378167,ʌ,BR,i,BR992
7332,6.391131319105625e-05,oʊ,BR,i,BR992
7333,0.009041746146976948,u,BR,i,BR992
7338,0.0068620541132986546,ʊ,BR,i,BR992
7821,0.8940395712852478,i,BR,ĩ,BR1025
7827,0.08056389540433884,ɪ,BR,ĩ,BR1025
7820,0.012962854467332363,eɪ,BR,ĩ,BR1025
7826,0.004140710458159447,ɛ,BR,ĩ,BR1025
7824,0.0010571707971394062,æ,BR,ĩ,BR1025
7825,0.00026137393433600664,ɑ,BR,ĩ,BR1025
7829,0.0008501441916450858,ʌ,BR,ĩ,BR1025
7822,0.00039912734064273536,oʊ,BR,ĩ,BR1025
7823,0.003537330310791731,u,BR,ĩ,BR1025
7828,0.002187864389270544,ʊ,BR,ĩ,BR1025
7031,0.9241753220558167,i,BR,ĩ,BR1029
7037,0.04843306541442871,ɪ,BR,ĩ,BR1029
7030,0.014601124450564384,eɪ,BR,ĩ,BR1029
7036,0.0050468435510993,ɛ,BR,ĩ,BR1029
7034,0.001569181215018034,æ,BR,ĩ,BR1029
7035,0.0006722472608089447,ɑ,BR,ĩ,BR1029
7039,0.000292668875772506,ʌ,BR,ĩ,BR1029
7032,0.001421885215677321,oʊ,BR,ĩ,BR1029
7033,0.0029273375403136015,u,BR,ĩ,BR1029
7038,0.0008604645845480263,ʊ,BR,ĩ,BR1029
7801,0.8231694102287292,i,BR,ĩ,BR154
7807,0.031779564917087555,ɪ,BR,ĩ,BR154
7800,0.07768507301807404,eɪ,BR,ĩ,BR154
7806,0.002276050392538309,ɛ,BR,ĩ,BR154
7804,0.026676442474126816,æ,BR,ĩ,BR154
7805,0.003482142696157098,ɑ,BR,ĩ,BR154
7809,0.0004439492186065763,ʌ,BR,ĩ,BR154
7802,0.01565820910036564,oʊ,BR,ĩ,BR154
7803,0.012468808330595493,u,BR,ĩ,BR154
7808,0.00636035343632102,ʊ,BR,ĩ,BR154
7521,0.9394819736480713,i,BR,ĩ,BR158
7527,0.02476724050939083,ɪ,BR,ĩ,BR158
7520,0.01665296033024788,eɪ,BR,ĩ,BR158
7526,0.004005937371402979,ɛ,BR,ĩ,BR158
7524,0.005125301890075207,æ,BR,ĩ,BR158
7525,0.00034281672560609877,ɑ,BR,ĩ,BR158
7529,0.0005804015090689063,ʌ,BR,ĩ,BR158
7522,0.0007070003193803132,oʊ,BR,ĩ,BR158
7523,0.006954749580472708,u,BR,ĩ,BR158
7528,0.0013815232086926699,ʊ,BR,ĩ,BR158
8541,0.528915286064148,i,BR,ĩ,BR159
8547,0.07575790584087372,ɪ,BR,ĩ,BR159
8540,0.12155834585428238,eɪ,BR,ĩ,BR159
8546,0.033868446946144104,ɛ,BR,ĩ,BR159
8544,0.1215021163225174,æ,BR,ĩ,BR159
8545,0.011264483444392681,ɑ,BR,ĩ,BR159
8549,0.002510354621335864,ʌ,BR,ĩ,BR159
8542,0.04563562944531441,oʊ,BR,ĩ,BR159
