,probabilities,classification,language,vowel,file
8251,0.8992511034011841,i,BR,i,BR132
8257,0.06755156815052032,ɪ,BR,i,BR132
8250,0.017073238268494606,eɪ,BR,i,BR132
8256,0.009474028833210468,ɛ,BR,i,BR132
8254,0.0003447993367444724,æ,BR,i,BR132
8255,0.0001604969729669392,ɑ,BR,i,BR132
8259,0.0002755539317149669,ʌ,BR,i,BR132
8252,0.0007471907883882523,oʊ,BR,i,BR132
8253,0.003793055424466729,u,BR,i,BR132
8258,0.0013290379429236054,ʊ,BR,i,BR132
7411,0.1081027239561081,i,BR,i,BR329
7417,0.46884864568710327,ɪ,BR,i,BR329
7410,0.000680752273183316,eɪ,BR,i,BR329
7416,0.007425860967487097,ɛ,BR,i,BR329
7414,0.002913330215960741,æ,BR,i,BR329
7415,0.0008934535435400903,ɑ,BR,i,BR329
7419,0.0100626852363348,ʌ,BR,i,BR329
7412,0.015093748457729816,oʊ,BR,i,BR329
7413,0.24954994022846222,u,BR,i,BR329
7418,0.1364290416240692,ʊ,BR,i,BR329
8511,0.49825841188430786,i,BR,i,BR373
8517,0.4422328770160675,ɪ,BR,i,BR373
8510,0.004103994462639093,eɪ,BR,i,BR373
8516,0.0020855055190622807,ɛ,BR,i,BR373
8514,1.4986903806857299e-05,æ,BR,i,BR373
8515,2.3168448024080135e-05,ɑ,BR,i,BR373
8519,0.0010401312028989196,ʌ,BR,i,BR373
8512,0.001242643455043435,oʊ,BR,i,BR373
8513,0.033683206886053085,u,BR,i,BR373
8518,0.017315072938799858,ʊ,BR,i,BR373
7631,0.5768954753875732,i,BR,i,BR374
7637,0.2967971861362457,ɪ,BR,i,BR374
7630,0.0005352440057322383,eɪ,BR,i,BR374
7636,0.0027132828254252672,ɛ,BR,i,BR374
7634,5.919327668379992e-05,æ,BR,i,BR374
7635,2.5210865715052933e-05,ɑ,BR,i,BR374
7639,0.0009213146404363215,ʌ,BR,i,BR374
7632,0.0005774725577794015,oʊ,BR,i,BR374
7633,0.0845758244395256,u,BR,i,BR374
7638,0.036899667233228683,ʊ,BR,i,BR374
7761,0.8722835779190063,i,BR,i,BR375
7767,0.09433629363775253,ɪ,BR,i,BR375
7760,0.006852736230939627,eɪ,BR,i,BR375
7766,0.010655408725142479,ɛ,BR,i,BR375
7764,0.00046961146290414035,æ,BR,i,BR375
7765,0.0003626115503720939,ɑ,BR,i,BR375
7769,0.0030517997220158577,ʌ,BR,i,BR375
7762,0.0006194409797899425,oʊ,BR,i,BR375
7763,0.007052547764033079,u,BR,i,BR375
7768,0.004316020756959915,ʊ,BR,i,BR375
7491,0.522855818271637,i,BR,i,BR452
7497,0.3535331189632416,ɪ,BR,i,BR452
7490,0.01899479515850544,eɪ,BR,i,BR452
7496,0.011393187567591667,ɛ,BR,i,BR452
7494,0.0007062394288368523,æ,BR,i,BR452
7495,0.0011704814387485385,ɑ,BR,i,BR452
7499,0.012477821670472622,ʌ,BR,i,BR452
7492,0.0054667252115905285,oʊ,BR,i,BR452
7493,0.05047406628727913,u,BR,i,BR452
7498,0.02292773686349392,ʊ,BR,i,BR452
7171,0.13791082799434662,i,BR,i,BR454
7177,0.7966766953468323,ɪ,BR,i,BR454
7170,0.002313102362677455,eɪ,BR,i,BR454
7176,0.004449998028576374,ɛ,BR,i,BR454
7174,4.4685839384328574e-05,æ,BR,i,BR454
7175,8.905012123250344e-07,ɑ,BR,i,BR454
7179,0.0005952254286967218,ʌ,BR,i,BR454
7172,0.0001638302783248946,oʊ,BR,i,BR454
7173,0.0509149543941021,u,BR,i,BR454
7178,0.0069298697635531425,ʊ,BR,i,BR454
7791,0.8766940236091614,i,BR,i,BR46
7797,0.06575611233711243,ɪ,BR,i,BR46
7790,0.027323158457875252,eɪ,BR,i,BR46
7796,0.02637394331395626,ɛ,BR,i,BR46
7794,1.96539858734468e-05,æ,BR,i,BR46
7795,3.2729224130889634e-06,ɑ,BR,i,BR46
7799,0.00016631334437988698,ʌ,BR,i,BR46
7792,7.14174602762796e-05,oʊ,BR,i,BR46
7793,0.0028708509635180235,u,BR,i,BR46
7798,0.0007214528159238398,ʊ,BR,i,BR46
7901,0.9018091559410095,i,BR,i,BR47
7907,0.05244847759604454,ɪ,BR,i,BR47
7900,0.004985438194125891,eɪ,BR,i,BR47
7906,0.005691688973456621,ɛ,BR,i,BR47
7904,0.0003211813746020198,æ,BR,i,BR47
7905,4.557706415653229e-05,ɑ,BR,i,BR47
7909,0.0011856736382469535,ʌ,BR,i,BR47
7902,0.0016699912957847118,oʊ,BR,i,BR47
7903,0.025291740894317627,u,BR,i,BR47
7908,0.006551059894263744,ʊ,BR,i,BR47
7301,0.7684980630874634,i,BR,i,BR496
7307,0.18745537102222443,ɪ,BR,i,BR496
7300,0.017027372494339943,eɪ,BR,i,BR496
7306,0.022332001477479935,ɛ,BR,i,BR496
7304,2.0932087863911875e-05,æ,BR,i,BR496
7305,1.4936081242922228e-05,ɑ,BR,i,BR496
7309,0.00017112214118242264,ʌ,BR,i,BR496
7302,5.436287392512895e-05,oʊ,BR,i,BR496
7303,0.0035896901972591877,u,BR,i,BR496
7308,0.0008362549124285579,ʊ,BR,i,BR496
7571,0.5883603096008301,i,BR,i,BR741
7577,0.0846424251794815,ɪ,BR,i,BR741
7570,0.05821041017770767,eɪ,BR,i,BR741
7576,0.02774183265864849,ɛ,BR,i,BR741
7574,2.36404830502579e-05,æ,BR,i,BR741
7575,0.00016910188423935324,ɑ,BR,i,BR741
7579,0.003446626476943493,ʌ,BR,i,BR741
7572,0.0015480596339330077,oʊ,BR,i,BR741
7573,0.19890765845775604,u,BR,i,BR741
7578,0.03694990277290344,ʊ,BR,i,BR741
8321,0.9663574695587158,i,BR,i,BR742
8327,0.03289647027850151,ɪ,BR,i,BR742
8320,9.518318256596103e-05,eɪ,BR,i,BR742
8326,0.00016314833192154765,ɛ,BR,i,BR742
8324,4.044524928303872e-07,æ,BR,i,BR742
8325,1.7543041508361057e-07,ɑ,BR,i,BR742
8329,1.2328142474871129e-05,ʌ,BR,i,BR742
8322,5.578568561759312e-06,oʊ,BR,i,BR742
8323,0.0003589552652556449,u,BR,i,BR742
8328,0.00011024249397451058,ʊ,BR,i,BR742
7811,0.3215142488479614,i,BR,i,BR757
7817,0.6003347039222717,ɪ,BR,i,BR757
7810,0.003778525860980153,eɪ,BR,i,BR757
7816,0.0629984587430954,ɛ,BR,i,BR757
7814,6.371542258420959e-05,æ,BR,i,BR757
7815,5.09267374582123e-06,ɑ,BR,i,BR757
7819,0.0006604471709579229,ʌ,BR,i,BR757
7812,4.036818791064434e-05,oʊ,BR,i,BR757
7813,0.0074347518384456635,u,BR,i,BR757
7818,0.0031696127261966467,ʊ,BR,i,BR757
6731,0.48320144414901733,i,BR,i,BR796
6737,0.43652281165122986,ɪ,BR,i,BR796
6730,0.005841175094246864,eɪ,BR,i,BR796
6736,0.04913386330008507,ɛ,BR,i,BR796
6734,0.0004021200293209404,æ,BR,i,BR796
6735,1.3136772395228036e-05,ɑ,BR,i,BR796
6739,0.00047995964996516705,ʌ,BR,i,BR796
6732,0.0016682494897395372,oʊ,BR,i,BR796
6733,0.01906159520149231,u,BR,i,BR796
6738,0.003675722051411867,ʊ,BR,i,BR796
7651,0.8588225245475769,i,BR,i,BR99
7657,0.12675148248672485,ɪ,BR,i,BR99
7650,0.008512618951499462,eɪ,BR,i,BR99
7656,0.0029066295828670263,ɛ,BR,i,BR99
7654,2.6649415303836577e-05,æ,BR,i,BR99
7655,5.612661880149972e-06,ɑ,BR,i,BR99
7659,2.163035242119804e-05,ʌ,BR,i,BR99
7652,6.485569610958919e-05,oʊ,BR,i,BR99
7653,0.0027300361543893814,u,BR,i,BR99
7658,0.0001579944510012865,ʊ,BR,i,BR99
7331,0.6896182894706726,i,BR,i,BR992
7337,0.27727973461151123,ɪ,BR,i,BR992
7330,0.006668225862085819,eɪ,BR,i,BR992
7336,0.0073335240595042706,ɛ,BR,i,BR992
7334,9.709990990813822e-06,æ,BR,i,BR992
7335,5.386378688854165e-06,ɑ,BR,i,BR992
7339,0.00042647041846066713,ʌ,BR,i,BR992
7332,9.745341230882332e-05,oʊ,BR,i,BR992
7333,0.015845268964767456,u,BR,i,BR992
7338,0.0027158919256180525,ʊ,BR,i,BR992
7821,0.9134358167648315,i,BR,ĩ,BR1025
7827,0.07261613011360168,ɪ,BR,ĩ,BR1025
7820,0.0024939398281276226,eɪ,BR,ĩ,BR1025
7826,0.003045064629986882,ɛ,BR,ĩ,BR1025
7824,6.175653834361583e-05,æ,BR,ĩ,BR1025
7825,4.002755304099992e-05,ɑ,BR,ĩ,BR1025
7829,0.0015565562061965466,ʌ,BR,ĩ,BR1025
7822,0.0006092984694987535,oʊ,BR,ĩ,BR1025
7823,0.004703697748482227,u,BR,ĩ,BR1025
7828,0.001437593949958682,ʊ,BR,ĩ,BR1025
7031,0.9286806583404541,i,BR,ĩ,BR1029
7037,0.024508710950613022,ɪ,BR,ĩ,BR1029
7030,0.035587236285209656,eɪ,BR,ĩ,BR1029
7036,0.0022862234618514776,ɛ,BR,ĩ,BR1029
7034,0.00037114130100235343,æ,BR,ĩ,BR1029
7035,0.0002301120839547366,ɑ,BR,ĩ,BR1029
7039,0.0002886549336835742,ʌ,BR,ĩ,BR1029
7032,0.003375184955075383,oʊ,BR,ĩ,BR1029
7033,0.0036030153278261423,u,BR,ĩ,BR1029
7038,0.001069196849130094,ʊ,BR,ĩ,BR1029
7801,0.6877751350402832,i,BR,ĩ,BR154
7807,0.08046799153089523,ɪ,BR,ĩ,BR154
7800,0.06046545132994652,eɪ,BR,ĩ,BR154
7806,0.014677056111395359,ɛ,BR,ĩ,BR154
7804,0.004614151548594236,æ,BR,ĩ,BR154
7805,0.015599940903484821,ɑ,BR,ĩ,BR154
7809,0.009994116611778736,ʌ,BR,ĩ,BR154
7802,0.06478355824947357,oʊ,BR,ĩ,BR154
7803,0.037787582725286484,u,BR,ĩ,BR154
7808,0.023835016414523125,ʊ,BR,ĩ,BR154
7521,0.8447152972221375,i,BR,ĩ,BR158
7527,0.05388419330120087,ɪ,BR,ĩ,BR158
7520,0.029982734471559525,eɪ,BR,ĩ,BR158
7526,0.012220979668200016,ɛ,BR,ĩ,BR158
7524,0.003750846954062581,æ,BR,ĩ,BR158
7525,0.002449360676109791,ɑ,BR,ĩ,BR158
7529,0.0030494111124426126,ʌ,BR,ĩ,BR158
7522,0.006797359324991703,oʊ,BR,ĩ,BR158
7523,0.03597944974899292,u,BR,ĩ,BR158
7528,0.0071703591383993626,ʊ,BR,ĩ,BR158
8541,0.6294541954994202,i,BR,ĩ,BR159
8547,0.19374102354049683,ɪ,BR,ĩ,BR159
8540,0.05222373828291893,eɪ,BR,ĩ,BR159
8546,0.03862573578953743,ɛ,BR,ĩ,BR159
8544,0.021917685866355896,æ,BR,ĩ,BR159
8545,0.0063306475058197975,ɑ,BR,ĩ,BR159
8549,0.008233897387981415,ʌ,BR,ĩ,BR159
8542,0.01637517288327217,oʊ,BR,ĩ,BR159
8543,0.025278277695178986,u,BR,ĩ,BR159
8548,0.007819725200533867,ʊ,BR,ĩ,BR159
7001,0.6358428597450256,i,BR,ĩ,BR264
7007,0.10139654576778412,ɪ,BR,ĩ,BR264
7000,0.019175272434949875,eɪ,BR,ĩ,BR264
7006,0.08776190131902695,ɛ,BR,ĩ,BR264
7004,0.013030849397182465,æ,BR,ĩ,BR264
7005,0.01491975225508213,ɑ,BR,ĩ,BR264
7009,0.02565423585474491,ʌ,BR,ĩ,BR264
7002,0.05583585798740387,oʊ,BR,ĩ,BR264
