Unnamed: 0,probabilities,classification,language,vowel,file
8251,0.9192119002342224,i,BR,i,BR132
8257,0.05085694976150984,ɪ,BR,i,BR132
8250,0.01887064268812533,eɪ,BR,i,BR132
8256,0.00578572541708121,ɛ,BR,i,BR132
8254,0.00035538868542056996,æ,BR,i,BR132
8255,0.00010324709364793413,ɑ,BR,i,BR132
8259,0.0001996221844819645,ʌ,BR,i,BR132
8252,0.0005100232476251599,oʊ,BR,i,BR132
8253,0.0030667097365948705,u,BR,i,BR132
8258,0.0010397726204245802,ʊ,BR,i,BR132
7411,0.11078015267848965,i,BR,i,BR329
7417,0.35634864270687105,ɪ,BR,i,BR329
7410,0.006182970324880391,eɪ,BR,i,BR329
7416,0.01195114045403891,ɛ,BR,i,BR329
7414,0.00507445391267533,æ,BR,i,BR329
7415,0.0031791456567588595,ɑ,BR,i,BR329
7419,0.027115998044609978,ʌ,BR,i,BR329
7412,0.017104281904175834,oʊ,BR,i,BR329
7413,0.27664212286472323,u,BR,i,BR329
7418,0.18562109917402264,ʊ,BR,i,BR329
8511,0.5432911902666092,i,BR,i,BR373
8517,0.3941647544503212,ɪ,BR,i,BR373
8510,0.00899952892214054,eɪ,BR,i,BR373
8516,0.0021623086067847396,ɛ,BR,i,BR373
8514,5.2845371374126546e-05,æ,BR,i,BR373
8515,2.7588719603954814e-05,ɑ,BR,i,BR373
8519,0.00105823683552439,ʌ,BR,i,BR373
8512,0.0008048897085245199,oʊ,BR,i,BR373
8513,0.03178523052483791,u,BR,i,BR373
8518,0.01765340613201255,ʊ,BR,i,BR373
7631,0.49415910243988037,i,BR,i,BR374
7637,0.27699648812413213,ɪ,BR,i,BR374
7630,0.00244769429555158,eɪ,BR,i,BR374
7636,0.00402820720337327,ɛ,BR,i,BR374
7634,0.00030026712302056027,æ,BR,i,BR374
7635,0.00010324805352865162,ɑ,BR,i,BR374
7639,0.0030701295414473496,ʌ,BR,i,BR374
7632,0.0010995889897457902,oʊ,BR,i,BR374
7633,0.14560732617974276,u,BR,i,BR374
7638,0.07218792326748366,ʊ,BR,i,BR374
7761,0.827534145116806,i,BR,i,BR375
7767,0.12038564831018446,ɪ,BR,i,BR375
7760,0.011295535392127878,eɪ,BR,i,BR375
7766,0.01157454536296424,ɛ,BR,i,BR375
7764,0.00088737031037448,æ,BR,i,BR375
7765,0.0006511855288408201,ɑ,BR,i,BR375
7769,0.00629721103468905,ʌ,BR,i,BR375
7762,0.0010137467383173802,oʊ,BR,i,BR375
7763,0.011319177458062721,u,BR,i,BR375
7768,0.00904141524806614,ʊ,BR,i,BR375
7491,0.5608530700206756,i,BR,i,BR452
7497,0.2506233684718609,ɪ,BR,i,BR452
7490,0.030434950347989754,eɪ,BR,i,BR452
7496,0.008459432050585688,ɛ,BR,i,BR452
7494,0.0011542296881088497,æ,BR,i,BR452
7495,0.00176702538738023,ɑ,BR,i,BR452
7499,0.01338080912828441,ʌ,BR,i,BR452
7492,0.005889127170666991,oʊ,BR,i,BR452
7493,0.09794800654053684,u,BR,i,BR452
7498,0.029489995352923827,ʊ,BR,i,BR452
7171,0.1387337144464254,i,BR,i,BR454
7177,0.7881944835186004,ɪ,BR,i,BR454
7170,0.0025963843392673397,eɪ,BR,i,BR454
7176,0.0045855107135138904,ɛ,BR,i,BR454
7174,6.211193576745849e-05,æ,BR,i,BR454
7175,1.6019447173221124e-06,ɑ,BR,i,BR454
7179,0.0007716793305007301,ʌ,BR,i,BR454
7172,0.00018832103232847998,oʊ,BR,i,BR454
7173,0.053407403454184474,u,BR,i,BR454
7178,0.01145877959206695,ʊ,BR,i,BR454
7791,0.9048085451126099,i,BR,i,BR46
7797,0.04732937682420011,ɪ,BR,i,BR46
7790,0.024960119277238808,eɪ,BR,i,BR46
7796,0.01849277890287334,ɛ,BR,i,BR46
7794,2.6670943861972772e-05,æ,BR,i,BR46
7795,4.939461905451026e-06,ɑ,BR,i,BR46
7799,0.00013099095740468008,ʌ,BR,i,BR46
7792,8.164214705173623e-05,oʊ,BR,i,BR46
7793,0.00325368698686357,u,BR,i,BR46
7798,0.0009112453961278601,ʊ,BR,i,BR46
7901,0.9193177282810211,i,BR,i,BR47
7907,0.04025133717805142,ɪ,BR,i,BR47
7900,0.009188999095931601,eɪ,BR,i,BR47
7906,0.0037138384301214898,ɛ,BR,i,BR47
7904,0.00036067955225004,æ,BR,i,BR47
7905,4.157085622864542e-05,ɑ,BR,i,BR47
7909,0.00087529442389491,ʌ,BR,i,BR47
7902,0.0010098221187945099,oʊ,BR,i,BR47
7903,0.01968062110245223,u,BR,i,BR47
7908,0.0055601526983081895,ʊ,BR,i,BR47
7301,0.7374756872653961,i,BR,i,BR496
7307,0.2009474009275436,ɪ,BR,i,BR496
7300,0.020332302711903998,eɪ,BR,i,BR496
7306,0.029589679837226823,ɛ,BR,i,BR496
7304,7.021617566351003e-05,æ,BR,i,BR496
7305,2.5239456772396806e-05,ɑ,BR,i,BR496
7309,0.00036583078908730004,ʌ,BR,i,BR496
7302,0.00014174270690998605,oʊ,BR,i,BR496
7303,0.007021226757205972,u,BR,i,BR496
7308,0.004030686465557621,ʊ,BR,i,BR496
7571,0.6432417273521424,i,BR,i,BR741
7577,0.06207087785005566,ɪ,BR,i,BR741
7570,0.04772657062858338,eɪ,BR,i,BR741
7576,0.03834093180485064,ɛ,BR,i,BR741
7574,4.804711825272211e-05,æ,BR,i,BR741
7575,0.00013459270921882516,ɑ,BR,i,BR741
7579,0.00280675594694908,ʌ,BR,i,BR741
7572,0.00127521221293131,oʊ,BR,i,BR741
7573,0.1715861566364765,u,BR,i,BR741
7578,0.03276911117136473,ʊ,BR,i,BR741
8321,0.9701458752155304,i,BR,i,BR742
8327,0.027929572947323268,ɪ,BR,i,BR742
8320,0.0006431518140743315,eɪ,BR,i,BR742
8326,0.00015156305744307657,ɛ,BR,i,BR742
8324,2.825705385589572e-06,æ,BR,i,BR742
8325,6.976839721062334e-07,ɑ,BR,i,BR742
8329,1.9222152513975743e-05,ʌ,BR,i,BR742
8322,8.138651969602506e-06,oʊ,BR,i,BR742
8323,0.00088400924287265,u,BR,i,BR742
8328,0.00021492039668370152,ʊ,BR,i,BR742
7811,0.2915448635816574,i,BR,i,BR757
7817,0.6405444949865341,ɪ,BR,i,BR757
7810,0.004586350684985471,eɪ,BR,i,BR757
7816,0.04646778889000412,ɛ,BR,i,BR757
7814,9.700551163404867e-05,æ,BR,i,BR757
7815,9.245478577213361e-06,ɑ,BR,i,BR757
7819,0.00084814158035439,ʌ,BR,i,BR757
7812,0.00014060573885215434,oʊ,BR,i,BR757
7813,0.00984426965005691,u,BR,i,BR757
7818,0.0059172418667003,ʊ,BR,i,BR757
6731,0.47090614438056944,i,BR,i,BR796
6737,0.44918791949748993,ɪ,BR,i,BR796
6730,0.00511322761885816,eɪ,BR,i,BR796
6736,0.053634928911924305,ɛ,BR,i,BR796
6734,0.0003879850482917,æ,BR,i,BR796
6735,3.4386527227054006e-05,ɑ,BR,i,BR796
6739,0.0006640416613663,ʌ,BR,i,BR796
6732,0.0010529321007197198,oʊ,BR,i,BR796
6733,0.01456290818750854,u,BR,i,BR796
6738,0.004455551342107299,ʊ,BR,i,BR796
7651,0.9013119339942932,i,BR,i,BR99
7657,0.08339541368186469,ɪ,BR,i,BR99
7650,0.010956687433645081,eɪ,BR,i,BR99
7656,0.00215239120880138,ɛ,BR,i,BR99
7654,4.851899338972999e-05,æ,BR,i,BR99
7655,7.136137151064759e-06,ɑ,BR,i,BR99
7659,1.908252497742069e-05,ʌ,BR,i,BR99
7652,5.3539526925300034e-05,oʊ,BR,i,BR99
7653,0.0018968327436595697,u,BR,i,BR99
7658,0.00015847159302205806,ʊ,BR,i,BR99
7331,0.742123281955719,i,BR,i,BR992
7337,0.2272539794445038,ɪ,BR,i,BR992
7330,0.00459686475805934,eɪ,BR,i,BR992
7336,0.00542179069016123,ɛ,BR,i,BR992
7334,2.2200952935236272e-05,æ,BR,i,BR992
7335,9.045466140378266e-06,ɑ,BR,i,BR992
7339,0.00045866058499083,ʌ,BR,i,BR992
7332,9.567845918353168e-05,oʊ,BR,i,BR992
7333,0.01485545225441449,u,BR,i,BR992
7338,0.0051630340982228,ʊ,BR,i,BR992
7821,0.9165598690509796,i,BR,ĩ,BR1025
7827,0.06506022326648231,ɪ,BR,ĩ,BR1025
7820,0.0060384345240890504,eɪ,BR,ĩ,BR1025
7826,0.00341545112896706,ɛ,BR,ĩ,BR1025
7824,0.0003668817229481412,æ,BR,ĩ,BR1025
7825,0.00012317534856264722,ɑ,BR,ĩ,BR1025
7829,0.00135923351044761,ʌ,BR,ĩ,BR1025
7822,0.00045227659138610994,oʊ,BR,ĩ,BR1025
7823,0.004547927947714881,u,BR,ĩ,BR1025
7828,0.0020765310619025802,ʊ,BR,ĩ,BR1025
7031,0.9348839819431305,i,BR,ĩ,BR1029
7037,0.030636485479772057,ɪ,BR,ĩ,BR1029
7030,0.0234919398091733,eɪ,BR,ĩ,BR1029
7036,0.0032421794254332303,ɛ,BR,ĩ,BR1029
7034,0.0007618521194671801,æ,BR,ĩ,BR1029
7035,0.00033157624493465647,ɑ,BR,ĩ,BR1029
7039,0.00030184976931189997,ʌ,BR,ĩ,BR1029
7032,0.00191245619207616,oʊ,BR,ĩ,BR1029
7033,0.0034064005361869503,u,BR,ĩ,BR1029
7038,0.0010313042090274,ʊ,BR,ĩ,BR1029
7801,0.7110349893569946,i,BR,ĩ,BR154
7807,0.061563797481358,ɪ,BR,ĩ,BR154
7800,0.07141843438148496,eɪ,BR,ĩ,BR154
7806,0.01204104189528147,ɛ,BR,ĩ,BR154
7804,0.014276846125721901,æ,BR,ĩ,BR154
7805,0.012545644817873777,ɑ,BR,ĩ,BR154
7809,0.00741481061268127,ʌ,BR,ĩ,BR154
7802,0.0560948576778173,oʊ,BR,ĩ,BR154
7803,0.032921169046312496,u,BR,ĩ,BR154
7808,0.02068842579610642,ʊ,BR,ĩ,BR154
7521,0.8546714901924133,i,BR,ĩ,BR158
7527,0.044792578928172545,ɪ,BR,ĩ,BR158
7520,0.03084611967205996,eɪ,BR,ĩ,BR158
7526,0.009659462957642929,ɛ,BR,ĩ,BR158
7524,0.00562414526939388,æ,BR,ĩ,BR158
7525,0.0020918166614137005,ɑ,BR,ĩ,BR158
7529,0.00256272704573343,ʌ,BR,ĩ,BR158
7522,0.005900859372923101,oʊ,BR,ĩ,BR158
7523,0.03635538727976378,u,BR,ĩ,BR158
7528,0.007495407771784759,ʊ,BR,ĩ,BR158
8541,0.6098100692033768,i,BR,ĩ,BR159
8547,0.13923594281077384,ɪ,BR,ĩ,BR159
8540,0.08929461911320681,eɪ,BR,ĩ,BR159
8546,0.0363283701241016,ɛ,BR,ĩ,BR159
8544,0.045590403117239435,æ,BR,ĩ,BR159
8545,0.00676517658866938,ɑ,BR,ĩ,BR159
8549,0.00624959256965661,ʌ,BR,ĩ,BR159
8542,0.02405432472005481,oʊ,BR,ĩ,BR159
8543,0.032579957507550675,u,BR,ĩ,BR159
8548,0.01009154408238822,ʊ,BR,ĩ,BR159
7001,0.601034688949585,i,BR,ĩ,BR264
7007,0.11496817693114278,ɪ,BR,ĩ,BR264
7000,0.024186372384428927,eɪ,BR,ĩ,BR264
7006,0.07756276931613679,ɛ,BR,ĩ,BR264
7004,0.02581536527723068,æ,BR,ĩ,BR264
7005,0.01386935738846655,ɑ,BR,ĩ,BR264
7009,0.0229510308708995,ʌ,BR,ĩ,BR264
7002,0.04693378582596773,oʊ,BR,ĩ,BR264
7003,0.03012276347726579,u,BR,ĩ,BR264
7008,0.042555692978203254,ʊ,BR,ĩ,BR264
6851,0.01066063491161907,i,BR,ĩ,BR411
6857,0.02440885454416269,ɪ,BR,ĩ,BR411
6850,0.00089184987591574,eɪ,BR,ĩ,BR411
6856,0.0026799833402037098,ɛ,BR,ĩ,BR411
6854,0.0006723526414133999,æ,BR,ĩ,BR411
6855,0.0015741757466457302,ɑ,BR,ĩ,BR411
6859,0.04100180258974427,ʌ,BR,ĩ,BR411
6852,0.030257675237953623,oʊ,BR,ĩ,BR411
6853,0.7107612073421479,u,BR,ĩ,BR411
6858,0.17709146365523337,ʊ,BR,ĩ,BR411
7641,0.665525084733963,i,BR,ĩ,BR417
7647,0.10206217914819715,ɪ,BR,ĩ,BR417
7640,0.0032991041312925005,eɪ,BR,ĩ,BR417
7646,0.025248862802982268,ɛ,BR,ĩ,BR417
7644,0.0022746199916582,æ,BR,ĩ,BR417
7645,0.0053265441558323304,ɑ,BR,ĩ,BR417
7649,0.02742711557075377,ʌ,BR,ĩ,BR417
7642,0.01421340848319228,oʊ,BR,ĩ,BR417
7643,0.11118753179907795,u,BR,ĩ,BR417
7648,0.04343555271625517,ʊ,BR,ĩ,BR417
8121,0.8433765888214111,i,BR,ĩ,BR504
8127,0.07780250348150727,ɪ,BR,ĩ,BR504
8120,0.026087809354066786,eɪ,BR,ĩ,BR504
8126,0.01325532440096135,ɛ,BR,ĩ,BR504
8124,0.00030474134255193997,æ,BR,ĩ,BR504
8125,0.00016564808611287818,ɑ,BR,ĩ,BR504
8129,0.0021355941542423795,ʌ,BR,ĩ,BR504
8122,0.00230313084321093,oʊ,BR,ĩ,BR504
8123,0.02912085894495244,u,BR,ĩ,BR504
8128,0.0054477625293656694,ʊ,BR,ĩ,BR504
7361,0.7152348816394806,i,BR,ĩ,BR510
