,probabilities,classification,language,vowel,file
5618,0.012074842117726803,i,BR,i,BR132
5621,0.026473062112927437,y,BR,i,BR132
5619,0.07862020283937454,e,BR,i,BR132
5616,0.03691720589995384,ɛ,BR,i,BR132
5628,0.0061375596560537815,ɛ̃,BR,i,BR132
5620,0.005191105883568525,ø,BR,i,BR132
5625,0.007016161922365427,œ,BR,i,BR132
5624,0.5206937789916992,a,BR,i,BR132
5626,0.19694069027900696,ɑ̃,BR,i,BR132
5617,0.01449497789144516,o,BR,i,BR132
5623,0.02729840762913227,ɔ,BR,i,BR132
5622,0.037111494690179825,ɔ̃,BR,i,BR132
5627,0.031030533835291862,u,BR,i,BR132
6099,0.054323937743902206,i,BR,i,BR329
6102,0.07123661041259766,y,BR,i,BR329
6100,0.10770685970783234,e,BR,i,BR329
6097,0.04066440835595131,ɛ,BR,i,BR329
6109,0.004794086795300245,ɛ̃,BR,i,BR329
6101,0.004575596656650305,ø,BR,i,BR329
6106,0.0050884271040558815,œ,BR,i,BR329
6105,0.5091034173965454,a,BR,i,BR329
6107,0.10114263743162155,ɑ̃,BR,i,BR329
6098,0.014791182242333889,o,BR,i,BR329
6104,0.017763879150152206,ɔ,BR,i,BR329
6103,0.04971068724989891,ɔ̃,BR,i,BR329
6108,0.019098324701189995,u,BR,i,BR329
10727,0.030747143551707268,i,BR,i,BR373
10730,0.05323665961623192,y,BR,i,BR373
10728,0.1426035314798355,e,BR,i,BR373
10725,0.06422742456197739,ɛ,BR,i,BR373
10737,0.006475707050412893,ɛ̃,BR,i,BR373
10729,0.005627050530165434,ø,BR,i,BR373
10734,0.004668549168854952,œ,BR,i,BR373
10733,0.43247947096824646,a,BR,i,BR373
10735,0.15466246008872986,ɑ̃,BR,i,BR373
10726,0.015087286941707134,o,BR,i,BR373
10732,0.023824170231819153,ɔ,BR,i,BR373
10731,0.04311235994100571,ɔ̃,BR,i,BR373
10736,0.02324814908206463,u,BR,i,BR373
2992,0.059494759887456894,i,BR,i,BR374
2995,0.071262426674366,y,BR,i,BR374
2993,0.16732119023799896,e,BR,i,BR374
2990,0.07378415018320084,ɛ,BR,i,BR374
3002,0.004473747219890356,ɛ̃,BR,i,BR374
2994,0.0049583385698497295,ø,BR,i,BR374
2999,0.0046908799558877945,œ,BR,i,BR374
2998,0.4028245508670807,a,BR,i,BR374
3000,0.1044532060623169,ɑ̃,BR,i,BR374
2991,0.01462527085095644,o,BR,i,BR374
2997,0.015328790061175823,ɔ,BR,i,BR374
2996,0.05621859431266785,ɔ̃,BR,i,BR374
3001,0.020563974976539612,u,BR,i,BR374
7464,0.07670908421278,i,BR,i,BR375
7467,0.07713985443115234,y,BR,i,BR375
7465,0.1331779807806015,e,BR,i,BR375
7462,0.04989423230290413,ɛ,BR,i,BR375
7474,0.005604131147265434,ɛ̃,BR,i,BR375
7466,0.0053156903013587,ø,BR,i,BR375
7471,0.005035252310335636,œ,BR,i,BR375
7470,0.47274085879325867,a,BR,i,BR375
7472,0.0869254320859909,ɑ̃,BR,i,BR375
7463,0.012736121192574501,o,BR,i,BR375
7469,0.013114369474351406,ɔ,BR,i,BR375
7468,0.045929666608572006,ɔ̃,BR,i,BR375
7473,0.01567717455327511,u,BR,i,BR375
7412,0.009871384128928185,i,BR,i,BR452
7415,0.022194309160113335,y,BR,i,BR452
7413,0.07832151651382446,e,BR,i,BR452
7410,0.05825424939393997,ɛ,BR,i,BR452
7422,0.008569996803998947,ɛ̃,BR,i,BR452
7414,0.006803467404097319,ø,BR,i,BR452
7419,0.009608637541532516,œ,BR,i,BR452
7418,0.46120738983154297,a,BR,i,BR452
7420,0.22432567179203033,ɑ̃,BR,i,BR452
7411,0.018601002171635628,o,BR,i,BR452
7417,0.03554876148700714,ɔ,BR,i,BR452
7416,0.030044425278902054,ɔ̃,BR,i,BR452
7421,0.036649227142333984,u,BR,i,BR452
11117,0.058538056910037994,i,BR,i,BR454
11120,0.07058559358119965,y,BR,i,BR454
11118,0.11522567272186279,e,BR,i,BR454
11115,0.027708016335964203,ɛ,BR,i,BR454
11127,0.004955357406288385,ɛ̃,BR,i,BR454
11119,0.006712160538882017,ø,BR,i,BR454
11124,0.008716053329408169,œ,BR,i,BR454
11123,0.42348936200141907,a,BR,i,BR454
11125,0.16842158138751984,ɑ̃,BR,i,BR454
11116,0.016045959666371346,o,BR,i,BR454
11122,0.02855617366731167,ɔ,BR,i,BR454
11121,0.037883348762989044,ɔ̃,BR,i,BR454
11126,0.03316266089677811,u,BR,i,BR454
2017,0.012702526524662971,i,BR,i,BR46
2020,0.024614371359348297,y,BR,i,BR46
2018,0.0925738736987114,e,BR,i,BR46
2015,0.07791458815336227,ɛ,BR,i,BR46
2027,0.008100626058876514,ɛ̃,BR,i,BR46
2019,0.0054399967193603516,ø,BR,i,BR46
2024,0.005761057138442993,œ,BR,i,BR46
2023,0.47155144810676575,a,BR,i,BR46
2025,0.19083823263645172,ɑ̃,BR,i,BR46
2016,0.015973921865224838,o,BR,i,BR46
2022,0.026617730036377907,ɔ,BR,i,BR46
2021,0.0388813354074955,ɔ̃,BR,i,BR46
2026,0.029030267149209976,u,BR,i,BR46
11988,0.06265456974506378,i,BR,i,BR47
11991,0.055766958743333817,y,BR,i,BR47
11989,0.18709196150302887,e,BR,i,BR47
11986,0.12988780438899994,ɛ,BR,i,BR47
11998,0.005757777951657772,ɛ̃,BR,i,BR47
11990,0.004976862575858831,ø,BR,i,BR47
11995,0.003634378546848893,œ,BR,i,BR47
11994,0.3288680613040924,a,BR,i,BR47
11996,0.11376133561134338,ɑ̃,BR,i,BR47
11987,0.015514779835939407,o,BR,i,BR47
11993,0.016161398962140083,ɔ,BR,i,BR47
11992,0.054623279720544815,ɔ̃,BR,i,BR47
11997,0.02130088582634926,u,BR,i,BR47
