,probabilities,classification,language,vowel,file
8251,0.8906859755516052,i,BR,i,BR132
8257,0.028085406869649887,ɪ,BR,i,BR132
8250,0.010258343070745468,eɪ,BR,i,BR132
8256,0.0001246526517206803,ɛ,BR,i,BR132
8254,0.00019650303875096142,æ,BR,i,BR132
8255,0.0003019553259946406,ɑ,BR,i,BR132
8259,4.955732947564684e-06,ʌ,BR,i,BR132
8252,0.000283143890555948,oʊ,BR,i,BR132
8253,0.0698421373963356,u,BR,i,BR132
8258,0.00021678360644727945,ʊ,BR,i,BR132
7411,0.054478369653224945,i,BR,i,BR329
7417,0.004011447075754404,ɪ,BR,i,BR329
7410,0.9414369463920593,eɪ,BR,i,BR329
7416,1.0807057151396293e-06,ɛ,BR,i,BR329
7414,1.718397299454999e-11,æ,BR,i,BR329
7415,1.0974955388931562e-09,ɑ,BR,i,BR329
7419,3.6683955872973684e-10,ʌ,BR,i,BR329
7412,1.979925400519278e-06,oʊ,BR,i,BR329
7413,6.99938100297004e-05,u,BR,i,BR329
7418,1.6564886351488894e-08,ʊ,BR,i,BR329
8511,0.03444761782884598,i,BR,i,BR373
8517,0.02799542248249054,ɪ,BR,i,BR373
8510,5.9081430663354695e-05,eɪ,BR,i,BR373
8516,0.0041354745626449585,ɛ,BR,i,BR373
8514,0.8874385952949524,æ,BR,i,BR373
8515,0.008435748517513275,ɑ,BR,i,BR373
8519,0.000948839820921421,ʌ,BR,i,BR373
8512,0.00011896379146492109,oʊ,BR,i,BR373
8513,0.006473898887634277,u,BR,i,BR373
8518,0.029946310445666313,ʊ,BR,i,BR373
7631,7.626830665685702e-06,i,BR,i,BR374
7637,8.499965531427733e-08,ɪ,BR,i,BR374
7630,0.9996529817581177,eɪ,BR,i,BR374
7636,1.8452571692861852e-09,ɛ,BR,i,BR374
7634,1.6406780431178726e-15,æ,BR,i,BR374
7635,1.1474427658031416e-10,ɑ,BR,i,BR374
7639,1.8373236265745163e-09,ʌ,BR,i,BR374
7632,0.00033558037830516696,oʊ,BR,i,BR374
7633,3.731810465978924e-06,u,BR,i,BR374
7638,2.5036666073674496e-09,ʊ,BR,i,BR374
7761,0.005617233924567699,i,BR,i,BR375
7767,0.263149231672287,ɪ,BR,i,BR375
