,probabilities,classification,language,vowel,file
0,0.6803976902156137,i,BR,i,BR132
1,0.004121002268704488,ɪ,BR,i,BR132
2,0.0624689219206596,eɪ,BR,i,BR132
3,0.002488246338957967,ɛ,BR,i,BR132
4,0.0009823731035676696,æ,BR,i,BR132
5,0.008239301644006877,ɑ,BR,i,BR132
6,0.0003520545843953153,ʌ,BR,i,BR132
7,0.027710390932554518,oʊ,BR,i,BR132
8,0.20834185959370188,u,BR,i,BR132
9,0.004898137456288107,ʊ,BR,i,BR132
10,0.47442253595218065,i,BR,i,BR329
11,0.02731645992716946,ɪ,BR,i,BR329
12,0.4021146970646896,eɪ,BR,i,BR329
13,0.01887618926789583,ɛ,BR,i,BR329
14,0.0035829868360961158,æ,BR,i,BR329
15,0.009457970914352206,ɑ,BR,i,BR329
16,0.0012670140989422634,ʌ,BR,i,BR329
17,0.024446190968107594,oʊ,BR,i,BR329
18,0.018777676624040382,u,BR,i,BR329
19,0.01973829531875935,ʊ,BR,i,BR329
20,0.4540067310192171,i,BR,i,BR373
21,0.010502407208696211,ɪ,BR,i,BR373
22,0.2756631987995206,eɪ,BR,i,BR373
23,0.0038968633373664833,ɛ,BR,i,BR373
24,0.08913522438539107,æ,BR,i,BR373
25,0.0036662424922765773,ɑ,BR,i,BR373
26,0.0030497748322887734,ʌ,BR,i,BR373
27,0.002103382830762229,oʊ,BR,i,BR373
28,0.1301964724756999,u,BR,i,BR373
29,0.02777972826010313,ʊ,BR,i,BR373
30,0.19023221449208444,i,BR,i,BR374
31,0.00015928337004021348,ɪ,BR,i,BR374
32,0.49317870422195675,eɪ,BR,i,BR374
33,1.2490600724642496e-05,ɛ,BR,i,BR374
34,8.906380164736057e-07,æ,BR,i,BR374
35,3.328488155575754e-05,ɑ,BR,i,BR374
36,2.386448900758914e-05,ʌ,BR,i,BR374
37,0.0004898411236333704,oʊ,BR,i,BR374
38,0.31191622890801474,u,BR,i,BR374
39,0.003953237922042298,ʊ,BR,i,BR374
40,0.30332520889642184,i,BR,i,BR375
41,0.15636064174737072,ɪ,BR,i,BR375
42,0.40847106421133506,eɪ,BR,i,BR375
43,0.027011972345053415,ɛ,BR,i,BR375
44,0.011012903747600285,æ,BR,i,BR375
45,0.012857981963394407,ɑ,BR,i,BR375
46,0.018195497359051425,ʌ,BR,i,BR375
47,0.012848839352891387,oʊ,BR,i,BR375
48,0.010276913404899956,u,BR,i,BR375
49,0.03963898630939444,ʊ,BR,i,BR375
50,0.8715880423784256,i,BR,i,BR452
51,0.08144271076744188,ɪ,BR,i,BR452
52,0.009220848808497037,eɪ,BR,i,BR452
53,0.0038164766091738334,ɛ,BR,i,BR452
54,0.006580237473147055,æ,BR,i,BR452
55,0.013648192065664205,ɑ,BR,i,BR452
56,0.001049238491095666,ʌ,BR,i,BR452
