,probabilities,classification,language,vowel,file
8251,,i,BR,i,BR132
8257,,ɪ,BR,i,BR132
8250,,eɪ,BR,i,BR132
8256,,ɛ,BR,i,BR132
8254,,æ,BR,i,BR132
8255,,ɑ,BR,i,BR132
8259,,ʌ,BR,i,BR132
8252,,oʊ,BR,i,BR132
8253,,u,BR,i,BR132
8258,,ʊ,BR,i,BR132
7411,,i,BR,i,BR329
7417,,ɪ,BR,i,BR329
7410,,eɪ,BR,i,BR329
7416,,ɛ,BR,i,BR329
7414,,æ,BR,i,BR329
7415,,ɑ,BR,i,BR329
7419,,ʌ,BR,i,BR329
7412,,oʊ,BR,i,BR329
7413,,u,BR,i,BR329
7418,,ʊ,BR,i,BR329
8511,,i,BR,i,BR373
8517,,ɪ,BR,i,BR373
8510,,eɪ,BR,i,BR373
8516,,ɛ,BR,i,BR373
8514,,æ,BR,i,BR373
8515,,ɑ,BR,i,BR373
8519,,ʌ,BR,i,BR373
8512,,oʊ,BR,i,BR373
8513,,u,BR,i,BR373
8518,,ʊ,BR,i,BR373
7631,,i,BR,i,BR374
7637,,ɪ,BR,i,BR374
7630,,eɪ,BR,i,BR374
7636,,ɛ,BR,i,BR374
7634,,æ,BR,i,BR374
7635,,ɑ,BR,i,BR374
7639,,ʌ,BR,i,BR374
7632,,oʊ,BR,i,BR374
7633,,u,BR,i,BR374
7638,,ʊ,BR,i,BR374
7761,,i,BR,i,BR375
7767,,ɪ,BR,i,BR375
7760,,eɪ,BR,i,BR375
7766,,ɛ,BR,i,BR375
7764,,æ,BR,i,BR375
7765,,ɑ,BR,i,BR375
7769,,ʌ,BR,i,BR375
7762,,oʊ,BR,i,BR375
7763,,u,BR,i,BR375
7768,,ʊ,BR,i,BR375
7491,,i,BR,i,BR452
7497,,ɪ,BR,i,BR452
7490,,eɪ,BR,i,BR452
7496,,ɛ,BR,i,BR452
7494,,æ,BR,i,BR452
7495,,ɑ,BR,i,BR452
7499,,ʌ,BR,i,BR452
7492,,oʊ,BR,i,BR452
7493,,u,BR,i,BR452
7498,,ʊ,BR,i,BR452
7171,,i,BR,i,BR454
7177,,ɪ,BR,i,BR454
7170,,eɪ,BR,i,BR454
7176,,ɛ,BR,i,BR454
7174,,æ,BR,i,BR454
7175,,ɑ,BR,i,BR454
7179,,ʌ,BR,i,BR454
7172,,oʊ,BR,i,BR454
7173,,u,BR,i,BR454
7178,,ʊ,BR,i,BR454
7791,,i,BR,i,BR46
7797,,ɪ,BR,i,BR46
7790,,eɪ,BR,i,BR46
7796,,ɛ,BR,i,BR46
7794,,æ,BR,i,BR46
7795,,ɑ,BR,i,BR46
7799,,ʌ,BR,i,BR46
7792,,oʊ,BR,i,BR46
7793,,u,BR,i,BR46
7798,,ʊ,BR,i,BR46
7901,,i,BR,i,BR47
7907,,ɪ,BR,i,BR47
7900,,eɪ,BR,i,BR47
7906,,ɛ,BR,i,BR47
7904,,æ,BR,i,BR47
7905,,ɑ,BR,i,BR47
7909,,ʌ,BR,i,BR47
7902,,oʊ,BR,i,BR47
7903,,u,BR,i,BR47
7908,,ʊ,BR,i,BR47
7301,,i,BR,i,BR496
7307,,ɪ,BR,i,BR496
7300,,eɪ,BR,i,BR496
7306,,ɛ,BR,i,BR496
7304,,æ,BR,i,BR496
7305,,ɑ,BR,i,BR496
7309,,ʌ,BR,i,BR496
7302,,oʊ,BR,i,BR496
7303,,u,BR,i,BR496
7308,,ʊ,BR,i,BR496
7571,,i,BR,i,BR741
7577,,ɪ,BR,i,BR741
7570,,eɪ,BR,i,BR741
7576,,ɛ,BR,i,BR741
7574,,æ,BR,i,BR741
7575,,ɑ,BR,i,BR741
7579,,ʌ,BR,i,BR741
7572,,oʊ,BR,i,BR741
7573,,u,BR,i,BR741
7578,,ʊ,BR,i,BR741
8321,,i,BR,i,BR742
8327,,ɪ,BR,i,BR742
8320,,eɪ,BR,i,BR742
8326,,ɛ,BR,i,BR742
8324,,æ,BR,i,BR742
8325,,ɑ,BR,i,BR742
8329,,ʌ,BR,i,BR742
8322,,oʊ,BR,i,BR742
8323,,u,BR,i,BR742
8328,,ʊ,BR,i,BR742
7811,,i,BR,i,BR757
7817,,ɪ,BR,i,BR757
7810,,eɪ,BR,i,BR757
7816,,ɛ,BR,i,BR757
7814,,æ,BR,i,BR757
7815,,ɑ,BR,i,BR757
7819,,ʌ,BR,i,BR757
7812,,oʊ,BR,i,BR757
7813,,u,BR,i,BR757
7818,,ʊ,BR,i,BR757
6731,,i,BR,i,BR796
6737,,ɪ,BR,i,BR796
6730,,eɪ,BR,i,BR796
6736,,ɛ,BR,i,BR796
6734,,æ,BR,i,BR796
6735,,ɑ,BR,i,BR796
6739,,ʌ,BR,i,BR796
6732,,oʊ,BR,i,BR796
6733,,u,BR,i,BR796
6738,,ʊ,BR,i,BR796
7651,,i,BR,i,BR99
7657,,ɪ,BR,i,BR99
7650,,eɪ,BR,i,BR99
7656,,ɛ,BR,i,BR99
7654,,æ,BR,i,BR99
7655,,ɑ,BR,i,BR99
7659,,ʌ,BR,i,BR99
7652,,oʊ,BR,i,BR99
7653,,u,BR,i,BR99
7658,,ʊ,BR,i,BR99
7331,,i,BR,i,BR992
7337,,ɪ,BR,i,BR992
7330,,eɪ,BR,i,BR992
7336,,ɛ,BR,i,BR992
7334,,æ,BR,i,BR992
7335,,ɑ,BR,i,BR992
7339,,ʌ,BR,i,BR992
7332,,oʊ,BR,i,BR992
7333,,u,BR,i,BR992
7338,,ʊ,BR,i,BR992
7821,,i,BR,ĩ,BR1025
7827,,ɪ,BR,ĩ,BR1025
7820,,eɪ,BR,ĩ,BR1025
7826,,ɛ,BR,ĩ,BR1025
7824,,æ,BR,ĩ,BR1025
7825,,ɑ,BR,ĩ,BR1025
7829,,ʌ,BR,ĩ,BR1025
7822,,oʊ,BR,ĩ,BR1025
7823,,u,BR,ĩ,BR1025
7828,,ʊ,BR,ĩ,BR1025
7031,,i,BR,ĩ,BR1029
7037,,ɪ,BR,ĩ,BR1029
7030,,eɪ,BR,ĩ,BR1029
7036,,ɛ,BR,ĩ,BR1029
7034,,æ,BR,ĩ,BR1029
7035,,ɑ,BR,ĩ,BR1029
7039,,ʌ,BR,ĩ,BR1029
7032,,oʊ,BR,ĩ,BR1029
7033,,u,BR,ĩ,BR1029
7038,,ʊ,BR,ĩ,BR1029
7801,,i,BR,ĩ,BR154
7807,,ɪ,BR,ĩ,BR154
7800,,eɪ,BR,ĩ,BR154
7806,,ɛ,BR,ĩ,BR154
7804,,æ,BR,ĩ,BR154
7805,,ɑ,BR,ĩ,BR154
7809,,ʌ,BR,ĩ,BR154
7802,,oʊ,BR,ĩ,BR154
7803,,u,BR,ĩ,BR154
7808,,ʊ,BR,ĩ,BR154
7521,,i,BR,ĩ,BR158
7527,,ɪ,BR,ĩ,BR158
7520,,eɪ,BR,ĩ,BR158
7526,,ɛ,BR,ĩ,BR158
7524,,æ,BR,ĩ,BR158
7525,,ɑ,BR,ĩ,BR158
7529,,ʌ,BR,ĩ,BR158
7522,,oʊ,BR,ĩ,BR158
7523,,u,BR,ĩ,BR158
7528,,ʊ,BR,ĩ,BR158
8541,,i,BR,ĩ,BR159
8547,,ɪ,BR,ĩ,BR159
8540,,eɪ,BR,ĩ,BR159
8546,,ɛ,BR,ĩ,BR159
8544,,æ,BR,ĩ,BR159
8545,,ɑ,BR,ĩ,BR159
8549,,ʌ,BR,ĩ,BR159
8542,,oʊ,BR,ĩ,BR159
8543,,u,BR,ĩ,BR159
8548,,ʊ,BR,ĩ,BR159
7001,,i,BR,ĩ,BR264
7007,,ɪ,BR,ĩ,BR264
7000,,eɪ,BR,ĩ,BR264
7006,,ɛ,BR,ĩ,BR264
7004,,æ,BR,ĩ,BR264
7005,,ɑ,BR,ĩ,BR264
7009,,ʌ,BR,ĩ,BR264
7002,,oʊ,BR,ĩ,BR264
7003,,u,BR,ĩ,BR264
7008,,ʊ,BR,ĩ,BR264
6851,,i,BR,ĩ,BR411
6857,,ɪ,BR,ĩ,BR411
6850,,eɪ,BR,ĩ,BR411
6856,,ɛ,BR,ĩ,BR411
6854,,æ,BR,ĩ,BR411
6855,,ɑ,BR,ĩ,BR411
6859,,ʌ,BR,ĩ,BR411
6852,,oʊ,BR,ĩ,BR411
6853,,u,BR,ĩ,BR411
6858,,ʊ,BR,ĩ,BR411
7641,,i,BR,ĩ,BR417
7647,,ɪ,BR,ĩ,BR417
7640,,eɪ,BR,ĩ,BR417
7646,,ɛ,BR,ĩ,BR417
7644,,æ,BR,ĩ,BR417
7645,,ɑ,BR,ĩ,BR417
7649,,ʌ,BR,ĩ,BR417
7642,,oʊ,BR,ĩ,BR417
7643,,u,BR,ĩ,BR417
7648,,ʊ,BR,ĩ,BR417
8121,,i,BR,ĩ,BR504
8127,,ɪ,BR,ĩ,BR504
8120,,eɪ,BR,ĩ,BR504
8126,,ɛ,BR,ĩ,BR504
8124,,æ,BR,ĩ,BR504
8125,,ɑ,BR,ĩ,BR504
8129,,ʌ,BR,ĩ,BR504
8122,,oʊ,BR,ĩ,BR504
8123,,u,BR,ĩ,BR504
8128,,ʊ,BR,ĩ,BR504
7361,,i,BR,ĩ,BR510
7367,,ɪ,BR,ĩ,BR510
7360,,eɪ,BR,ĩ,BR510
7366,,ɛ,BR,ĩ,BR510
7364,,æ,BR,ĩ,BR510
7365,,ɑ,BR,ĩ,BR510
7369,,ʌ,BR,ĩ,BR510
7362,,oʊ,BR,ĩ,BR510
7363,,u,BR,ĩ,BR510
7368,,ʊ,BR,ĩ,BR510
7061,,i,BR,ĩ,BR559
7067,,ɪ,BR,ĩ,BR559
7060,,eɪ,BR,ĩ,BR559
7066,,ɛ,BR,ĩ,BR559
7064,,æ,BR,ĩ,BR559
7065,,ɑ,BR,ĩ,BR559
7069,,ʌ,BR,ĩ,BR559
7062,,oʊ,BR,ĩ,BR559
7063,,u,BR,ĩ,BR559
7068,,ʊ,BR,ĩ,BR559
8041,,i,BR,ĩ,BR648
8047,,ɪ,BR,ĩ,BR648
8040,,eɪ,BR,ĩ,BR648
8046,,ɛ,BR,ĩ,BR648
8044,,æ,BR,ĩ,BR648
8045,,ɑ,BR,ĩ,BR648
8049,,ʌ,BR,ĩ,BR648
8042,,oʊ,BR,ĩ,BR648
8043,,u,BR,ĩ,BR648
8048,,ʊ,BR,ĩ,BR648
8161,,i,BR,ĩ,BR687
8167,,ɪ,BR,ĩ,BR687
8160,,eɪ,BR,ĩ,BR687
8166,,ɛ,BR,ĩ,BR687
8164,,æ,BR,ĩ,BR687
8165,,ɑ,BR,ĩ,BR687
8169,,ʌ,BR,ĩ,BR687
8162,,oʊ,BR,ĩ,BR687
8163,,u,BR,ĩ,BR687
8168,,ʊ,BR,ĩ,BR687
8021,,i,BR,ĩ,BR848
8027,,ɪ,BR,ĩ,BR848
8020,,eɪ,BR,ĩ,BR848
8026,,ɛ,BR,ĩ,BR848
8024,,æ,BR,ĩ,BR848
8025,,ɑ,BR,ĩ,BR848
8029,,ʌ,BR,ĩ,BR848
8022,,oʊ,BR,ĩ,BR848
8023,,u,BR,ĩ,BR848
8028,,ʊ,BR,ĩ,BR848
7671,,i,BR,ĩ,BR850
7677,,ɪ,BR,ĩ,BR850
7670,,eɪ,BR,ĩ,BR850
7676,,ɛ,BR,ĩ,BR850
7674,,æ,BR,ĩ,BR850
7675,,ɑ,BR,ĩ,BR850
7679,,ʌ,BR,ĩ,BR850
7672,,oʊ,BR,ĩ,BR850
7673,,u,BR,ĩ,BR850
7678,,ʊ,BR,ĩ,BR850
6971,,i,BR,ĩ,BR880
6977,,ɪ,BR,ĩ,BR880
6970,,eɪ,BR,ĩ,BR880
6976,,ɛ,BR,ĩ,BR880
6974,,æ,BR,ĩ,BR880
6975,,ɑ,BR,ĩ,BR880
6979,,ʌ,BR,ĩ,BR880
6972,,oʊ,BR,ĩ,BR880
6973,,u,BR,ĩ,BR880
6978,,ʊ,BR,ĩ,BR880
8061,,i,BR,e,BR1014
8067,,ɪ,BR,e,BR1014
8060,,eɪ,BR,e,BR1014
8066,,ɛ,BR,e,BR1014
8064,,æ,BR,e,BR1014
8065,,ɑ,BR,e,BR1014
8069,,ʌ,BR,e,BR1014
8062,,oʊ,BR,e,BR1014
8063,,u,BR,e,BR1014
8068,,ʊ,BR,e,BR1014
7181,,i,BR,e,BR283
7187,,ɪ,BR,e,BR283
7180,,eɪ,BR,e,BR283
7186,,ɛ,BR,e,BR283
7184,,æ,BR,e,BR283
7185,,ɑ,BR,e,BR283
7189,,ʌ,BR,e,BR283
7182,,oʊ,BR,e,BR283
7183,,u,BR,e,BR283
7188,,ʊ,BR,e,BR283
8011,,i,BR,e,BR288
8017,,ɪ,BR,e,BR288
8010,,eɪ,BR,e,BR288
8016,,ɛ,BR,e,BR288
8014,,æ,BR,e,BR288
8015,,ɑ,BR,e,BR288
8019,,ʌ,BR,e,BR288
8012,,oʊ,BR,e,BR288
8013,,u,BR,e,BR288
8018,,ʊ,BR,e,BR288
7621,,i,BR,e,BR320
7627,,ɪ,BR,e,BR320
7620,,eɪ,BR,e,BR320
7626,,ɛ,BR,e,BR320
7624,,æ,BR,e,BR320
7625,,ɑ,BR,e,BR320
7629,,ʌ,BR,e,BR320
7622,,oʊ,BR,e,BR320
7623,,u,BR,e,BR320
7628,,ʊ,BR,e,BR320
7931,,i,BR,e,BR323
7937,,ɪ,BR,e,BR323
7930,,eɪ,BR,e,BR323
7936,,ɛ,BR,e,BR323
7934,,æ,BR,e,BR323
7935,,ɑ,BR,e,BR323
7939,,ʌ,BR,e,BR323
7932,,oʊ,BR,e,BR323
7933,,u,BR,e,BR323
7938,,ʊ,BR,e,BR323
8241,,i,BR,e,BR489
8247,,ɪ,BR,e,BR489
8240,,eɪ,BR,e,BR489
8246,,ɛ,BR,e,BR489
8244,,æ,BR,e,BR489
8245,,ɑ,BR,e,BR489
8249,,ʌ,BR,e,BR489
8242,,oʊ,BR,e,BR489
8243,,u,BR,e,BR489
8248,,ʊ,BR,e,BR489
8211,,i,BR,e,BR490
8217,,ɪ,BR,e,BR490
8210,,eɪ,BR,e,BR490
8216,,ɛ,BR,e,BR490
8214,,æ,BR,e,BR490
8215,,ɑ,BR,e,BR490
8219,,ʌ,BR,e,BR490
8212,,oʊ,BR,e,BR490
8213,,u,BR,e,BR490
8218,,ʊ,BR,e,BR490
7271,,i,BR,e,BR636
7277,,ɪ,BR,e,BR636
7270,,eɪ,BR,e,BR636
7276,,ɛ,BR,e,BR636
7274,,æ,BR,e,BR636
7275,,ɑ,BR,e,BR636
7279,,ʌ,BR,e,BR636
7272,,oʊ,BR,e,BR636
7273,,u,BR,e,BR636
7278,,ʊ,BR,e,BR636
7541,,i,BR,e,BR637
7547,,ɪ,BR,e,BR637
7540,,eɪ,BR,e,BR637
7546,,ɛ,BR,e,BR637
7544,,æ,BR,e,BR637
7545,,ɑ,BR,e,BR637
7549,,ʌ,BR,e,BR637
7542,,oʊ,BR,e,BR637
7543,,u,BR,e,BR637
7548,,ʊ,BR,e,BR637
8421,,i,BR,e,BR751
8427,,ɪ,BR,e,BR751
8420,,eɪ,BR,e,BR751
8426,,ɛ,BR,e,BR751
8424,,æ,BR,e,BR751
8425,,ɑ,BR,e,BR751
8429,,ʌ,BR,e,BR751
8422,,oʊ,BR,e,BR751
8423,,u,BR,e,BR751
8428,,ʊ,BR,e,BR751
8591,,i,BR,e,BR81
8597,,ɪ,BR,e,BR81
8590,,eɪ,BR,e,BR81
8596,,ɛ,BR,e,BR81
8594,,æ,BR,e,BR81
8595,,ɑ,BR,e,BR81
8599,,ʌ,BR,e,BR81
