,probabilities,classification,language,vowel,file
8251,0.4568232252366013,i,BR,i,BR132
8257,0.00917352778186695,ɪ,BR,i,BR132
8250,0.07515013445158224,eɪ,BR,i,BR132
8256,0.023965460942395624,ɛ,BR,i,BR132
8254,0.007461885332610841,æ,BR,i,BR132
8255,0.009606126914655356,ɑ,BR,i,BR132
8259,0.002873632701375072,ʌ,BR,i,BR132
8252,0.01664241257782252,oʊ,BR,i,BR132
8253,0.39018141944284757,u,BR,i,BR132
8258,0.008122197515199176,ʊ,BR,i,BR132
7411,0.355341096940107,i,BR,i,BR329
7417,0.03617528654346309,ɪ,BR,i,BR329
7410,0.29451340524893665,eɪ,BR,i,BR329
7416,0.02511360925871001,ɛ,BR,i,BR329
7414,0.008985378727549178,æ,BR,i,BR329
7415,0.003039391148128444,ɑ,BR,i,BR329
7419,0.014357789084607522,ʌ,BR,i,BR329
7412,0.0024513047712683266,oʊ,BR,i,BR329
7413,0.23555654548847016,u,BR,i,BR329
7418,0.024466184867706315,ʊ,BR,i,BR329
8511,0.3672069843859289,i,BR,i,BR373
8517,0.06527805825721265,ɪ,BR,i,BR373
8510,0.036236715206971186,eɪ,BR,i,BR373
8516,0.07619723596144468,ɛ,BR,i,BR373
8514,0.3427284168181062,æ,BR,i,BR373
8515,0.03460942172868196,ɑ,BR,i,BR373
8519,0.003889388564200797,ʌ,BR,i,BR373
8512,0.015627106619984527,oʊ,BR,i,BR373
8513,0.04259806869817516,u,BR,i,BR373
8518,0.015628643168687024,ʊ,BR,i,BR373
7631,0.043106225292654524,i,BR,i,BR374
7637,0.0007637360937575721,ɪ,BR,i,BR374
7630,0.4696596615168447,eɪ,BR,i,BR374
7636,0.048666602844647217,ɛ,BR,i,BR374
7634,0.00022752343969922555,æ,BR,i,BR374
7635,0.0044163148748528926,ɑ,BR,i,BR374
7639,0.0005513081163373967,ʌ,BR,i,BR374
7632,0.028028625859911296,oʊ,BR,i,BR374
7633,0.3965827666171309,u,BR,i,BR374
7638,0.007997239789758403,ʊ,BR,i,BR374
7761,0.2827347055103423,i,BR,i,BR375
7767,0.20761651331577013,ɪ,BR,i,BR375
7760,0.40808891300730465,eɪ,BR,i,BR375
7766,0.013595313577714188,ɛ,BR,i,BR375
7764,0.005308082349276059,æ,BR,i,BR375
7765,0.02816577518989776,ɑ,BR,i,BR375
7769,0.018925549506405823,ʌ,BR,i,BR375
7762,0.0040147725741631855,oʊ,BR,i,BR375
7763,0.007494547230070086,u,BR,i,BR375
7768,0.024055795544791266,ʊ,BR,i,BR375
7491,0.4883776075310177,i,BR,i,BR452
7497,0.35624426803810316,ɪ,BR,i,BR452
7490,0.003186021221917366,eɪ,BR,i,BR452
7496,0.00017999809262027168,ɛ,BR,i,BR452
7494,0.00014290905573684695,æ,BR,i,BR452
7495,0.0032444866543302193,ɑ,BR,i,BR452
7499,0.0007596754369762231,ʌ,BR,i,BR452
7492,0.00029380648706041666,oʊ,BR,i,BR452
7493,0.04911577557084179,u,BR,i,BR452
7498,0.09845546747774689,ʊ,BR,i,BR452
7171,0.22340195932860615,i,BR,i,BR454
7177,0.020396038620371353,ɪ,BR,i,BR454
7170,0.05567331556003631,eɪ,BR,i,BR454
7176,0.1273282585068337,ɛ,BR,i,BR454
7174,0.01738607154786425,æ,BR,i,BR454
7175,0.0673558235278809,ɑ,BR,i,BR454
7179,0.3122279857329484,ʌ,BR,i,BR454
7172,0.042782158309276355,oʊ,BR,i,BR454
7173,0.12258540889717162,u,BR,i,BR454
7178,0.010862988104944318,ʊ,BR,i,BR454
7791,0.8719063252210617,i,BR,i,BR46
7797,0.05279013163777159,ɪ,BR,i,BR46
7790,0.018976930342533806,eɪ,BR,i,BR46
7796,0.0011963776701511475,ɛ,BR,i,BR46
7794,0.0026922011141206834,æ,BR,i,BR46
7795,0.006601529701592685,ɑ,BR,i,BR46
7799,0.03685843771947867,ʌ,BR,i,BR46
7792,3.2534562718314684e-05,oʊ,BR,i,BR46
7793,0.0014522318067772882,u,BR,i,BR46
7798,0.0074932982126272125,ʊ,BR,i,BR46
7901,0.5723988596970836,i,BR,i,BR47
7907,0.08382849253959851,ɪ,BR,i,BR47
