,probabilities,classification,language,vowel,file
8251,0.8807960152626038,i,BR,i,BR132
8257,0.11621957272291183,ɪ,BR,i,BR132
8250,0.0006881205481477082,eɪ,BR,i,BR132
8256,0.0017353513976559043,ɛ,BR,i,BR132
8254,3.975193521910114e-06,æ,BR,i,BR132
8255,1.6139594549713365e-07,ɑ,BR,i,BR132
8259,5.718044917557563e-07,ʌ,BR,i,BR132
8252,1.7893584299599752e-05,oʊ,BR,i,BR132
8253,0.00043076928704977036,u,BR,i,BR132
8258,0.0001075228865374811,ʊ,BR,i,BR132
7411,0.1800067275762558,i,BR,i,BR329
7417,0.008526799269020557,ɪ,BR,i,BR329
7410,0.5528884530067444,eɪ,BR,i,BR329
7416,5.127636177348904e-05,ɛ,BR,i,BR329
7414,0.0007116437773220241,æ,BR,i,BR329
7415,0.000607216963544488,ɑ,BR,i,BR329
7419,0.002193793887272477,ʌ,BR,i,BR329
7412,0.0745227113366127,oʊ,BR,i,BR329
7413,0.11498334258794785,u,BR,i,BR329
7418,0.0655081495642662,ʊ,BR,i,BR329
8511,0.23063109815120697,i,BR,i,BR373
8517,0.00484423665329814,ɪ,BR,i,BR373
8510,0.5171578526496887,eɪ,BR,i,BR373
8516,2.7447242246125825e-05,ɛ,BR,i,BR373
8514,0.000719789881259203,æ,BR,i,BR373
8515,0.0006550620892085135,ɑ,BR,i,BR373
8519,0.0007358746370300651,ʌ,BR,i,BR373
8512,0.02700875513255596,oʊ,BR,i,BR373
8513,0.19759854674339294,u,BR,i,BR373
8518,0.020621392875909805,ʊ,BR,i,BR373
7631,0.02384142577648163,i,BR,i,BR374
7637,0.001185575150884688,ɪ,BR,i,BR374
7630,0.12916013598442078,eɪ,BR,i,BR374
7636,3.318719973322004e-05,ɛ,BR,i,BR374
7634,0.0006885101902298629,æ,BR,i,BR374
7635,0.0047142356634140015,ɑ,BR,i,BR374
7639,0.007674574386328459,ʌ,BR,i,BR374
7632,0.3335893750190735,oʊ,BR,i,BR374
7633,0.2488321214914322,u,BR,i,BR374
7638,0.25028085708618164,ʊ,BR,i,BR374
7761,0.027754684910178185,i,BR,i,BR375
7767,0.002272381680086255,ɪ,BR,i,BR375
7760,0.27229827642440796,eɪ,BR,i,BR375
7766,5.6871202104957774e-05,ɛ,BR,i,BR375
7764,0.0017560559790581465,æ,BR,i,BR375
7765,0.004794823471456766,ɑ,BR,i,BR375
7769,0.016496215015649796,ʌ,BR,i,BR375
7762,0.33051517605781555,oʊ,BR,i,BR375
7763,0.12963981926441193,u,BR,i,BR375
7768,0.21441569924354553,ʊ,BR,i,BR375
7491,0.0013654521899297833,i,BR,i,BR452
