,probabilities,classification,language,vowel,file
0,0.7178744796663523,i,BR,i,BR132
1,0.035960300615988636,ɪ,BR,i,BR132
2,0.09746007219648614,eɪ,BR,i,BR132
3,0.0002781221637974082,ɛ,BR,i,BR132
4,0.004613267830321545,æ,BR,i,BR132
5,2.482131728869694e-05,ɑ,BR,i,BR132
6,1.685660222549828e-05,ʌ,BR,i,BR132
7,0.002548900252382673,oʊ,BR,i,BR132
8,0.13659346605127207,u,BR,i,BR132
9,0.004629723623997946,ʊ,BR,i,BR132
10,0.6521749436855316,i,BR,i,BR329
11,0.09455571307335044,ɪ,BR,i,BR329
12,0.22096750312030053,eɪ,BR,i,BR329
13,0.0004590896651052095,ɛ,BR,i,BR329
14,0.0021619216032306454,æ,BR,i,BR329
15,8.84761514372176e-05,ɑ,BR,i,BR329
16,0.0005510458161467272,ʌ,BR,i,BR329
17,0.008193674278091818,oʊ,BR,i,BR329
18,0.013768062507733653,u,BR,i,BR329
19,0.007079595576874441,ʊ,BR,i,BR329
20,0.4923885655909544,i,BR,i,BR373
21,0.017100309176748808,ɪ,BR,i,BR373
22,0.1559948316711143,eɪ,BR,i,BR373
23,0.000564195404431435,ɛ,BR,i,BR373
24,0.0006129428650849906,æ,BR,i,BR373
25,0.00013393056653868612,ɑ,BR,i,BR373
26,0.0003127002521937668,ʌ,BR,i,BR373
27,0.004936954511413172,oʊ,BR,i,BR373
28,0.289844781983993,u,BR,i,BR373
29,0.038110799888909204,ʊ,BR,i,BR373
30,0.17087513145816047,i,BR,i,BR374
31,0.004317235309736083,ɪ,BR,i,BR374
32,0.17861360742317628,eɪ,BR,i,BR374
33,7.497229315019788e-05,ɛ,BR,i,BR374
34,0.00042544347257161624,æ,BR,i,BR374
35,0.0010128878204653663,ɑ,BR,i,BR374
36,0.002537995984880548,ʌ,BR,i,BR374
37,0.05343975932555618,oʊ,BR,i,BR374
38,0.44055341382700136,u,BR,i,BR374
39,0.14814954398534608,ʊ,BR,i,BR374
40,0.08439077119110147,i,BR,i,BR375
41,0.006637268321196613,ɪ,BR,i,BR375
42,0.5311067719512721,eɪ,BR,i,BR375
43,0.00074530138622816,ɛ,BR,i,BR375
44,0.015209873914057643,æ,BR,i,BR375
45,0.0010404598148852236,ɑ,BR,i,BR375
46,0.03324918782309393,ʌ,BR,i,BR375
47,0.06324768381309691,oʊ,BR,i,BR375
48,0.17780136827132081,u,BR,i,BR375
49,0.08657133508531838,ʊ,BR,i,BR375
50,0.373886586700246,i,BR,i,BR452
51,0.011737085961297553,ɪ,BR,i,BR452
52,0.0012502784430647867,eɪ,BR,i,BR452
53,1.2420936828953585e-05,ɛ,BR,i,BR452
54,3.5538163310218755e-08,æ,BR,i,BR452
55,1.6703812682332582e-06,ɑ,BR,i,BR452
56,5.424423091870769e-06,ʌ,BR,i,BR452
57,1.5410124066761455e-05,oʊ,BR,i,BR452
58,0.6050331468723016,u,BR,i,BR452
59,0.008057976086217836,ʊ,BR,i,BR452
60,0.39305295013655267,i,BR,i,BR454
61,0.1211462583265529,ɪ,BR,i,BR454
62,0.001021758684044838,eɪ,BR,i,BR454
63,0.009765422292563013,ɛ,BR,i,BR454
64,0.000247545840152729,æ,BR,i,BR454
65,0.002308572090394661,ɑ,BR,i,BR454
66,0.00020486028052467338,ʌ,BR,i,BR454
67,0.0014785880860806295,oʊ,BR,i,BR454
68,0.45811798649338015,u,BR,i,BR454
69,0.0126560454029345,ʊ,BR,i,BR454
70,0.7497719034552575,i,BR,i,BR46
71,0.0500698304502293,ɪ,BR,i,BR46
72,0.19912255864401232,eɪ,BR,i,BR46
73,0.00019627344350980967,ɛ,BR,i,BR46
74,0.00018870520210385937,æ,BR,i,BR46
75,2.6934544895057184e-07,ɑ,BR,i,BR46
76,8.858618458438757e-06,ʌ,BR,i,BR46
77,0.00010647000454183779,oʊ,BR,i,BR46
