,probabilities,classification,language,vowel,file
8251,0.9900259971618652,i,BR,i,BR132
8257,0.007562059909105301,ɪ,BR,i,BR132
8250,6.154366565169767e-05,eɪ,BR,i,BR132
8256,1.8896182041316933e-07,ɛ,BR,i,BR132
8254,5.053462093229655e-09,æ,BR,i,BR132
8255,2.466743698192886e-09,ɑ,BR,i,BR132
8259,1.0149455581531797e-10,ʌ,BR,i,BR132
8252,3.446993446232227e-07,oʊ,BR,i,BR132
8253,0.002347893314436078,u,BR,i,BR132
8258,1.9780877664743457e-06,ʊ,BR,i,BR132
7411,0.07120627909898758,i,BR,i,BR329
7417,0.928065299987793,ɪ,BR,i,BR329
7410,0.00017692016263026744,eɪ,BR,i,BR329
7416,3.3290154533460736e-05,ɛ,BR,i,BR329
7414,1.4928319913565247e-08,æ,BR,i,BR329
7415,1.2302646679174245e-09,ɑ,BR,i,BR329
7419,8.232338366553904e-09,ʌ,BR,i,BR329
7412,1.8708877291828685e-07,oʊ,BR,i,BR329
7413,0.0005076818051747978,u,BR,i,BR329
7418,1.0330684744985774e-05,ʊ,BR,i,BR329
8511,0.9991750121116638,i,BR,i,BR373
8517,0.00019608056754805148,ɪ,BR,i,BR373
8510,0.0003627043042797595,eɪ,BR,i,BR373
8516,3.3398926291283715e-08,ɛ,BR,i,BR373
8514,4.662078723072227e-08,æ,BR,i,BR373
8515,9.511706089426752e-09,ɑ,BR,i,BR373
8519,1.3579602720081851e-10,ʌ,BR,i,BR373
8512,7.496237799387018e-07,oʊ,BR,i,BR373
8513,0.00026519986568018794,u,BR,i,BR373
8518,3.6637302969211305e-07,ʊ,BR,i,BR373
7631,0.0004737332637887448,i,BR,i,BR374
7637,2.8410997856553877e-06,ɪ,BR,i,BR374
7630,1.057571012097469e-06,eɪ,BR,i,BR374
7636,4.15038403644985e-09,ɛ,BR,i,BR374
7634,2.295691192699678e-09,æ,BR,i,BR374
7635,9.959227327271947e-07,ɑ,BR,i,BR374
7639,7.603499163622018e-09,ʌ,BR,i,BR374
7632,3.2087289582705125e-05,oʊ,BR,i,BR374
7633,0.9987448453903198,u,BR,i,BR374
7638,0.000744455202948302,ʊ,BR,i,BR374
7761,0.9152951836585999,i,BR,i,BR375
7767,0.000522304093465209,ɪ,BR,i,BR375
7760,0.08372828364372253,eɪ,BR,i,BR375
7766,2.176737098125159e-06,ɛ,BR,i,BR375
7764,6.61975791445002e-05,æ,BR,i,BR375
7765,2.843804850272136e-06,ɑ,BR,i,BR375
7769,3.6234673927992844e-08,ʌ,BR,i,BR375
7762,4.214175351080485e-05,oʊ,BR,i,BR375
7763,0.0003394619270693511,u,BR,i,BR375
7768,1.374856879010622e-06,ʊ,BR,i,BR375
7491,0.04462147504091263,i,BR,i,BR452
7497,0.4877051115036011,ɪ,BR,i,BR452
7490,2.216706889157649e-05,eɪ,BR,i,BR452
7496,2.1361271137720905e-05,ɛ,BR,i,BR452
7494,6.8603962510849215e-09,æ,BR,i,BR452
7495,7.368618071268429e-08,ɑ,BR,i,BR452
7499,6.540335562021937e-08,ʌ,BR,i,BR452
7492,1.6315038010361604e-05,oʊ,BR,i,BR452
7493,0.4649752974510193,u,BR,i,BR452
