,probabilities,classification,language,vowel,file
8251,0.8380149491131306,i,BR,i,BR132
8257,0.05859620408155024,ɪ,BR,i,BR132
8250,0.016037099930326804,eɪ,BR,i,BR132
8256,0.013270679435092348,ɛ,BR,i,BR132
8254,0.0010385579181513283,æ,BR,i,BR132
8255,0.0009484403574186561,ɑ,BR,i,BR132
8259,0.019163795481966225,ʌ,BR,i,BR132
8252,0.001055060610065084,oʊ,BR,i,BR132
8253,0.035426114655274434,u,BR,i,BR132
8258,0.016449089540628847,ʊ,BR,i,BR132
7411,0.4849426530301571,i,BR,i,BR329
7417,0.2078809198224917,ɪ,BR,i,BR329
7410,0.1721127221127972,eɪ,BR,i,BR329
7416,0.0136380884794562,ɛ,BR,i,BR329
7414,0.0005259437415007894,æ,BR,i,BR329
7415,0.0001259090206461866,ɑ,BR,i,BR329
7419,0.002396691737679024,ʌ,BR,i,BR329
7412,0.0019638110455714396,oʊ,BR,i,BR329
7413,0.05274528422596632,u,BR,i,BR329
7418,0.0636679999011676,ʊ,BR,i,BR329
8511,0.4901228463564621,i,BR,i,BR373
8517,0.11301990084095906,ɪ,BR,i,BR373
8510,0.062530379227519,eɪ,BR,i,BR373
8516,0.07728101857719008,ɛ,BR,i,BR373
8514,0.015619509226840656,æ,BR,i,BR373
8515,0.0035055173279427226,ɑ,BR,i,BR373
8519,0.005779481728682744,ʌ,BR,i,BR373
8512,0.0018003877280991175,oʊ,BR,i,BR373
8513,0.18494549790002565,u,BR,i,BR373
8518,0.04539547384476128,ʊ,BR,i,BR373
7631,0.03885102395142894,i,BR,i,BR374
7637,0.001411399910853106,ɪ,BR,i,BR374
7630,0.13909894660606598,eɪ,BR,i,BR374
7636,0.00013819833157429072,ɛ,BR,i,BR374
7634,0.0007108447211392477,æ,BR,i,BR374
7635,0.010975260669817999,ɑ,BR,i,BR374
7639,0.01291602704956274,ʌ,BR,i,BR374
7632,0.10375825767223432,oʊ,BR,i,BR374
7633,0.42990103010088204,u,BR,i,BR374
7638,0.26223900194163435,ʊ,BR,i,BR374
7761,0.24760631865356117,i,BR,i,BR375
7767,0.02203770869007258,ɪ,BR,i,BR375
7760,0.5320968129206449,eɪ,BR,i,BR375
7766,0.004989182804050074,ɛ,BR,i,BR375
7764,0.005358600356612442,æ,BR,i,BR375
7765,0.0018191832154116129,ɑ,BR,i,BR375
7769,0.015985443395999964,ʌ,BR,i,BR375
7762,0.006885577768662188,oʊ,BR,i,BR375
7763,0.07981661350677313,u,BR,i,BR375
7768,0.08340456644358482,ʊ,BR,i,BR375
7491,0.4741691058152355,i,BR,i,BR452
7497,0.19450207035177983,ɪ,BR,i,BR452
7490,0.010499815588127603,eɪ,BR,i,BR452
7496,0.0019539514775566147,ɛ,BR,i,BR452
7494,1.0574529784294212e-05,æ,BR,i,BR452
7495,5.837285768099387e-05,ɑ,BR,i,BR452
7499,0.02392420868700553,ʌ,BR,i,BR452
7492,3.2093376125175153e-05,oʊ,BR,i,BR452
7493,0.27519364601466806,u,BR,i,BR452
7498,0.019656172959836304,ʊ,BR,i,BR452
7171,0.3622495494651957,i,BR,i,BR454
7177,0.05928348886977801,ɪ,BR,i,BR454
7170,0.10146200690578552,eɪ,BR,i,BR454
7176,0.11734120405994304,ɛ,BR,i,BR454
7174,0.05431250818913043,æ,BR,i,BR454
7175,0.03383482339816233,ɑ,BR,i,BR454
7179,0.06036106232199523,ʌ,BR,i,BR454
7172,0.004542891173966978,oʊ,BR,i,BR454
7173,0.18190366282929063,u,BR,i,BR454
7178,0.024708838691924483,ʊ,BR,i,BR454
7791,0.8778944432735443,i,BR,i,BR46
7797,0.08139068302407396,ɪ,BR,i,BR46
7790,0.03712191545637324,eɪ,BR,i,BR46
7796,0.0004413978927232165,ɛ,BR,i,BR46
7794,1.6725586106841605e-05,æ,BR,i,BR46
7795,4.8774990204346684e-05,ɑ,BR,i,BR46
7799,0.0005931192229475468,ʌ,BR,i,BR46
7792,7.182579631574982e-05,oʊ,BR,i,BR46
7793,0.0011798663150329957,u,BR,i,BR46
7798,0.0012412741467301204,ʊ,BR,i,BR46
7901,0.7584036409854888,i,BR,i,BR47
7907,0.10318830249889288,ɪ,BR,i,BR47
7900,0.11903266530553083,eɪ,BR,i,BR47
7906,0.0009807397566845566,ɛ,BR,i,BR47
7904,2.9922954984029636e-05,æ,BR,i,BR47
7905,4.075435276481437e-06,ɑ,BR,i,BR47
7909,0.0004138836649776066,ʌ,BR,i,BR47
7902,0.00024543703478272503,oʊ,BR,i,BR47
7903,0.007506542033661389,u,BR,i,BR47
7908,0.010194813852444895,ʊ,BR,i,BR47
7301,0.7765578925609589,i,BR,i,BR496
7307,0.1318729931190319,ɪ,BR,i,BR496
7300,0.0033759967314836103,eɪ,BR,i,BR496
7306,0.0002170589610841489,ɛ,BR,i,BR496
7304,7.863407244013132e-07,æ,BR,i,BR496
7305,5.623713659336227e-07,ɑ,BR,i,BR496
7309,1.8179006460228297e-05,ʌ,BR,i,BR496
7302,2.966363302903119e-06,oʊ,BR,i,BR496
7303,0.08738489600928005,u,BR,i,BR496
7308,0.0005686960685494568,ʊ,BR,i,BR496
7571,0.6887160472106189,i,BR,i,BR741
7577,0.15077226568710103,ɪ,BR,i,BR741
7570,0.0013505972256552922,eɪ,BR,i,BR741
7576,0.0029598133605468037,ɛ,BR,i,BR741
7574,0.00017329080679520694,æ,BR,i,BR741
7575,7.406663763327923e-05,ɑ,BR,i,BR741
7579,0.0021766832161217637,ʌ,BR,i,BR741
7572,8.694086151876945e-05,oʊ,BR,i,BR741
7573,0.14636246396112257,u,BR,i,BR741
7578,0.007327797231300792,ʊ,BR,i,BR741
8321,0.7281569137703627,i,BR,i,BR742
8327,0.04356087831547484,ɪ,BR,i,BR742
8320,0.10212497459160659,eɪ,BR,i,BR742
8326,0.0005486899772080278,ɛ,BR,i,BR742
8324,5.002084961347464e-05,æ,BR,i,BR742
8325,1.8647974097163455e-05,ɑ,BR,i,BR742
8329,0.00021121559007595894,ʌ,BR,i,BR742
8322,0.00039035452079474455,oʊ,BR,i,BR742
8323,0.10572759787301038,u,BR,i,BR742
8328,0.019210676569647943,ʊ,BR,i,BR742
7811,0.5916084458178374,i,BR,i,BR757
7817,0.07831978519607219,ɪ,BR,i,BR757
7810,0.011990844279550572,eɪ,BR,i,BR757
