,probabilities,classification,language,vowel,file
10727,0.012695223093032837,i,BR,i,BR132
10730,0.7984248995780945,y,BR,i,BR132
10726,0.18700836598873138,e,BR,i,BR132
10736,0.0008965770248323679,ɛ,BR,i,BR132
10737,1.458690235267568e-06,ɛ̃,BR,i,BR132
10731,0.0001239903795067221,ø,BR,i,BR132
10732,5.020614935347112e-06,œ,BR,i,BR132
10725,6.131363647909893e-07,a,BR,i,BR132
10733,1.4278052518079676e-08,ɑ̃,BR,i,BR132
10728,1.8639441634604736e-07,o,BR,i,BR132
10734,2.1061303812075494e-08,ɔ,BR,i,BR132
10735,3.885825208271854e-06,ɔ̃,BR,i,BR132
10729,0.0008397410274483263,u,BR,i,BR132
9635,0.00015495216939598322,i,BR,i,BR329
9638,0.9997712969779968,y,BR,i,BR329
9634,3.920201834262116e-06,e,BR,i,BR329
9644,1.218768147737137e-06,ɛ,BR,i,BR329
9645,2.698949856494437e-06,ɛ̃,BR,i,BR329
9639,7.5177881626586895e-06,ø,BR,i,BR329
9640,1.0620019530449554e-08,œ,BR,i,BR329
9633,2.5247418307117186e-06,a,BR,i,BR329
9641,1.0744845985177776e-10,ɑ̃,BR,i,BR329
9636,6.931785700992066e-11,o,BR,i,BR329
9642,5.186998053297032e-10,ɔ,BR,i,BR329
9643,3.246012170166068e-08,ɔ̃,BR,i,BR329
9637,5.5927135690581053e-05,u,BR,i,BR329
11065,0.00023882607638370246,i,BR,i,BR373
11068,0.9997159838676453,y,BR,i,BR373
11064,1.2168814464530442e-05,e,BR,i,BR373
11074,1.003420038614422e-06,ɛ,BR,i,BR373
11075,1.0658201290425495e-06,ɛ̃,BR,i,BR373
11069,4.28891053161351e-06,ø,BR,i,BR373
11070,5.8777880340699085e-09,œ,BR,i,BR373
11063,4.771112571688718e-07,a,BR,i,BR373
11071,5.150823517707792e-11,ɑ̃,BR,i,BR373
11066,3.6381023194032025e-11,o,BR,i,BR373
11072,2.1441676212319294e-10,ɔ,BR,i,BR373
11073,2.5009381232621308e-08,ɔ̃,BR,i,BR373
11067,2.6176323444815353e-05,u,BR,i,BR373
9921,0.00047357805306091905,i,BR,i,BR374
9924,0.9994956254959106,y,BR,i,BR374
9920,8.735043593333103e-06,e,BR,i,BR374
9930,1.733443127704959e-06,ɛ,BR,i,BR374
9931,1.1480251487228088e-06,ɛ̃,BR,i,BR374
9925,2.4503046915924642e-06,ø,BR,i,BR374
9926,8.598228795619889e-09,œ,BR,i,BR374
9919,1.0190979082835838e-06,a,BR,i,BR374
9927,6.491663456786867e-11,ɑ̃,BR,i,BR374
9922,2.1912593267670033e-11,o,BR,i,BR374
9928,2.4432364464921363e-10,ɔ,BR,i,BR374
9929,1.5844271672449395e-08,ɔ̃,BR,i,BR374
9923,1.5521725799771957e-05,u,BR,i,BR374
10090,5.338688788469881e-05,i,BR,i,BR375
10093,0.0007689354824833572,y,BR,i,BR375
10089,0.0005497894599102437,e,BR,i,BR375
10099,0.9983539581298828,ɛ,BR,i,BR375
10100,2.0002364635729464e-06,ɛ̃,BR,i,BR375
10094,2.7952315576840192e-05,ø,BR,i,BR375
10095,4.44680372311268e-05,œ,BR,i,BR375
10088,1.6457537640235387e-05,a,BR,i,BR375
10096,1.0042172959856543e-07,ɑ̃,BR,i,BR375
10091,3.7735931982751936e-05,o,BR,i,BR375
10097,4.9930640670936555e-06,ɔ,BR,i,BR375
10098,7.424206671657885e-08,ɔ̃,BR,i,BR375
10092,0.0001401568006258458,u,BR,i,BR375
9739,5.030400643590838e-05,i,BR,i,BR452
9742,0.9996193647384644,y,BR,i,BR452
9738,3.2317345812771237e-06,e,BR,i,BR452
9748,4.033153118143673e-07,ɛ,BR,i,BR452
9749,8.439255907433107e-06,ɛ̃,BR,i,BR452
9743,5.6302660595974885e-06,ø,BR,i,BR452
9744,3.133291626156165e-09,œ,BR,i,BR452
9737,1.365281946164032e-06,a,BR,i,BR452
9745,2.376989161056997e-10,ɑ̃,BR,i,BR452
9740,1.916313774330547e-10,o,BR,i,BR452
9746,4.323713331810808e-10,ɔ,BR,i,BR452
9747,2.4425128231087e-07,ɔ̃,BR,i,BR452
9741,0.0003110579855274409,u,BR,i,BR452
9323,4.096710028989037e-07,i,BR,i,BR454
9326,4.53888533229474e-05,y,BR,i,BR454
9322,2.895704710681457e-06,e,BR,i,BR454
9332,3.584535477330064e-07,ɛ,BR,i,BR454
9333,6.428112442335987e-07,ɛ̃,BR,i,BR454
9327,0.9999257326126099,ø,BR,i,BR454
9328,6.1101231949578505e-06,œ,BR,i,BR454
9321,1.8128082501789322e-06,a,BR,i,BR454
9329,6.876379909925845e-09,ɑ̃,BR,i,BR454
9324,3.6957910651835846e-06,o,BR,i,BR454
9330,1.0532838132348843e-05,ɔ,BR,i,BR454
9331,1.7822345910190052e-07,ɔ̃,BR,i,BR454
9325,2.424688318569679e-06,u,BR,i,BR454
10129,0.10860561579465866,i,BR,i,BR46
10132,0.3109815716743469,y,BR,i,BR46
10128,0.17824392020702362,e,BR,i,BR46
10138,0.354652464389801,ɛ,BR,i,BR46
10139,0.0015478362329304218,ɛ̃,BR,i,BR46
10133,0.002850208431482315,ø,BR,i,BR46
10134,0.0036273314617574215,œ,BR,i,BR46
10127,0.0031166421249508858,a,BR,i,BR46
10135,0.00037196188350208104,ɑ̃,BR,i,BR46
10130,0.0008147869957610965,o,BR,i,BR46
10136,0.0003633975575212389,ɔ,BR,i,BR46
10137,0.0010743855964392424,ɔ̃,BR,i,BR46
10131,0.03374990075826645,u,BR,i,BR46
10272,0.03488333895802498,i,BR,i,BR47
10275,0.9585909247398376,y,BR,i,BR47
10271,0.0032507467549294233,e,BR,i,BR47
10281,0.002111376030370593,ɛ,BR,i,BR47
10282,7.145612471504137e-05,ɛ̃,BR,i,BR47
10276,0.00014617836859542876,ø,BR,i,BR47
10277,2.4150771423592232e-05,œ,BR,i,BR47
10270,0.00015596114099025726,a,BR,i,BR47
10278,7.409435625049809e-07,ɑ̃,BR,i,BR47
10273,2.419964459932089e-07,o,BR,i,BR47
10279,9.200364843309217e-07,ɔ,BR,i,BR47
10280,8.891938705346547e-06,ɔ̃,BR,i,BR47
10274,0.0007551746093668044,u,BR,i,BR47
9492,0.003328017657622695,i,BR,i,BR496
9495,0.9948843121528625,y,BR,i,BR496
9491,0.00011235219426453114,e,BR,i,BR496
9501,0.0014919193927198648,ɛ,BR,i,BR496
9502,4.787673788086977e-06,ɛ̃,BR,i,BR496
9496,5.167500603420194e-06,ø,BR,i,BR496
9497,2.3844199859013315e-07,œ,BR,i,BR496
9490,1.8059052308672108e-05,a,BR,i,BR496
9498,1.3753019834084057e-09,ɑ̃,BR,i,BR496
9493,1.5757393168058798e-09,o,BR,i,BR496
9499,7.338082141927771e-09,ɔ,BR,i,BR496
9500,2.6601229663469894e-08,ɔ̃,BR,i,BR496
9494,0.0001551921886857599,u,BR,i,BR496
9843,1.065465426108858e-06,i,BR,i,BR741
9846,0.0001320376613875851,y,BR,i,BR741
9842,2.140065043931827e-05,e,BR,i,BR741
9852,5.193465995034785e-07,ɛ,BR,i,BR741
9853,1.8044180194465298e-07,ɛ̃,BR,i,BR741
9847,0.999833345413208,ø,BR,i,BR741
9848,4.869000349572161e-06,œ,BR,i,BR741
9841,3.0248040161495737e-07,a,BR,i,BR741
9849,1.621353939995629e-09,ɑ̃,BR,i,BR741
9844,1.624344804440625e-06,o,BR,i,BR741
9850,2.560786242611357e-06,ɔ,BR,i,BR741
9851,9.443547810406017e-08,ɔ̃,BR,i,BR741
9845,2.0077943645446794e-06,u,BR,i,BR741
10818,7.54672073526308e-05,i,BR,i,BR742
10821,0.9995855689048767,y,BR,i,BR742
10817,2.4627663606224814e-06,e,BR,i,BR742
10827,4.4543571675603744e-07,ɛ,BR,i,BR742
10828,1.1914313290617429e-05,ɛ̃,BR,i,BR742
10822,3.787850346270716e-06,ø,BR,i,BR742
10823,3.57183504995362e-09,œ,BR,i,BR742
10816,2.3069737835612614e-06,a,BR,i,BR742
10824,4.318778668022105e-10,ɑ̃,BR,i,BR742
10819,1.710691449607893e-10,o,BR,i,BR742
10825,4.95924523669089e-10,ɔ,BR,i,BR742
10826,3.157181538426812e-07,ɔ̃,BR,i,BR742
10820,0.0003175909514538944,u,BR,i,BR742
10155,0.4378392994403839,i,BR,i,BR757
10158,0.4890061914920807,y,BR,i,BR757
10154,0.011540435254573822,e,BR,i,BR757
10164,0.032440949231386185,ɛ,BR,i,BR757
10165,0.0022806336637586355,ɛ̃,BR,i,BR757
10159,0.005134108010679483,ø,BR,i,BR757
10160,0.003570543834939599,œ,BR,i,BR757
10153,0.014838243834674358,a,BR,i,BR757
10161,0.0003254795738030225,ɑ̃,BR,i,BR757
10156,3.661439041025005e-05,o,BR,i,BR757
10162,0.00039491610368713737,ɔ,BR,i,BR757
