,probabilities,classification,language,vowel,file
10727,0.4845981724543321,i,BR,i,BR132
10730,0.3783499238334628,y,BR,i,BR132
10726,0.03689370669634915,e,BR,i,BR132
10736,9.889846603104608e-05,ɛ,BR,i,BR132
10737,1.689547769973562e-07,ɛ̃,BR,i,BR132
10731,0.09992393848789574,ø,BR,i,BR132
10732,1.58651446839599e-06,œ,BR,i,BR132
10725,1.2266197070826616e-05,a,BR,i,BR132
10733,4.8731726422626045e-08,ɑ̃,BR,i,BR132
10728,8.953554363960879e-08,o,BR,i,BR132
10734,6.342606333366345e-07,ɔ,BR,i,BR132
10735,9.982243102212263e-07,ɔ̃,BR,i,BR132
10729,0.00011957103929203334,u,BR,i,BR132
9635,0.2156578309100623,i,BR,i,BR329
9638,0.10202423043110453,y,BR,i,BR329
9634,0.0719252776173061,e,BR,i,BR329
9644,0.10091790457901376,ɛ,BR,i,BR329
9645,5.534421388608867e-06,ɛ̃,BR,i,BR329
9639,0.20899229776279576,ø,BR,i,BR329
9640,0.0015247842730235794,œ,BR,i,BR329
9633,2.902613331409315e-05,a,BR,i,BR329
9641,9.752786320390023e-06,ɑ̃,BR,i,BR329
9636,9.683365078356931e-06,o,BR,i,BR329
9642,0.19999124796427808,ɔ,BR,i,BR329
9643,0.0003545844319616198,ɔ̃,BR,i,BR329
9637,0.09855785129909457,u,BR,i,BR329
11065,0.19479440809574738,i,BR,i,BR373
11068,0.30513341349017364,y,BR,i,BR373
11064,0.2998982202010839,e,BR,i,BR373
11074,5.783439191209489e-06,ɛ,BR,i,BR373
11075,1.253220283503701e-07,ɛ̃,BR,i,BR373
11069,1.5038462331848357e-06,ø,BR,i,BR373
11070,6.845849551836229e-05,œ,BR,i,BR373
11063,2.641973403517419e-06,a,BR,i,BR373
11071,0.0002728050346866306,ɑ̃,BR,i,BR373
11066,5.36828590766373e-06,o,BR,i,BR373
11072,1.0335253893075383e-08,ɔ,BR,i,BR373
11073,0.0006016406400514847,ɔ̃,BR,i,BR373
11067,0.19921567089913877,u,BR,i,BR373
9921,0.10449069275539671,i,BR,i,BR374
9924,0.10472606681378656,y,BR,i,BR374
9920,0.48060409344471033,e,BR,i,BR374
9930,0.10209581530456262,ɛ,BR,i,BR374
9931,2.846150658801431e-05,ɛ̃,BR,i,BR374
9925,0.005060469516223872,ø,BR,i,BR374
9926,0.002194182853129939,œ,BR,i,BR374
9919,1.1038801770517533e-05,a,BR,i,BR374
9927,0.004337712223505345,ɑ̃,BR,i,BR374
9922,0.0042715405784452595,o,BR,i,BR374
9928,0.10519847142166121,ɔ,BR,i,BR374
9929,0.07816195161136304,ɔ̃,BR,i,BR374
9923,0.008819498794974996,u,BR,i,BR374
10090,0.022015102657394474,i,BR,i,BR375
10093,0.0011657015336539514,y,BR,i,BR375
10089,0.08753627918252258,e,BR,i,BR375
10099,0.513850504880611,ɛ,BR,i,BR375
10100,0.0002525254553737955,ɛ̃,BR,i,BR375
10094,0.008452193506664391,ø,BR,i,BR375
10095,0.1787650232983377,œ,BR,i,BR375
10088,0.18177309557186802,a,BR,i,BR375
10096,0.00033266506422513617,ɑ̃,BR,i,BR375
10091,0.0033754706753483356,o,BR,i,BR375
10097,0.0003155660851935756,ɔ,BR,i,BR375
10098,0.001356748112657141,ɔ̃,BR,i,BR375
10092,0.0008091111101403914,u,BR,i,BR375
9739,0.2969232041923249,i,BR,i,BR452
9742,0.2923328426338241,y,BR,i,BR452
9738,0.00015747498152172135,e,BR,i,BR452
9748,0.0005059514356502134,ɛ,BR,i,BR452
9749,0.0010419291944641711,ɛ̃,BR,i,BR452
9743,0.11475428481681149,ø,BR,i,BR452
9744,7.957177280453758e-05,œ,BR,i,BR452
9737,0.0005899208030658921,a,BR,i,BR452
9745,0.0009086307230474603,ɑ̃,BR,i,BR452
9740,0.002105435242014222,o,BR,i,BR452
9746,0.18712633156460062,ɔ,BR,i,BR452
9747,0.0015411754360018656,ɔ̃,BR,i,BR452
9741,0.10193327100226512,u,BR,i,BR452
9323,0.5321523543749083,i,BR,i,BR454
9326,0.07495100266694318,y,BR,i,BR454
9322,0.05370924652686134,e,BR,i,BR454
9332,0.0002289598159026348,ɛ,BR,i,BR454
9333,7.21214536713997e-07,ɛ̃,BR,i,BR454
9327,0.13817168467855817,ø,BR,i,BR454
9328,0.0005267330094854237,œ,BR,i,BR454
9321,0.0007047656914131581,a,BR,i,BR454
9329,8.644544049921393e-05,ɑ̃,BR,i,BR454
9324,5.214930282572403e-07,o,BR,i,BR454
9330,3.977353352399487e-06,ɔ,BR,i,BR454
9331,0.10004453686098691,ɔ̃,BR,i,BR454
9325,0.09941913873017685,u,BR,i,BR454
10129,0.6162646308741386,i,BR,i,BR46
10132,0.12559256661043036,y,BR,i,BR46
10128,0.017959644565553375,e,BR,i,BR46
10138,0.035480832386794676,ɛ,BR,i,BR46
10139,0.0001549321564581572,ɛ̃,BR,i,BR46
10133,0.000301902247600448,ø,BR,i,BR46
10134,0.00036281778916512364,œ,BR,i,BR46
10127,0.20023288644034204,a,BR,i,BR46
10135,3.723422039281054e-05,ɑ̃,BR,i,BR46
10130,8.161939249020236e-05,o,BR,i,BR46
10136,3.633988595400912e-05,ɔ,BR,i,BR46
10137,0.00010909528517315898,ɔ̃,BR,i,BR46
10131,0.0033855252126509332,u,BR,i,BR46
10272,0.5949294460595411,i,BR,i,BR47
10275,0.10561434330924727,y,BR,i,BR47
10271,0.09911494441921603,e,BR,i,BR47
10281,0.0002164948083606203,ɛ,BR,i,BR47
10282,9.624158061142128e-06,ɛ̃,BR,i,BR47
10276,4.257898710633412e-05,ø,BR,i,BR47
10277,2.8062102093352716e-05,œ,BR,i,BR47
10270,4.312012153214521e-05,a,BR,i,BR47
10278,7.435719284878534e-08,ɑ̃,BR,i,BR47
10273,0.19989763712171726,o,BR,i,BR47
10279,2.981022255142594e-07,ɔ,BR,i,BR47
10280,1.3158948937023779e-05,ɔ̃,BR,i,BR47
10274,9.028215819104077e-05,u,BR,i,BR47
9492,0.013731628104236093,i,BR,i,BR496
9495,0.19885080942817251,y,BR,i,BR496
9491,0.4992673764673441,e,BR,i,BR496
9501,0.08218661664140114,ɛ,BR,i,BR496
9502,0.0002234894933045949,ɛ̃,BR,i,BR496
9496,0.03672516382762829,ø,BR,i,BR496
9497,0.130323465034013,œ,BR,i,BR496
9490,0.006241405987712296,a,BR,i,BR496
9498,0.00026302969349116816,ɑ̃,BR,i,BR496
9493,0.009012777698396267,o,BR,i,BR496
9499,0.0009688333601282131,ɔ,BR,i,BR496
9500,0.020654837291984137,ɔ̃,BR,i,BR496
9494,0.0015506156117607518,u,BR,i,BR496
9843,0.49864184321033855,i,BR,i,BR741
9846,0.00025622605709164816,y,BR,i,BR741
9842,0.20105020313904984,e,BR,i,BR741
9852,1.1710519978539542e-05,ɛ,BR,i,BR741
9853,4.127873256946551e-08,ɛ̃,BR,i,BR741
9847,0.10007928833886774,ø,BR,i,BR741
9848,1.260913703025874e-05,œ,BR,i,BR741
9841,3.997323812461394e-06,a,BR,i,BR741
9849,0.0021113512435874515,ɑ̃,BR,i,BR741
9844,1.920861338500526e-07,o,BR,i,BR741
9850,2.2130897408888523e-05,ɔ,BR,i,BR741
9851,0.09756978321263213,ɔ̃,BR,i,BR741
9845,0.1002406756225025,u,BR,i,BR741
10818,0.4358726409004703,i,BR,i,BR742
10821,0.2760132407936908,y,BR,i,BR742
10817,0.10010953675689435,e,BR,i,BR742
10827,6.962427778989895e-06,ɛ,BR,i,BR742
10828,5.912883902278314e-06,ɛ̃,BR,i,BR742
10822,0.0009679931713495543,ø,BR,i,BR742
10823,0.00011539922683726234,œ,BR,i,BR742
10816,0.0006019328124888519,a,BR,i,BR742
10824,1.1616218933465942e-06,ɑ̃,BR,i,BR742
10819,0.09728640882253202,o,BR,i,BR742
10825,2.4581005052739426e-06,ɔ,BR,i,BR742
10826,0.014900626665182493,ɔ̃,BR,i,BR742
10820,0.0741157392280387,u,BR,i,BR742
10155,0.43041757824048543,i,BR,i,BR757
10158,0.04897061902798091,y,BR,i,BR757
10154,0.3013219652601947,e,BR,i,BR757
10164,0.0032598539032363456,ɛ,BR,i,BR757
10165,0.00022823130284573288,ɛ̃,BR,i,BR757
10159,0.013747564740993787,ø,BR,i,BR757
10160,0.0003604838819177694,œ,BR,i,BR757
10153,0.20130670213148122,a,BR,i,BR757
10161,3.255493654511926e-05,ɑ̃,BR,i,BR757
10156,1.1603853943629407e-05,o,BR,i,BR757
10162,3.949174660376447e-05,ɔ,BR,i,BR757
10163,6.007958814023954e-05,ɔ̃,BR,i,BR757
10157,0.0002432643453431752,u,BR,i,BR757
8751,0.5978579453038038,i,BR,i,BR796
8754,0.15367550072604166,y,BR,i,BR796
8750,0.0996190419973118,e,BR,i,BR796
8760,7.517510317578811e-06,ɛ,BR,i,BR796
8761,1.9252209480865583e-06,ɛ̃,BR,i,BR796
8755,0.0018990560041843788,ø,BR,i,BR796
8756,0.0009787103291196513,œ,BR,i,BR796
8749,1.2860895473762984e-05,a,BR,i,BR796
8757,2.5005657950153834e-05,ɑ̃,BR,i,BR796
8752,0.10346330215695847,o,BR,i,BR796
8758,3.571431436508523e-05,ɔ,BR,i,BR796
8759,0.04233073398319823,ɔ̃,BR,i,BR796
