,probabilities,classification,language,vowel,file
10727,0.9996689558029175,i,BR,i,BR132
10730,0.00022649296442978084,y,BR,i,BR132
10726,6.311293691396713e-05,e,BR,i,BR132
10736,1.370625568597461e-06,ɛ,BR,i,BR132
10737,1.0506033376600499e-08,ɛ̃,BR,i,BR132
10731,2.002658038691152e-05,ø,BR,i,BR132
10732,7.169460858325039e-11,œ,BR,i,BR132
10725,2.3129358150963952e-10,a,BR,i,BR132
10733,1.0323221166785856e-09,ɑ̃,BR,i,BR132
10728,8.703057025050143e-11,o,BR,i,BR132
10734,9.732367906370443e-13,ɔ,BR,i,BR132
10735,1.9129223801428452e-05,ɔ̃,BR,i,BR132
10729,6.849340934422798e-07,u,BR,i,BR132
9635,0.999487042427063,i,BR,i,BR329
9638,0.0003812760696746409,y,BR,i,BR329
9634,8.294813596876338e-05,e,BR,i,BR329
9644,3.948838184442138e-06,ɛ,BR,i,BR329
9645,1.4011340532249505e-08,ɛ̃,BR,i,BR329
9639,2.9659280698979273e-05,ø,BR,i,BR329
9640,2.0386047017151299e-10,œ,BR,i,BR329
9633,7.177229921495609e-10,a,BR,i,BR329
9641,1.1372137675991212e-09,ɑ̃,BR,i,BR329
9636,1.224679663236472e-10,o,BR,i,BR329
9642,2.4917906280008673e-12,ɔ,BR,i,BR329
9643,1.419040017935913e-05,ɔ̃,BR,i,BR329
9637,9.167425787381944e-07,u,BR,i,BR329
11065,0.9996411800384521,i,BR,i,BR373
11068,0.00026442811940796673,y,BR,i,BR373
11064,5.936803427175619e-05,e,BR,i,BR373
11074,1.4298386759037385e-06,ɛ,BR,i,BR373
11075,9.574256942812553e-09,ɛ̃,BR,i,BR373
11069,1.4866332094243262e-05,ø,BR,i,BR373
11070,6.131340574144772e-11,œ,BR,i,BR373
11063,2.407700150364178e-10,a,BR,i,BR373
11071,8.015990649035132e-10,ɑ̃,BR,i,BR373
11066,7.200850332678144e-11,o,BR,i,BR373
11072,7.765115590460669e-13,ɔ,BR,i,BR373
11073,1.7882488464238122e-05,ɔ̃,BR,i,BR373
11067,7.934499990369659e-07,u,BR,i,BR373
9921,0.9996024966239929,i,BR,i,BR374
9924,0.00026382721262052655,y,BR,i,BR374
9920,9.099538874579594e-05,e,BR,i,BR374
9930,2.4254377422039397e-06,ɛ,BR,i,BR374
9931,9.215655794037048e-09,ɛ̃,BR,i,BR374
9925,2.3164389858720824e-05,ø,BR,i,BR374
9926,1.2506233548759127e-10,œ,BR,i,BR374
9919,3.279379823251105e-10,a,BR,i,BR374
9927,9.706413450771834e-10,ɑ̃,BR,i,BR374
9922,1.1674269884132116e-10,o,BR,i,BR374
9928,1.342187537327344e-12,ɔ,BR,i,BR374
9929,1.6359601431759074e-05,ɔ̃,BR,i,BR374
9923,8.268166880043282e-07,u,BR,i,BR374
10090,3.0545734830411675e-07,i,BR,i,BR375
10093,1.789877273949969e-06,y,BR,i,BR375
10089,7.373593234660802e-06,e,BR,i,BR375
10099,0.9998747110366821,ɛ,BR,i,BR375
10100,6.653292500269359e-11,ɛ̃,BR,i,BR375
10094,2.1959155560580257e-07,ø,BR,i,BR375
10095,8.2861450209748e-05,œ,BR,i,BR375
10088,3.112022750428878e-05,a,BR,i,BR375
10096,2.1986256131673043e-12,ɑ̃,BR,i,BR375
10091,1.6915788592086756e-07,o,BR,i,BR375
10097,7.042715992611193e-07,ɔ,BR,i,BR375
10098,4.608730064248334e-12,ɔ̃,BR,i,BR375
10092,7.02112174622016e-07,u,BR,i,BR375
9739,0.9993500113487244,i,BR,i,BR452
9742,0.00012817779497709125,y,BR,i,BR452
9738,0.0003664518881123513,e,BR,i,BR452
9748,2.7113612759421812e-06,ɛ,BR,i,BR452
9749,1.803138971467888e-08,ɛ̃,BR,i,BR452
9743,9.762148692971095e-05,ø,BR,i,BR452
9744,6.084804882178219e-10,œ,BR,i,BR452
9737,3.294586548019396e-10,a,BR,i,BR452
9745,8.049276800647931e-09,ɑ̃,BR,i,BR452
9740,1.42214540144181e-09,o,BR,i,BR452
9746,7.647871919091997e-12,ɔ,BR,i,BR452
9747,5.38652457180433e-05,ɔ̃,BR,i,BR452
9741,1.2022807140965597e-06,u,BR,i,BR452
9323,0.9982774257659912,i,BR,i,BR454
9326,0.0016906913369894028,y,BR,i,BR454
9322,1.5072178030095529e-05,e,BR,i,BR454
9332,3.0719031656190054e-06,ɛ,BR,i,BR454
9333,1.604332311444523e-08,ɛ̃,BR,i,BR454
9327,2.5993074359575985e-06,ø,BR,i,BR454
9328,1.8265670226336184e-11,œ,BR,i,BR454
9321,1.1299277069554137e-09,a,BR,i,BR454
9329,1.4241560708505574e-10,ɑ̃,BR,i,BR454
9324,9.64188798247001e-12,o,BR,i,BR454
9330,4.3703007792522675e-13,ɔ,BR,i,BR454
9331,9.077407412405591e-06,ɔ̃,BR,i,BR454
9325,2.058821337413974e-06,u,BR,i,BR454
10129,0.9996470212936401,i,BR,i,BR46
10132,0.00024271193251479417,y,BR,i,BR46
10128,6.849595956737176e-05,e,BR,i,BR46
10138,1.7427084912924329e-06,ɛ,BR,i,BR46
10139,1.0518474091725238e-08,ɛ̃,BR,i,BR46
10133,2.2006792278261855e-05,ø,BR,i,BR46
10134,8.854918187584104e-11,œ,BR,i,BR46
10127,2.7903987454003243e-10,a,BR,i,BR46
10135,1.016450257296242e-09,ɑ̃,BR,i,BR46
10130,9.390766636530046e-11,o,BR,i,BR46
10136,1.1649019422688145e-12,ɔ,BR,i,BR46
10137,1.7212305465363897e-05,ɔ̃,BR,i,BR46
10131,7.012872060840891e-07,u,BR,i,BR46
10272,0.9996620416641235,i,BR,i,BR47
10275,0.00023635417164769024,y,BR,i,BR47
10271,6.03829903411679e-05,e,BR,i,BR47
10281,1.2501113815233111e-06,ɛ,BR,i,BR47
