,probabilities,classification,language,vowel,file
10727,0.009992341510951519,i,BR,i,BR132
10730,0.36143526434898376,y,BR,i,BR132
10726,0.0014535905793309212,e,BR,i,BR132
10736,0.001873586792498827,ɛ,BR,i,BR132
10737,0.00045184631017036736,ɛ̃,BR,i,BR132
10731,0.36737772822380066,ø,BR,i,BR132
10732,0.0874469131231308,œ,BR,i,BR132
10725,0.00028732686769217253,a,BR,i,BR132
10733,3.7394249375211075e-05,ɑ̃,BR,i,BR132
10728,0.007049803622066975,o,BR,i,BR132
10734,0.04178228974342346,ɔ,BR,i,BR132
10735,0.001852179178968072,ɔ̃,BR,i,BR132
10729,0.11895982921123505,u,BR,i,BR132
9635,0.16158483922481537,i,BR,i,BR329
9638,0.4077789783477783,y,BR,i,BR329
9634,0.029912782832980156,e,BR,i,BR329
9644,0.0025136300828307867,ɛ,BR,i,BR329
9645,0.0009761182591319084,ɛ̃,BR,i,BR329
9639,0.06603267788887024,ø,BR,i,BR329
9640,0.005573002155870199,œ,BR,i,BR329
9633,9.912435052683577e-05,a,BR,i,BR329
9641,0.0008442843682132661,ɑ̃,BR,i,BR329
9636,0.003865668084472418,o,BR,i,BR329
9642,0.001408217241987586,ɔ,BR,i,BR329
9643,0.030044810846447945,ɔ̃,BR,i,BR329
9637,0.28936582803726196,u,BR,i,BR329
11065,0.850551187992096,i,BR,i,BR373
11068,0.08326376974582672,y,BR,i,BR373
11064,0.05429915711283684,e,BR,i,BR373
11074,0.0009203586378134787,ɛ,BR,i,BR373
11075,0.0002917772508226335,ɛ̃,BR,i,BR373
11069,0.002538098720833659,ø,BR,i,BR373
11070,0.00011729839025065303,œ,BR,i,BR373
11063,1.2963629387741094e-06,a,BR,i,BR373
11071,6.612901779590175e-05,ɑ̃,BR,i,BR373
11066,1.922710180224385e-05,o,BR,i,BR373
11072,7.598524916829774e-06,ɔ,BR,i,BR373
11073,0.0009537055739201605,ɔ̃,BR,i,BR373
11067,0.006970422808080912,u,BR,i,BR373
9921,0.10548252612352371,i,BR,i,BR374
9924,0.05704125761985779,y,BR,i,BR374
9920,0.18868771195411682,e,BR,i,BR374
9930,0.04537369683384895,ɛ,BR,i,BR374
9931,0.003786604618653655,ɛ̃,BR,i,BR374
9925,0.22381509840488434,ø,BR,i,BR374
9926,0.05587955564260483,œ,BR,i,BR374
9919,0.0020442293025553226,a,BR,i,BR374
9927,0.012391815893352032,ɑ̃,BR,i,BR374
9922,0.03998836874961853,o,BR,i,BR374
9928,0.010193189606070518,ɔ,BR,i,BR374
9929,0.016810927540063858,ɔ̃,BR,i,BR374
9923,0.23850511014461517,u,BR,i,BR374
10090,0.0025587824638932943,i,BR,i,BR375
10093,0.041279006749391556,y,BR,i,BR375
10089,0.002132509835064411,e,BR,i,BR375
10099,0.010663678869605064,ɛ,BR,i,BR375
10100,0.007686474826186895,ɛ̃,BR,i,BR375
10094,0.2631264925003052,ø,BR,i,BR375
10095,0.3284517526626587,œ,BR,i,BR375
10088,0.08837125450372696,a,BR,i,BR375
10096,0.002750230487436056,ɑ̃,BR,i,BR375
10091,0.04798872023820877,o,BR,i,BR375
10097,0.17875899374485016,ɔ,BR,i,BR375
10098,0.009568212553858757,ɔ̃,BR,i,BR375
10092,0.016663862392306328,u,BR,i,BR375
9739,0.6844799518585205,i,BR,i,BR452
9742,0.21476788818836212,y,BR,i,BR452
9738,0.04059426859021187,e,BR,i,BR452
9748,0.007364960853010416,ɛ,BR,i,BR452
9749,0.00026502503897063434,ɛ̃,BR,i,BR452
9743,0.043248023837804794,ø,BR,i,BR452
9744,0.004791904706507921,œ,BR,i,BR452
9737,5.368905021896353e-06,a,BR,i,BR452
9745,7.4552090154611506e-06,ɑ̃,BR,i,BR452
9740,3.648731581051834e-05,o,BR,i,BR452
9746,0.0001092286329367198,ɔ,BR,i,BR452
9747,5.895562208024785e-05,ɔ̃,BR,i,BR452
9741,0.004270425997674465,u,BR,i,BR452
9323,0.9665358066558838,i,BR,i,BR454
9326,0.00010290249338140711,y,BR,i,BR454
9322,0.03294391185045242,e,BR,i,BR454
9332,0.00029136345256119967,ɛ,BR,i,BR454
9333,0.00011731700215023011,ɛ̃,BR,i,BR454
