,probabilities,classification,language,vowel,file
10727,0.39183127507276366,i,BR,i,BR132
10730,0.40537642725976186,y,BR,i,BR132
10726,0.010151781147396826,e,BR,i,BR132
10736,0.0002737692696451521,ɛ,BR,i,BR132
10737,0.00031320546484039306,ɛ̃,BR,i,BR132
10731,0.14191637618027925,ø,BR,i,BR132
10732,0.024563898152194945,œ,BR,i,BR132
10725,0.0003486375927166755,a,BR,i,BR132
10733,4.905710933211793e-06,ɑ̃,BR,i,BR132
10728,0.004038735726562227,o,BR,i,BR132
10734,0.004597320997916649,ɔ,BR,i,BR132
10735,0.0007643264694820545,ɔ̃,BR,i,BR132
10729,0.01581937351807028,u,BR,i,BR132
9635,0.12245392447675556,i,BR,i,BR329
9638,0.37898883639136327,y,BR,i,BR329
9634,0.0069721834809570145,e,BR,i,BR329
9644,0.008313248602098594,ɛ,BR,i,BR329
9645,0.0988626359368682,ɛ̃,BR,i,BR329
9639,0.03087538547697476,ø,BR,i,BR329
9640,0.008038528507518095,œ,BR,i,BR329
9633,0.0002687765328941882,a,BR,i,BR329
9641,0.0001439443178434799,ɑ̃,BR,i,BR329
9636,0.0011909380676570435,o,BR,i,BR329
9642,0.07473276526725384,ɔ,BR,i,BR329
9643,0.05549228487296887,ɔ̃,BR,i,BR329
9637,0.21366656107286985,u,BR,i,BR329
11065,0.2668483188113896,i,BR,i,BR373
11068,0.48605198674263195,y,BR,i,BR373
11064,0.006154372753110237,e,BR,i,BR373
11074,0.00026540339449638293,ɛ,BR,i,BR373
11075,0.00022795773480766002,ɛ̃,BR,i,BR373
11069,0.004262433160329222,ø,BR,i,BR373
11070,0.11497833517969411,œ,BR,i,BR373
11063,9.258289201099044e-05,a,BR,i,BR373
11071,0.06979612459609505,ɑ̃,BR,i,BR373
11066,0.0012752362966239102,o,BR,i,BR373
11072,0.0005215068315408179,ɔ,BR,i,BR373
11073,0.0031803356852833434,ɔ̃,BR,i,BR373
11067,0.04634540792321785,u,BR,i,BR373
9921,0.2565516020500695,i,BR,i,BR374
9924,0.15082680807536236,y,BR,i,BR374
9920,0.06809550511097769,e,BR,i,BR374
9930,0.13041213019459974,ɛ,BR,i,BR374
9931,0.008153308749615451,ɛ̃,BR,i,BR374
9925,0.05918800490908323,ø,BR,i,BR374
9926,0.0549581627092266,œ,BR,i,BR374
