,probabilities,classification,language,vowel,file
10727,0.7863721251487732,i,BR,i,BR132
10730,0.09494603425264359,y,BR,i,BR132
10726,0.1171799972653389,e,BR,i,BR132
10736,0.0012969208182767034,ɛ,BR,i,BR132
10737,3.9155747089125725e-08,ɛ̃,BR,i,BR132
10731,0.00013868494716007262,ø,BR,i,BR132
10732,5.2072518883505836e-05,œ,BR,i,BR132
10725,6.8336917138367426e-06,a,BR,i,BR132
10733,8.783098337517004e-08,ɑ̃,BR,i,BR132
10728,8.608885764260776e-07,o,BR,i,BR132
10734,6.1754340094921645e-06,ɔ,BR,i,BR132
10735,2.3857944952965227e-08,ɔ̃,BR,i,BR132
10729,2.420248392809299e-07,u,BR,i,BR132
9635,0.002638716483488679,i,BR,i,BR329
9638,0.27885743975639343,y,BR,i,BR329
9634,0.007956172339618206,e,BR,i,BR329
9644,0.13565072417259216,ɛ,BR,i,BR329
9645,1.1152153092552908e-05,ɛ̃,BR,i,BR329
9639,0.03248480334877968,ø,BR,i,BR329
9640,0.01493722666054964,œ,BR,i,BR329
9633,0.04265480861067772,a,BR,i,BR329
9641,0.001462343498133123,ɑ̃,BR,i,BR329
9636,0.1086331233382225,o,BR,i,BR329
9642,0.16782881319522858,ɔ,BR,i,BR329
9643,0.00460620503872633,ɔ̃,BR,i,BR329
9637,0.2022784948348999,u,BR,i,BR329
11065,0.7637182474136353,i,BR,i,BR373
11068,0.22482791543006897,y,BR,i,BR373
11064,0.007866093888878822,e,BR,i,BR373
11074,0.0010692276991903782,ɛ,BR,i,BR373
11075,8.931298793868336e-07,ɛ̃,BR,i,BR373
11069,0.0004069127608090639,ø,BR,i,BR373
11070,5.831638918607496e-05,œ,BR,i,BR373
11063,1.4213611393643077e-05,a,BR,i,BR373
11071,2.087785651383456e-05,ɑ̃,BR,i,BR373
11066,0.0001600216783117503,o,BR,i,BR373
11072,0.0010364422341808677,ɔ,BR,i,BR373
11073,9.916291310219094e-05,ɔ̃,BR,i,BR373
11067,0.0007216863450594246,u,BR,i,BR373
9921,0.269118994474411,i,BR,i,BR374
9924,0.5024732351303101,y,BR,i,BR374
9920,0.06746212393045425,e,BR,i,BR374
9930,0.12416594475507736,ɛ,BR,i,BR374
9931,6.655770448560361e-06,ɛ̃,BR,i,BR374
9925,0.00366718927398324,ø,BR,i,BR374
9926,0.0014299277681857347,œ,BR,i,BR374
9919,0.006041247863322496,a,BR,i,BR374
9927,0.0005430144956335425,ɑ̃,BR,i,BR374
9922,0.002513874787837267,o,BR,i,BR374
9928,0.010179712437093258,ɔ,BR,i,BR374
9929,0.0036452081985771656,ɔ̃,BR,i,BR374
9923,0.008752964437007904,u,BR,i,BR374
10090,0.005372885148972273,i,BR,i,BR375
10093,0.12408889830112457,y,BR,i,BR375
10089,0.004379764664918184,e,BR,i,BR375
10099,0.042317841202020645,ɛ,BR,i,BR375
10100,6.72153037157841e-05,ɛ̃,BR,i,BR375
10094,0.007873592898249626,ø,BR,i,BR375
10095,0.007005828898400068,œ,BR,i,BR375
10088,0.0450739823281765,a,BR,i,BR375
10096,0.02483700029551983,ɑ̃,BR,i,BR375
10091,0.09781350195407867,o,BR,i,BR375
10097,0.2838272452354431,ɔ,BR,i,BR375
10098,0.309852659702301,ɔ̃,BR,i,BR375
10092,0.047489650547504425,u,BR,i,BR375
9739,0.6536704897880554,i,BR,i,BR452
9742,0.3355552852153778,y,BR,i,BR452
