,probabilities,classification,language,vowel,file
10727,0.720131915807724,i,BR,i,BR132
10730,0.06417025998234749,y,BR,i,BR132
10726,0.20931980144232512,e,BR,i,BR132
10736,0.005188211516360753,ɛ,BR,i,BR132
10737,5.668310689266321e-07,ɛ̃,BR,i,BR132
10731,0.0007246470346217393,ø,BR,i,BR132
10732,0.0003868041921350596,œ,BR,i,BR132
10725,4.936525876928499e-05,a,BR,i,BR132
10733,2.5721798402322804e-06,ɑ̃,BR,i,BR132
10728,3.4240743989499835e-06,o,BR,i,BR132
10734,1.962388272715998e-05,ɔ,BR,i,BR132
10735,1.0909761106514536e-06,ɔ̃,BR,i,BR132
10729,1.7316168996472925e-06,u,BR,i,BR132
9635,0.003180039022117853,i,BR,i,BR329
9638,0.21467406973242759,y,BR,i,BR329
9634,0.0066233036341145635,e,BR,i,BR329
9644,0.2115587355569005,ɛ,BR,i,BR329
9645,0.0020324469277696266,ɛ̃,BR,i,BR329
9639,0.03381571159698069,ø,BR,i,BR329
9640,0.014029665058478713,œ,BR,i,BR329
9633,0.021806556964293122,a,BR,i,BR329
9641,0.009911929776717444,ɑ̃,BR,i,BR329
9636,0.09415729083120823,o,BR,i,BR329
9642,0.10515588447451592,ɔ,BR,i,BR329
9643,0.033303606952540574,ɔ̃,BR,i,BR329
9637,0.24975075721740722,u,BR,i,BR329
11065,0.6145632237195968,i,BR,i,BR373
11068,0.3453298330307007,y,BR,i,BR373
11064,0.016371393320150675,e,BR,i,BR373
11074,0.00892507005482912,ɛ,BR,i,BR373
11075,5.5426104506750565e-05,ɛ̃,BR,i,BR373
11069,0.002875221348949708,ø,BR,i,BR373
11070,0.0007434891267621424,œ,BR,i,BR373
11063,0.00014899763691573754,a,BR,i,BR373
11071,9.67016667345888e-05,ɑ̃,BR,i,BR373
11066,0.0012960472689883319,o,BR,i,BR373
11072,0.0016985205525998025,ɔ,BR,i,BR373
11073,0.0004225566597597208,ɔ̃,BR,i,BR373
11067,0.007473508233670145,u,BR,i,BR373
9921,0.2465967282652855,i,BR,i,BR374
9924,0.41387512236833573,y,BR,i,BR374
9920,0.06999459564685821,e,BR,i,BR374
9930,0.16966874077916144,ɛ,BR,i,BR374
9931,0.0011372478799103192,ɛ̃,BR,i,BR374
9925,0.005250940378755331,ø,BR,i,BR374
9926,0.002273480413714424,œ,BR,i,BR374
9919,0.007314009289257228,a,BR,i,BR374
9927,0.0029593440500320866,ɑ̃,BR,i,BR374
9922,0.007242300128564238,o,BR,i,BR374
9928,0.014212534856051206,ɔ,BR,i,BR374
9929,0.019217534502968193,ɔ̃,BR,i,BR374
9923,0.04025738905183971,u,BR,i,BR374
10090,0.00966486748875468,i,BR,i,BR375
10093,0.07179518230259418,y,BR,i,BR375
10089,0.012622699406347238,e,BR,i,BR375
10099,0.044825888331979515,ɛ,BR,i,BR375
10100,0.0009923337110194553,ɛ̃,BR,i,BR375
10094,0.005502886779140681,ø,BR,i,BR375
10095,0.0037729833624325694,œ,BR,i,BR375
10088,0.019834944466128945,a,BR,i,BR375
10096,0.029894036147743462,ɑ̃,BR,i,BR375
10091,0.09211056660860777,o,BR,i,BR375
10097,0.11237016059458256,ɔ,BR,i,BR375
10098,0.506809189915657,ɔ̃,BR,i,BR375
10092,0.08980426108464598,u,BR,i,BR375
9739,0.6311004981398582,i,BR,i,BR452
9742,0.35116862822324035,y,BR,i,BR452
9738,0.013687017490155995,e,BR,i,BR452
9748,0.000303632818031474,ɛ,BR,i,BR452
9749,8.990416442866688e-07,ɛ̃,BR,i,BR452
9743,0.0033627244345552755,ø,BR,i,BR452
9744,0.00021735582467954372,œ,BR,i,BR452
9737,4.335001755961798e-06,a,BR,i,BR452
9745,3.059709293928847e-07,ɑ̃,BR,i,BR452
