,probabilities,classification,language,vowel,file
8251,0.8386479616165161,i,BR,i,BR132
8257,0.03161625564098358,ɪ,BR,i,BR132
8250,0.11593213677406311,eɪ,BR,i,BR132
8256,0.000460965238744393,ɛ,BR,i,BR132
8254,3.261662641307339e-05,æ,BR,i,BR132
8255,2.2266802261583507e-05,ɑ,BR,i,BR132
8259,0.0004818056186195463,ʌ,BR,i,BR132
8252,6.13285883446224e-05,oʊ,BR,i,BR132
8253,0.011943154968321323,u,BR,i,BR132
8258,0.0008014634950086474,ʊ,BR,i,BR132
7411,0.08364029973745346,i,BR,i,BR329
7417,0.05617192015051842,ɪ,BR,i,BR329
7410,0.5709390640258789,eɪ,BR,i,BR329
7416,0.10270945727825165,ɛ,BR,i,BR329
7414,0.04546273127198219,æ,BR,i,BR329
7415,0.011537822894752026,ɑ,BR,i,BR329
7419,0.03908620774745941,ʌ,BR,i,BR329
7412,0.041823796927928925,oʊ,BR,i,BR329
7413,0.024700021371245384,u,BR,i,BR329
7418,0.02392873354256153,ʊ,BR,i,BR329
8511,0.7220787405967712,i,BR,i,BR373
8517,0.029162252321839333,ɪ,BR,i,BR373
8510,0.19175118207931519,eɪ,BR,i,BR373
8516,0.016667278483510017,ɛ,BR,i,BR373
8514,0.011716431938111782,æ,BR,i,BR373
8515,0.0018946791533380747,ɑ,BR,i,BR373
8519,0.01021175179630518,ʌ,BR,i,BR373
8512,0.004488763865083456,oʊ,BR,i,BR373
8513,0.0034769107587635517,u,BR,i,BR373
8518,0.008552053943276405,ʊ,BR,i,BR373
7631,0.5336743593215942,i,BR,i,BR374
7637,0.09729108214378357,ɪ,BR,i,BR374
7630,0.16614848375320435,eɪ,BR,i,BR374
7636,0.02349630929529667,ɛ,BR,i,BR374
7634,0.02479339949786663,æ,BR,i,BR374
7635,0.0029945638962090015,ɑ,BR,i,BR374
7639,0.021058320999145508,ʌ,BR,i,BR374
7632,0.0047705816105008125,oʊ,BR,i,BR374
7633,0.04355567321181297,u,BR,i,BR374
7638,0.0822172611951828,ʊ,BR,i,BR374
7761,0.19468043744564056,i,BR,i,BR375
7767,0.021105028688907623,ɪ,BR,i,BR375
7760,0.24354270100593567,eɪ,BR,i,BR375
7766,0.14647185802459717,ɛ,BR,i,BR375
7764,0.14909562468528748,æ,BR,i,BR375
7765,0.021912312135100365,ɑ,BR,i,BR375
7769,0.20648255944252014,ʌ,BR,i,BR375
7762,0.006305958144366741,oʊ,BR,i,BR375
7763,0.0008435510098934174,u,BR,i,BR375
7768,0.009560025297105312,ʊ,BR,i,BR375
7491,0.7291813492774963,i,BR,i,BR452
7497,0.020495349541306496,ɪ,BR,i,BR452
7490,0.16230221092700958,eɪ,BR,i,BR452
7496,0.0011148140765726566,ɛ,BR,i,BR452
7494,0.00012101075117243454,æ,BR,i,BR452
7495,2.4658462280058302e-05,ɑ,BR,i,BR452
7499,0.00010215309157501906,ʌ,BR,i,BR452
7492,0.0014435600023716688,oʊ,BR,i,BR452
7493,0.08329996466636658,u,BR,i,BR452
7498,0.0019149779109284282,ʊ,BR,i,BR452
7171,0.8481178283691406,i,BR,i,BR454
7177,0.07574768364429474,ɪ,BR,i,BR454
7170,0.045119550079107285,eɪ,BR,i,BR454
7176,0.0009815485682338476,ɛ,BR,i,BR454
7174,0.00014132255455479026,æ,BR,i,BR454
7175,0.00011664489284157753,ɑ,BR,i,BR454
7179,0.0008879521628841758,ʌ,BR,i,BR454
7172,0.0005330383428372443,oʊ,BR,i,BR454
7173,0.02508271485567093,u,BR,i,BR454
7178,0.003271725494414568,ʊ,BR,i,BR454
7791,0.6737141609191895,i,BR,i,BR46
7797,0.17961221933364868,ɪ,BR,i,BR46
7790,0.03333492577075958,eɪ,BR,i,BR46
7796,0.05798138305544853,ɛ,BR,i,BR46
7794,0.0026042761746793985,æ,BR,i,BR46
7795,0.00019968190463259816,ɑ,BR,i,BR46
