,probabilities,classification,language,vowel,file
8251,0.8854317665100098,i,BR,i,BR132
8257,0.02512975223362446,ɪ,BR,i,BR132
8250,0.08184632658958435,eɪ,BR,i,BR132
8256,0.0005633105174638331,ɛ,BR,i,BR132
8254,3.198339254595339e-05,æ,BR,i,BR132
8255,2.446150938339997e-05,ɑ,BR,i,BR132
8259,0.00034475044230930507,ʌ,BR,i,BR132
8252,3.3534295653225854e-05,oʊ,BR,i,BR132
8253,0.0060455151833593845,u,BR,i,BR132
8258,0.0005485800211317837,ʊ,BR,i,BR132
7411,0.1016371101140976,i,BR,i,BR329
7417,0.05181298032402992,ɪ,BR,i,BR329
7410,0.5801583528518677,eɪ,BR,i,BR329
7416,0.1182112768292427,ɛ,BR,i,BR329
7414,0.0421493723988533,æ,BR,i,BR329
7415,0.01310847420245409,ɑ,BR,i,BR329
7419,0.030364077538251877,ʌ,BR,i,BR329
7412,0.026562953367829323,oʊ,BR,i,BR329
7413,0.018040025606751442,u,BR,i,BR329
7418,0.017955292016267776,ʊ,BR,i,BR329
8511,0.6787046194076538,i,BR,i,BR373
8517,0.03493998199701309,ɪ,BR,i,BR373
8510,0.22816886007785797,eɪ,BR,i,BR373
8516,0.014654815196990967,ɛ,BR,i,BR373
8514,0.01209352444857359,æ,BR,i,BR373
8515,0.0025093003641813993,ɑ,BR,i,BR373
8519,0.012947412207722664,ʌ,BR,i,BR373
8512,0.0033883405849337578,oʊ,BR,i,BR373
8513,0.004006246104836464,u,BR,i,BR373
8518,0.008586828596889973,ʊ,BR,i,BR373
7631,0.508822500705719,i,BR,i,BR374
7637,0.11991535872220993,ɪ,BR,i,BR374
7630,0.18986186385154724,eɪ,BR,i,BR374
7636,0.03032594732940197,ɛ,BR,i,BR374
7634,0.023369522765278816,æ,BR,i,BR374
7635,0.004440103191882372,ɑ,BR,i,BR374
7639,0.026414159685373306,ʌ,BR,i,BR374
7632,0.003904371988028288,oʊ,BR,i,BR374
7633,0.03609824553132057,u,BR,i,BR374
7638,0.0568479523062706,ʊ,BR,i,BR374
7761,0.15897142887115479,i,BR,i,BR375
7767,0.028497667983174324,ɪ,BR,i,BR375
7760,0.32763388752937317,eɪ,BR,i,BR375
7766,0.1636253446340561,ɛ,BR,i,BR375
7764,0.11892832815647125,æ,BR,i,BR375
7765,0.03593919798731804,ɑ,BR,i,BR375
7769,0.14800168573856354,ʌ,BR,i,BR375
7762,0.006633753888309002,oʊ,BR,i,BR375
7763,0.0016267964383587241,u,BR,i,BR375
7768,0.010142032988369465,ʊ,BR,i,BR375
7491,0.6896241903305054,i,BR,i,BR452
7497,0.014825078658759594,ɪ,BR,i,BR452
7490,0.22068919241428375,eɪ,BR,i,BR452
7496,0.001979206455871463,ɛ,BR,i,BR452
7494,0.0001769123482517898,æ,BR,i,BR452
7495,3.75005038222298e-05,ɑ,BR,i,BR452
7499,0.0001921838556881994,ʌ,BR,i,BR452
7492,0.0015393781941384077,oʊ,BR,i,BR452
7493,0.06865408271551132,u,BR,i,BR452
7498,0.0022821822203695774,ʊ,BR,i,BR452
7171,0.7994301319122314,i,BR,i,BR454
7177,0.08854874223470688,ɪ,BR,i,BR454
7170,0.0582028329372406,eɪ,BR,i,BR454
7176,0.0014684464549645782,ɛ,BR,i,BR454
7174,0.00016103054804261774,æ,BR,i,BR454
