,probabilities,classification,language,vowel,file
0,0.846394544839859,i,BR,i,BR132
1,0.0232543665915727,ɪ,BR,i,BR132
2,0.1197418306022882,eɪ,BR,i,BR132
3,0.0008154626615577901,ɛ,BR,i,BR132
4,5.5674395480307664e-05,æ,BR,i,BR132
5,4.5211588530941854e-05,ɑ,BR,i,BR132
6,0.00040893862606022,ʌ,BR,i,BR132
7,6.0807668342019405e-05,oʊ,BR,i,BR132
8,0.008550541708245811,u,BR,i,BR132
9,0.0006725955405271999,ʊ,BR,i,BR132
10,0.0945800311863422,i,BR,i,BR329
11,0.05281412638723846,ɪ,BR,i,BR329
12,0.5529557913541794,eɪ,BR,i,BR329
13,0.09948807246983048,ɛ,BR,i,BR329
14,0.048640414327382996,æ,BR,i,BR329
15,0.01516042184084648,ɑ,BR,i,BR329
16,0.03944644164294,ʌ,BR,i,BR329
17,0.04485040027648206,oʊ,BR,i,BR329
18,0.027389771118760054,u,BR,i,BR329
19,0.02467454541474575,ʊ,BR,i,BR329
20,0.6933258295059204,i,BR,i,BR373
21,0.03418365363031622,ɪ,BR,i,BR373
22,0.21511615663766856,eɪ,BR,i,BR373
23,0.014333538245409689,ɛ,BR,i,BR373
24,0.01118632350116963,æ,BR,i,BR373
25,0.0027800346142611903,ɑ,BR,i,BR373
26,0.01012112731114025,ʌ,BR,i,BR373
27,0.0045837203273549005,oʊ,BR,i,BR373
28,0.0063214811962097415,u,BR,i,BR373
29,0.00804812316782768,ʊ,BR,i,BR373
30,0.49679189920425415,i,BR,i,BR374
31,0.11228301227092738,ɪ,BR,i,BR374
32,0.18676197975873948,eɪ,BR,i,BR374
33,0.0297641951590776,ɛ,BR,i,BR374
34,0.02397821210324761,æ,BR,i,BR374
35,0.00505529677029695,ɑ,BR,i,BR374
36,0.023166937381029082,ʌ,BR,i,BR374
37,0.006284714629873589,oʊ,BR,i,BR374
38,0.048871500790119135,u,BR,i,BR374
39,0.06704227235168214,ʊ,BR,i,BR374
40,0.1574775099754333,i,BR,i,BR375
41,0.02457094546407457,ɪ,BR,i,BR375
42,0.29349813908338546,eɪ,BR,i,BR375
43,0.13440727367997168,ɛ,BR,i,BR375
44,0.1446986727416515,æ,BR,i,BR375
45,0.03803989011794322,ɑ,BR,i,BR375
46,0.18238877207040785,ʌ,BR,i,BR375
47,0.012307391595095349,oʊ,BR,i,BR375
48,0.00259146867610976,u,BR,i,BR375
49,0.010019967891275851,ʊ,BR,i,BR375
50,0.6887418150901794,i,BR,i,BR452
51,0.015483240876346772,ɪ,BR,i,BR452
52,0.19571179002523423,eɪ,BR,i,BR452
53,0.00138365511666047,ɛ,BR,i,BR452
54,0.0001949028097441956,æ,BR,i,BR452
55,5.720763456336406e-05,ɑ,BR,i,BR452
56,0.00015642653452228346,ʌ,BR,i,BR452
57,0.00170113623607899,oʊ,BR,i,BR452
58,0.0936650466173887,u,BR,i,BR452
59,0.0029047657386399297,ʊ,BR,i,BR452
60,0.8204325616359711,i,BR,i,BR454
61,0.06519758328795429,ɪ,BR,i,BR454
62,0.06183199957013127,eɪ,BR,i,BR454
63,0.0015226905059534499,ɛ,BR,i,BR454
64,0.00020202326559224,æ,BR,i,BR454
65,0.0001948546469065726,ɑ,BR,i,BR454
66,0.00115395306784188,ʌ,BR,i,BR454
67,0.0007081799965817,oʊ,BR,i,BR454
68,0.04374555461108681,u,BR,i,BR454
69,0.0050105962669476384,ʊ,BR,i,BR454
70,0.6524439036846161,i,BR,i,BR46
71,0.16373481228947637,ɪ,BR,i,BR46
72,0.07435992453247305,eɪ,BR,i,BR46
73,0.06848755739629264,ɛ,BR,i,BR46
74,0.00300945055205369,æ,BR,i,BR46
75,0.0002658218530995731,ɑ,BR,i,BR46
76,0.016059534647501962,ʌ,BR,i,BR46
77,2.9337570231291467e-05,oʊ,BR,i,BR46
78,0.02024124306626613,u,BR,i,BR46
79,0.0013684287667273998,ʊ,BR,i,BR46
80,0.8180100202560425,i,BR,i,BR47
81,0.03168575167655941,ɪ,BR,i,BR47
82,0.141946205496788,eɪ,BR,i,BR47
83,0.0018461018335073705,ɛ,BR,i,BR47
84,0.0006663300999207101,æ,BR,i,BR47
85,0.00021503470707100642,ɑ,BR,i,BR47
86,0.0008237064612330398,ʌ,BR,i,BR47
87,7.547126479038737e-05,oʊ,BR,i,BR47
88,0.00414903569035228,u,BR,i,BR47
89,0.0005823558050905799,ʊ,BR,i,BR47
90,0.8405561089515686,i,BR,i,BR496
91,0.06125903837382789,ɪ,BR,i,BR496
