,probabilities,classification,language,vowel,file
8251,0.9753361940383911,i,BR,i,BR132
8257,0.016019707545638084,ɪ,BR,i,BR132
8250,0.006301887333393097,eɪ,BR,i,BR132
8256,0.0006085041677579284,ɛ,BR,i,BR132
8254,1.7921758626471274e-05,æ,BR,i,BR132
8255,4.026491296826862e-06,ɑ,BR,i,BR132
8259,2.1259549612295814e-05,ʌ,BR,i,BR132
8252,1.802786937332712e-05,oʊ,BR,i,BR132
8253,0.001358658424578607,u,BR,i,BR132
8258,0.00031377613777294755,ʊ,BR,i,BR132
7411,0.03866010159254074,i,BR,i,BR329
7417,0.5412002801895142,ɪ,BR,i,BR329
7410,0.07573617994785309,eɪ,BR,i,BR329
7416,0.04048267751932144,ɛ,BR,i,BR329
7414,0.06779706478118896,æ,BR,i,BR329
7415,0.01597820222377777,ɑ,BR,i,BR329
7419,0.0058549572713673115,ʌ,BR,i,BR329
7412,0.01648447848856449,oʊ,BR,i,BR329
7413,0.06133019179105759,u,BR,i,BR329
7418,0.1364758312702179,ʊ,BR,i,BR329
8511,0.7733346819877625,i,BR,i,BR373
8517,0.08007575571537018,ɪ,BR,i,BR373
8510,0.10152581334114075,eɪ,BR,i,BR373
8516,0.0008903883281163871,ɛ,BR,i,BR373
8514,0.0003780089027713984,æ,BR,i,BR373
8515,0.0002504500444047153,ɑ,BR,i,BR373
8519,0.00021195503359194845,ʌ,BR,i,BR373
8512,0.001504105399362743,oʊ,BR,i,BR373
8513,0.02518552914261818,u,BR,i,BR373
8518,0.016643421724438667,ʊ,BR,i,BR373
7631,0.12571896612644196,i,BR,i,BR374
7637,0.6406635046005249,ɪ,BR,i,BR374
7630,0.049462608993053436,eɪ,BR,i,BR374
7636,0.033029139041900635,ɛ,BR,i,BR374
7634,0.0047185420989990234,æ,BR,i,BR374
7635,0.0013934070011600852,ɑ,BR,i,BR374
7639,0.0040471237152814865,ʌ,BR,i,BR374
7632,0.004170069471001625,oʊ,BR,i,BR374
7633,0.05367719754576683,u,BR,i,BR374
7638,0.08311935514211655,ʊ,BR,i,BR374
7761,0.11039280891418457,i,BR,i,BR375
7767,0.38126853108406067,ɪ,BR,i,BR375
7760,0.13948094844818115,eɪ,BR,i,BR375
7766,0.03812820464372635,ɛ,BR,i,BR375
7764,0.1720724105834961,æ,BR,i,BR375
7765,0.03436679393053055,ɑ,BR,i,BR375
7769,0.010691053234040737,ʌ,BR,i,BR375
7762,0.010826978832483292,oʊ,BR,i,BR375
7763,0.040196627378463745,u,BR,i,BR375
7768,0.06257560104131699,ʊ,BR,i,BR375
7491,0.8779973387718201,i,BR,i,BR452
7497,0.0904257744550705,ɪ,BR,i,BR452
7490,0.003873541485518217,eɪ,BR,i,BR452
7496,0.0016414744313806295,ɛ,BR,i,BR452
7494,3.290899485364207e-06,æ,BR,i,BR452
7495,7.552049282821827e-06,ɑ,BR,i,BR452
7499,0.0009210573043674231,ʌ,BR,i,BR452
7492,5.583439997280948e-05,oʊ,BR,i,BR452
7493,0.02318781614303589,u,BR,i,BR452
7498,0.0018863682635128498,ʊ,BR,i,BR452
7171,0.37998858094215393,i,BR,i,BR454
7177,0.45823702216148376,ɪ,BR,i,BR454
7170,0.004163076169788837,eɪ,BR,i,BR454
7176,0.0018673144513741136,ɛ,BR,i,BR454
7174,3.079521775362082e-05,æ,BR,i,BR454
7175,3.297605871921405e-05,ɑ,BR,i,BR454
7179,0.001923564588651061,ʌ,BR,i,BR454
7172,0.00024338881485164165,oʊ,BR,i,BR454
7173,0.13610756397247314,u,BR,i,BR454
7178,0.017405590042471886,ʊ,BR,i,BR454
7791,0.5465270280838013,i,BR,i,BR46
7797,0.22490346431732178,ɪ,BR,i,BR46
7790,0.0675443485379219,eɪ,BR,i,BR46
7796,0.09765154868364334,ɛ,BR,i,BR46
7794,0.001870410400442779,æ,BR,i,BR46
7795,0.0005159630673006177,ɑ,BR,i,BR46
7799,0.0014521187404170632,ʌ,BR,i,BR46
7792,0.001879297662526369,oʊ,BR,i,BR46
7793,0.028344012796878815,u,BR,i,BR46
7798,0.02931184135377407,ʊ,BR,i,BR46
7901,0.9705320000648499,i,BR,i,BR47
7907,0.01666991040110588,ɪ,BR,i,BR47
7900,0.010586308315396309,eɪ,BR,i,BR47
7906,0.0009331164765171707,ɛ,BR,i,BR47
7904,5.521310413314495e-06,æ,BR,i,BR47
7905,3.130110826532473e-06,ɑ,BR,i,BR47
7909,2.228509220003616e-05,ʌ,BR,i,BR47
7902,4.812928455066867e-05,oʊ,BR,i,BR47
7903,0.0009932247921824455,u,BR,i,BR47
7908,0.0002062683051917702,ʊ,BR,i,BR47
7301,0.16589386761188507,i,BR,i,BR496
7307,0.6888886094093323,ɪ,BR,i,BR496
7300,0.03145504742860794,eɪ,BR,i,BR496
7306,0.0539177730679512,ɛ,BR,i,BR496
7304,0.00012721803796011955,æ,BR,i,BR496
7305,0.00022123324743006378,ɑ,BR,i,BR496
7309,0.0041337511502206326,ʌ,BR,i,BR496
7302,0.0005463614943437278,oʊ,BR,i,BR496
7303,0.039408791810274124,u,BR,i,BR496
7308,0.015407365746796131,ʊ,BR,i,BR496
7571,0.3262568414211273,i,BR,i,BR741
7577,0.48616787791252136,ɪ,BR,i,BR741
7570,0.06836684048175812,eɪ,BR,i,BR741
7576,0.0268560703843832,ɛ,BR,i,BR741
7574,0.0004008192918263376,æ,BR,i,BR741
7575,0.00038349092938005924,ɑ,BR,i,BR741
7579,0.002773748943582177,ʌ,BR,i,BR741
7572,0.0024996246211230755,oʊ,BR,i,BR741
7573,0.07082551717758179,u,BR,i,BR741
7578,0.015469199046492577,ʊ,BR,i,BR741
8321,0.3681328594684601,i,BR,i,BR742
8327,0.3192019760608673,ɪ,BR,i,BR742
8320,0.28392088413238525,eɪ,BR,i,BR742
8326,0.015453712083399296,ɛ,BR,i,BR742
8324,0.0004389593086671084,æ,BR,i,BR742
8325,4.903125227428973e-05,ɑ,BR,i,BR742
8329,0.0005419165245257318,ʌ,BR,i,BR742
8322,0.0007728576892986894,oʊ,BR,i,BR742
8323,0.0048282998614013195,u,BR,i,BR742
8328,0.00665956549346447,ʊ,BR,i,BR742
7811,0.5259963274002075,i,BR,i,BR757
7817,0.31886741518974304,ɪ,BR,i,BR757
7810,0.12910036742687225,eɪ,BR,i,BR757
7816,0.01624314859509468,ɛ,BR,i,BR757
7814,0.00025928570539690554,æ,BR,i,BR757
7815,4.00691460527014e-05,ɑ,BR,i,BR757
7819,0.0004252550716046244,ʌ,BR,i,BR757
7812,0.0004747706698253751,oʊ,BR,i,BR757
7813,0.003115162020549178,u,BR,i,BR757
7818,0.005478219594806433,ʊ,BR,i,BR757
6731,0.9049859642982483,i,BR,i,BR796
6737,0.0669017881155014,ɪ,BR,i,BR796
6730,0.01777050457894802,eɪ,BR,i,BR796
6736,0.001427514711394906,ɛ,BR,i,BR796
6734,2.563627640483901e-05,æ,BR,i,BR796
6735,2.2337784685078077e-05,ɑ,BR,i,BR796
6739,0.0003090198151767254,ʌ,BR,i,BR796
6732,0.000249182601692155,oʊ,BR,i,BR796
6733,0.007124312687665224,u,BR,i,BR796
6738,0.0011836567427963018,ʊ,BR,i,BR796
7651,0.9863590598106384,i,BR,i,BR99
7657,0.005536339711397886,ɪ,BR,i,BR99
7650,0.005785469431430101,eɪ,BR,i,BR99
7656,0.0007163165719248354,ɛ,BR,i,BR99
7654,5.371109000407159e-05,æ,BR,i,BR99
7655,2.7455840609036386e-05,ɑ,BR,i,BR99
7659,4.0844257455319166e-05,ʌ,BR,i,BR99
7652,3.2314103009412065e-05,oʊ,BR,i,BR99
7653,0.0013165376149117947,u,BR,i,BR99
7658,0.000131923210574314,ʊ,BR,i,BR99
7331,0.6667196154594421,i,BR,i,BR992
7337,0.12281769514083862,ɪ,BR,i,BR992
7330,0.01795848459005356,eɪ,BR,i,BR992
7336,0.0026623180601745844,ɛ,BR,i,BR992
7334,0.00031390003277920187,æ,BR,i,BR992
7335,0.000366647494956851,ɑ,BR,i,BR992
7339,0.0014060009270906448,ʌ,BR,i,BR992
7332,0.0012406731257215142,oʊ,BR,i,BR992
7333,0.13628403842449188,u,BR,i,BR992
7338,0.050230782479047775,ʊ,BR,i,BR992
