,probabilities,classification,language,vowel,file
8251,0.9306835770606995,i,BR,i,BR132
8257,0.04258300383808091,ɪ,BR,i,BR132
8250,0.01477868645451963,eɪ,BR,i,BR132
8256,0.003315090436808532,ɛ,BR,i,BR132
8254,0.00033937230182345957,æ,BR,i,BR132
8255,0.00010280612373207987,ɑ,BR,i,BR132
8259,0.0002833577552337374,ʌ,BR,i,BR132
8252,0.00037483834030354045,oʊ,BR,i,BR132
8253,0.005642522461130284,u,BR,i,BR132
8258,0.0018967734184116125,ʊ,BR,i,BR132
7411,0.16153473686426878,i,BR,i,BR329
7417,0.33411003202199935,ɪ,BR,i,BR329
7410,0.055500658663368084,eɪ,BR,i,BR329
7416,0.035575123914168214,ɛ,BR,i,BR329
7414,0.10059804581992467,æ,BR,i,BR329
7415,0.01583531820851931,ɑ,BR,i,BR329
7419,0.01613397836481454,ʌ,BR,i,BR329
7412,0.03023869048265624,oʊ,BR,i,BR329
7413,0.07304410326760262,u,BR,i,BR329
7418,0.17742929384112358,ʊ,BR,i,BR329
8511,0.7830326706171036,i,BR,i,BR373
8517,0.07795641258126125,ɪ,BR,i,BR373
8510,0.06921739012304898,eɪ,BR,i,BR373
8516,0.003978882517600368,ɛ,BR,i,BR373
8514,0.001447177593136928,æ,BR,i,BR373
8515,0.0008117138719576644,ɑ,BR,i,BR373
8519,0.002770719983482195,ʌ,BR,i,BR373
8512,0.004271844623906418,oʊ,BR,i,BR373
8513,0.027065137296449392,u,BR,i,BR373
8518,0.029448051158033194,ʊ,BR,i,BR373
7631,0.31201728656888006,i,BR,i,BR374
7637,0.4442995250225067,ɪ,BR,i,BR374
7630,0.031741571833845225,eɪ,BR,i,BR374
7636,0.02553312692325562,ɛ,BR,i,BR374
7634,0.008293843324645422,æ,BR,i,BR374
7635,0.001805213079569512,ɑ,BR,i,BR374
7639,0.00834782089223154,ʌ,BR,i,BR374
7632,0.006504035260877572,oʊ,BR,i,BR374
7633,0.07363049159757792,u,BR,i,BR374
