,probabilities,classification,language,vowel,file
8251,0.9853640198707581,i,BR,i,BR132
8257,0.006315513513982296,ɪ,BR,i,BR132
8250,0.007511775940656662,eɪ,BR,i,BR132
8256,0.0003508860827423632,ɛ,BR,i,BR132
8254,1.8245538740302436e-05,æ,BR,i,BR132
8255,3.903955985151697e-06,ɑ,BR,i,BR132
8259,1.4823534002061933e-05,ʌ,BR,i,BR132
8252,1.2041441550536547e-05,oʊ,BR,i,BR132
8253,0.0002813649771269411,u,BR,i,BR132
8258,0.00012761520338244736,ʊ,BR,i,BR132
7411,0.10899665206670761,i,BR,i,BR329
7417,0.07083263248205185,ɪ,BR,i,BR329
7410,0.06292852014303207,eɪ,BR,i,BR329
7416,0.009806636720895767,ɛ,BR,i,BR329
7414,0.06930889189243317,æ,BR,i,BR329
7415,0.02752596139907837,ɑ,BR,i,BR329
7419,0.01771990768611431,ʌ,BR,i,BR329
7412,0.10483443737030029,oʊ,BR,i,BR329
7413,0.21506482362747192,u,BR,i,BR329
7418,0.312981516122818,ʊ,BR,i,BR329
8511,0.7698717713356018,i,BR,i,BR373
8517,0.11572150886058807,ɪ,BR,i,BR373
8510,0.045094557106494904,eɪ,BR,i,BR373
8516,0.003737056627869606,ɛ,BR,i,BR373
8514,0.001075045787729323,æ,BR,i,BR373
8515,0.0007890841807238758,ɑ,BR,i,BR373
8519,0.002213965868577361,ʌ,BR,i,BR373
8512,0.0034955309238284826,oʊ,BR,i,BR373
8513,0.030942004173994064,u,BR,i,BR373
8518,0.027059534564614296,ʊ,BR,i,BR373
7631,0.48284587264060974,i,BR,i,BR374
7637,0.13173040747642517,ɪ,BR,i,BR374
7630,0.048574600368738174,eɪ,BR,i,BR374
7636,0.010621950961649418,ɛ,BR,i,BR374
7634,0.00537435058504343,æ,BR,i,BR374
7635,0.0033544490579515696,ɑ,BR,i,BR374
7639,0.00818604789674282,ʌ,BR,i,BR374
7632,0.015138045884668827,oʊ,BR,i,BR374
7633,0.17159810662269592,u,BR,i,BR374
7638,0.12257616966962814,ʊ,BR,i,BR374
7761,0.36355891823768616,i,BR,i,BR375
7767,0.19907639920711517,ɪ,BR,i,BR375
7760,0.05926256254315376,eɪ,BR,i,BR375
7766,0.013467841781675816,ɛ,BR,i,BR375
7764,0.0874977856874466,æ,BR,i,BR375
7765,0.04355594888329506,ɑ,BR,i,BR375
7769,0.01706250198185444,ʌ,BR,i,BR375
7762,0.02549975924193859,oʊ,BR,i,BR375
7763,0.06418649852275848,u,BR,i,BR375
7768,0.12683174014091492,ʊ,BR,i,BR375
7491,0.9387896060943604,i,BR,i,BR452
7497,0.03742777928709984,ɪ,BR,i,BR452
7490,0.014961408451199532,eɪ,BR,i,BR452
7496,0.0014390228316187859,ɛ,BR,i,BR452
7494,2.2577451090910472e-05,æ,BR,i,BR452
7495,3.854680835502222e-05,ɑ,BR,i,BR452
7499,0.0019003329798579216,ʌ,BR,i,BR452
7492,7.716868276474997e-05,oʊ,BR,i,BR452
7493,0.0032303761690855026,u,BR,i,BR452
