,probabilities,classification,language,vowel,file
5255,0.9999991655349731,i,BR,i,BR132
5253,3.3380329611532034e-09,y,BR,i,BR132
5259,2.5448029794539195e-10,e,BR,i,BR132
5256,8.447258323940332e-07,ɛ,BR,i,BR132
5254,1.461188700417615e-12,ɛ̃,BR,i,BR132
5264,8.442731236346646e-11,ø,BR,i,BR132
5261,1.2737284317554387e-11,œ,BR,i,BR132
5258,1.2279521399705118e-08,a,BR,i,BR132
5263,5.936255176655636e-13,ɑ̃,BR,i,BR132
5260,1.8744106267121197e-09,o,BR,i,BR132
5257,1.4233289546972117e-10,ɔ,BR,i,BR132
5262,4.888797144886325e-10,ɔ̃,BR,i,BR132
5252,1.498205587369128e-10,u,BR,i,BR132
8674,0.00033921445719897747,i,BR,i,BR329
8672,8.304368179778976e-07,y,BR,i,BR329
8678,8.760891034853557e-08,e,BR,i,BR329
8675,1.580038855308885e-07,ɛ,BR,i,BR329
8673,1.2125039575039409e-05,ɛ̃,BR,i,BR329
8683,2.807507648583396e-08,ø,BR,i,BR329
8680,4.3275399548292626e-06,œ,BR,i,BR329
8677,0.0003429460048209876,a,BR,i,BR329
8682,3.432897415223124e-07,ɑ̃,BR,i,BR329
8679,2.1217093859604574e-08,o,BR,i,BR329
8676,8.847047138260677e-05,ɔ,BR,i,BR329
8681,0.0008751021814532578,ɔ̃,BR,i,BR329
8671,0.9983364939689636,u,BR,i,BR329
94,0.9995197057723999,i,BR,i,BR373
92,0.00045915678492747247,y,BR,i,BR373
98,7.316582468774868e-07,e,BR,i,BR373
95,2.2621489392804506e-07,ɛ,BR,i,BR373
93,6.416634779071728e-09,ɛ̃,BR,i,BR373
103,4.312485998525517e-06,ø,BR,i,BR373
100,1.8402870409772731e-06,œ,BR,i,BR373
97,5.16897031843655e-08,a,BR,i,BR373
102,1.398663740381778e-09,ɑ̃,BR,i,BR373
99,8.039644683321967e-08,o,BR,i,BR373
96,6.372878829097317e-07,ɔ,BR,i,BR373
101,6.323070920188911e-06,ɔ̃,BR,i,BR373
91,7.1042313720681705e-06,u,BR,i,BR373
1940,0.9873600602149963,i,BR,i,BR374
1938,0.00768094090744853,y,BR,i,BR374
1944,7.820782047929242e-05,e,BR,i,BR374
1941,1.55403526491682e-07,ɛ,BR,i,BR374
1939,3.6737259279107093e-07,ɛ̃,BR,i,BR374
1949,1.941229129442945e-05,ø,BR,i,BR374
1946,5.235121989244362e-06,œ,BR,i,BR374
1943,3.332851150616989e-08,a,BR,i,BR374
1948,1.5972661415730727e-08,ɑ̃,BR,i,BR374
1945,4.0831347192238354e-09,o,BR,i,BR374
1942,5.063071967015276e-06,ɔ,BR,i,BR374
1947,1.4304120668384712e-05,ɔ̃,BR,i,BR374
1937,0.004836332052946091,u,BR,i,BR374
7036,5.716687883250415e-05,i,BR,i,BR375
7034,1.1191476545491241e-07,y,BR,i,BR375
7040,5.362651336326962e-06,e,BR,i,BR375
7037,1.9275861973255815e-07,ɛ,BR,i,BR375
7035,1.2676918004217441e-06,ɛ̃,BR,i,BR375
7045,0.28630244731903076,ø,BR,i,BR375
7042,4.662723824822024e-07,œ,BR,i,BR375
7039,4.660432296077488e-06,a,BR,i,BR375
7044,3.34137268964696e-08,ɑ̃,BR,i,BR375
7041,2.1731304968852783e-06,o,BR,i,BR375
7038,0.000680800701957196,ɔ,BR,i,BR375
7043,0.7129435539245605,ɔ̃,BR,i,BR375
7033,1.8356086002313532e-06,u,BR,i,BR375
3032,0.9999359846115112,i,BR,i,BR452
3030,7.07199410143744e-09,y,BR,i,BR452
3036,6.366353045450523e-05,e,BR,i,BR452
3033,2.468979243275271e-09,ɛ,BR,i,BR452
3031,5.175577744154225e-10,ɛ̃,BR,i,BR452
3041,4.425029787036294e-11,ø,BR,i,BR452
3038,5.858934670754934e-08,œ,BR,i,BR452
3035,3.72460789321849e-07,a,BR,i,BR452
3040,2.744444893565401e-09,ɑ̃,BR,i,BR452
3037,3.8795113788125946e-09,o,BR,i,BR452
3034,5.261236779574574e-09,ɔ,BR,i,BR452
3039,3.991207364606453e-10,ɔ̃,BR,i,BR452
3029,1.403009153300161e-09,u,BR,i,BR452
2876,0.9997314810752869,i,BR,i,BR454
2874,5.297141979099251e-05,y,BR,i,BR454
2880,6.28955167485401e-05,e,BR,i,BR454
2877,1.0595274034130853e-05,ɛ,BR,i,BR454
2875,5.447545969872181e-09,ɛ̃,BR,i,BR454
2885,1.936917442435515e-06,ø,BR,i,BR454
2882,9.17258446975211e-08,œ,BR,i,BR454
2879,9.810995834413916e-06,a,BR,i,BR454
2884,2.66409316829197e-09,ɑ̃,BR,i,BR454
2881,1.771506867953576e-05,o,BR,i,BR454
2878,2.0375813036821455e-08,ɔ,BR,i,BR454
2883,0.00010586188727756962,ɔ̃,BR,i,BR454
2873,6.607527211599518e-06,u,BR,i,BR454
185,0.9999945163726807,i,BR,i,BR46
183,1.1177546666019111e-09,y,BR,i,BR46
189,3.292981531899386e-08,e,BR,i,BR46
186,1.1435170108597958e-06,ɛ,BR,i,BR46
184,1.3172692092666693e-07,ɛ̃,BR,i,BR46
194,1.4231780198770139e-07,ø,BR,i,BR46
191,6.742157498962342e-09,œ,BR,i,BR46
188,8.111719580483623e-07,a,BR,i,BR46
193,2.2404160304745346e-08,ɑ̃,BR,i,BR46
190,1.3031151979703282e-07,o,BR,i,BR46
187,2.9340078526729485e-06,ɔ,BR,i,BR46
192,1.6923478174390993e-09,ɔ̃,BR,i,BR46
182,9.131143485774373e-08,u,BR,i,BR46
7842,1.0,i,BR,i,BR47
7840,3.6650448843357497e-13,y,BR,i,BR47
7846,1.7793934728449479e-12,e,BR,i,BR47
7843,4.199687201732888e-13,ɛ,BR,i,BR47
7841,3.8722405273569627e-13,ɛ̃,BR,i,BR47
7851,2.47325891422612e-15,ø,BR,i,BR47
7848,4.2211588770820624e-14,œ,BR,i,BR47
7845,1.7080955790407804e-12,a,BR,i,BR47
7850,9.247223009566964e-15,ɑ̃,BR,i,BR47
7847,1.1923297418836576e-11,o,BR,i,BR47
7844,1.7071223779949337e-15,ɔ,BR,i,BR47
7849,6.545267105406314e-15,ɔ̃,BR,i,BR47
7839,2.134411896358157e-13,u,BR,i,BR47
7907,0.03642679378390312,i,BR,i,BR496
7905,1.3593153198598884e-05,y,BR,i,BR496
7911,0.9635594487190247,e,BR,i,BR496
7908,3.964923678267951e-08,ɛ,BR,i,BR496
7906,2.6976705314041283e-09,ɛ̃,BR,i,BR496
7916,1.599195109669438e-09,ø,BR,i,BR496
7913,2.4152999600346448e-09,œ,BR,i,BR496
7910,4.65829756990388e-08,a,BR,i,BR496
7915,5.905595457100787e-10,ɑ̃,BR,i,BR496
7912,1.0356421276114247e-09,o,BR,i,BR496
7909,5.214498699501746e-08,ɔ,BR,i,BR496
7914,7.0424270859348326e-09,ɔ̃,BR,i,BR496
7904,1.1956236001253728e-09,u,BR,i,BR496
8999,0.49088916182518005,i,BR,i,BR741
8997,4.2275530631741276e-07,y,BR,i,BR741
9003,0.5091060400009155,e,BR,i,BR741
9000,4.428260126587702e-06,ɛ,BR,i,BR741
8998,2.260053906175119e-12,ɛ̃,BR,i,BR741
9008,3.9119284200861415e-11,ø,BR,i,BR741
9005,3.2749285922006877e-11,œ,BR,i,BR741
9002,2.622251304984502e-10,a,BR,i,BR741
9007,4.804710448946814e-11,ɑ̃,BR,i,BR741
9004,1.524549197995384e-08,o,BR,i,BR741
9001,7.80571995928625e-11,ɔ,BR,i,BR741
9006,1.7748455483079795e-10,ɔ̃,BR,i,BR741
8996,2.378939926994672e-11,u,BR,i,BR741
2980,1.0,i,BR,i,BR742
2978,1.1343931349827585e-09,y,BR,i,BR742
2984,6.96003699118819e-09,e,BR,i,BR742
2981,1.3374579221903105e-09,ɛ,BR,i,BR742
2979,1.4391023095416955e-11,ɛ̃,BR,i,BR742
2989,3.2684244850519906e-13,ø,BR,i,BR742
2986,3.2567646496284297e-12,œ,BR,i,BR742
2983,5.030647773351937e-12,a,BR,i,BR742
2988,6.859335690591328e-13,ɑ̃,BR,i,BR742
2985,1.431922505915062e-12,o,BR,i,BR742
2982,5.0271176110783244e-12,ɔ,BR,i,BR742
2987,1.7511651850821153e-12,ɔ̃,BR,i,BR742
2977,8.013993657053631e-13,u,BR,i,BR742
1602,0.7837172150611877,i,BR,i,BR757
1600,8.012636499188375e-06,y,BR,i,BR757
1606,0.05106458440423012,e,BR,i,BR757
1603,0.1652010828256607,ɛ,BR,i,BR757
1601,5.07579649422496e-08,ɛ̃,BR,i,BR757
1611,3.86477605474056e-09,ø,BR,i,BR757
1608,5.913920176681131e-06,œ,BR,i,BR757
1605,1.897195033961907e-06,a,BR,i,BR757
1610,1.3153209188487835e-08,ɑ̃,BR,i,BR757
1607,1.3554549127547943e-07,o,BR,i,BR757
1604,4.1498168457110296e-07,ɔ,BR,i,BR757
1609,8.845422030390182e-07,ɔ̃,BR,i,BR757
1599,2.8732851653501257e-09,u,BR,i,BR757
4566,0.9999997615814209,i,BR,i,BR796
4564,1.1771804017679521e-11,y,BR,i,BR796
4570,1.1648043418688303e-08,e,BR,i,BR796
4567,3.8570127994241865e-12,ɛ,BR,i,BR796
4565,1.3288502243025135e-13,ɛ̃,BR,i,BR796
4575,1.623675423712695e-13,ø,BR,i,BR796
4572,2.838616386217907e-13,œ,BR,i,BR796
4569,2.1073151401651558e-07,a,BR,i,BR796
4574,9.49573485299485e-15,ɑ̃,BR,i,BR796
4571,7.293904195904144e-12,o,BR,i,BR796
4568,3.2664405983642494e-14,ɔ,BR,i,BR796
4573,3.697861583455177e-14,ɔ̃,BR,i,BR796
4563,1.4665007055936208e-11,u,BR,i,BR796
1550,1.0,i,BR,i,BR99
1548,2.3198998892206817e-19,y,BR,i,BR99
1554,4.326214574246745e-19,e,BR,i,BR99
1551,3.4081428389985076e-19,ɛ,BR,i,BR99
1549,3.135621336103465e-20,ɛ̃,BR,i,BR99
1559,2.621420664181214e-19,ø,BR,i,BR99
1556,4.2926928860525773e-20,œ,BR,i,BR99
1553,1.6768301388799864e-18,a,BR,i,BR99
1558,1.1251291102952284e-21,ɑ̃,BR,i,BR99
1555,1.5480718251154415e-18,o,BR,i,BR99
1552,1.0547985835838866e-20,ɔ,BR,i,BR99
1557,3.303061887844288e-17,ɔ̃,BR,i,BR99
1547,1.9221433708320813e-18,u,BR,i,BR99
1433,1.0,i,BR,i,BR992
1431,1.4699015615793343e-10,y,BR,i,BR992
1437,8.111951865438782e-14,e,BR,i,BR992
1434,3.4170317400258887e-13,ɛ,BR,i,BR992
1432,4.6909707834743436e-14,ɛ̃,BR,i,BR992
1442,6.031399338302101e-13,ø,BR,i,BR992
1439,3.4071507280016705e-14,œ,BR,i,BR992
1436,3.853013394450322e-12,a,BR,i,BR992
1441,1.5133910563538272e-14,ɑ̃,BR,i,BR992
1438,6.871510061260896e-14,o,BR,i,BR992
1435,1.341363238744394e-14,ɔ,BR,i,BR992
1440,3.441730407616195e-13,ɔ̃,BR,i,BR992
1430,2.2806762988575313e-12,u,BR,i,BR992
10000,0.9991375207901001,i,BR,ĩ,BR1025
9998,1.2672188859141897e-05,y,BR,ĩ,BR1025
10004,0.0003819514240603894,e,BR,ĩ,BR1025
10001,1.6898084709282557e-08,ɛ,BR,ĩ,BR1025
9999,2.052697709586937e-05,ɛ̃,BR,ĩ,BR1025
10009,0.00042762173688970506,ø,BR,ĩ,BR1025
10006,3.7926048435110715e-07,œ,BR,ĩ,BR1025
10003,3.72722785968449e-09,a,BR,ĩ,BR1025
10008,9.340556772485797e-09,ɑ̃,BR,ĩ,BR1025
10005,3.386954272599496e-09,o,BR,ĩ,BR1025
10002,3.1042216050991556e-06,ɔ,BR,ĩ,BR1025
