,language,vowel,file,probabilities,classification
11258,BR,i,BR132,1.0,i
11259,BR,i,BR132,4.0064705e-19,y
11260,BR,i,BR132,4.180334e-19,e
11261,BR,i,BR132,7.923634e-17,ɛ
11270,BR,i,BR132,4.064763e-22,ɛ̃
11262,BR,i,BR132,1.2014277e-21,ø
11263,BR,i,BR132,6.543222e-22,œ
11264,BR,i,BR132,1.3313573e-20,a
11265,BR,i,BR132,5.150273e-22,ɑ̃
11266,BR,i,BR132,8.4152355e-21,o
11267,BR,i,BR132,2.5871921e-22,ɔ
11268,BR,i,BR132,2.0488044e-19,ɔ̃
11269,BR,i,BR132,2.664255e-20,u
4680,BR,i,BR329,0.014010159,i
4681,BR,i,BR329,0.0011596096,y
4682,BR,i,BR329,0.00022532257,e
4683,BR,i,BR329,0.041765384,ɛ
4692,BR,i,BR329,0.0128988875,ɛ̃
4684,BR,i,BR329,0.004892281,ø
4685,BR,i,BR329,0.00059516967,œ
4686,BR,i,BR329,0.015207883,a
4687,BR,i,BR329,0.27741107,ɑ̃
4688,BR,i,BR329,0.024766322,o
4689,BR,i,BR329,0.010129397,ɔ
4690,BR,i,BR329,0.20853357,ɔ̃
4691,BR,i,BR329,0.38840488,u
2522,BR,i,BR373,0.9420931,i
2523,BR,i,BR373,4.0248324e-05,y
2524,BR,i,BR373,2.6340776e-05,e
2525,BR,i,BR373,9.582273e-05,ɛ
2534,BR,i,BR373,9.7915654e-05,ɛ̃
2526,BR,i,BR373,0.00050650747,ø
2527,BR,i,BR373,0.0010328358,œ
2528,BR,i,BR373,0.00035820427,a
2529,BR,i,BR373,0.00027444368,ɑ̃
2530,BR,i,BR373,0.035400715,o
2531,BR,i,BR373,1.1034215e-05,ɔ
2532,BR,i,BR373,0.00029656332,ɔ̃
2533,BR,i,BR373,0.0197661,u
6773,BR,i,BR374,0.972039,i
6774,BR,i,BR374,4.0071333e-07,y
6775,BR,i,BR374,4.7523326e-06,e
6776,BR,i,BR374,0.00017018442,ɛ
6785,BR,i,BR374,3.5431967e-07,ɛ̃
