,language,vowel,file,probabilities,classification
8570,BR,i,BR132,0.44204465,i
8571,BR,i,BR132,0.24205792,ɪ
8572,BR,i,BR132,0.0023639447,eɪ
8573,BR,i,BR132,0.0010854683,ɛ
8574,BR,i,BR132,0.0125176655,æ
8575,BR,i,BR132,0.020139152,ɑ
8576,BR,i,BR132,0.11539873,ʌ
8577,BR,i,BR132,0.007605334,oʊ
8578,BR,i,BR132,0.15392712,u
8579,BR,i,BR132,0.0028600025,ʊ
3720,BR,i,BR329,0.0052221557,i
3721,BR,i,BR329,0.014953004,ɪ
3722,BR,i,BR329,0.015484265,eɪ
3723,BR,i,BR329,0.05584613,ɛ
3724,BR,i,BR329,0.29061934,æ
3725,BR,i,BR329,0.08241945,ɑ
3726,BR,i,BR329,0.50034016,ʌ
3727,BR,i,BR329,0.024861865,oʊ
3728,BR,i,BR329,0.0008694666,u
3729,BR,i,BR329,0.009384232,ʊ
4390,BR,i,BR373,0.39219728,i
4391,BR,i,BR373,0.039417844,ɪ
4392,BR,i,BR373,0.01623541,eɪ
4393,BR,i,BR373,0.28508726,ɛ
4394,BR,i,BR373,0.030739896,æ
4395,BR,i,BR373,0.11975951,ɑ
4396,BR,i,BR373,0.009055691,ʌ
4397,BR,i,BR373,0.07567905,oʊ
4398,BR,i,BR373,0.028089965,u
4399,BR,i,BR373,0.00373806,ʊ
1470,BR,i,BR374,0.0070356517,i
1471,BR,i,BR374,0.0044184118,ɪ
1472,BR,i,BR374,0.0009361519,eɪ
1473,BR,i,BR374,0.009534772,ɛ
1474,BR,i,BR374,0.009602519,æ
1475,BR,i,BR374,0.5359925,ɑ
1476,BR,i,BR374,0.04236313,ʌ
1477,BR,i,BR374,0.38422734,oʊ
1478,BR,i,BR374,0.00034075294,u
1479,BR,i,BR374,0.0055486998,ʊ
7910,BR,i,BR375,0.0025133544,i
7911,BR,i,BR375,0.003309191,ɪ
7912,BR,i,BR375,0.0016199728,eɪ
7913,BR,i,BR375,0.007082947,ɛ
7914,BR,i,BR375,0.3830278,æ
7915,BR,i,BR375,0.40470615,ɑ
7916,BR,i,BR375,0.116881065,ʌ
7917,BR,i,BR375,0.020213185,oʊ
7918,BR,i,BR375,0.00032671567,u
7919,BR,i,BR375,0.060319647,ʊ
8280,BR,i,BR452,0.01552941,i
8281,BR,i,BR452,0.056998707,ɪ
8282,BR,i,BR452,0.00025030578,eɪ
8283,BR,i,BR452,0.0121735595,ɛ
8284,BR,i,BR452,0.0059907762,æ
8285,BR,i,BR452,0.0025707884,ɑ
8286,BR,i,BR452,0.01176163,ʌ
8287,BR,i,BR452,0.004824607,oʊ
8288,BR,i,BR452,0.8892728,u
8289,BR,i,BR452,0.0006274277,ʊ
6410,BR,i,BR454,0.1449807,i
6411,BR,i,BR454,0.37687853,ɪ
6412,BR,i,BR454,0.019196924,eɪ
6413,BR,i,BR454,0.07731419,ɛ
6414,BR,i,BR454,0.0057009836,æ
6415,BR,i,BR454,0.045221,ɑ
6416,BR,i,BR454,0.1416914,ʌ
6417,BR,i,BR454,0.020454986,oʊ
6418,BR,i,BR454,0.13502146,u
6419,BR,i,BR454,0.033539824,ʊ
6010,BR,i,BR46,0.0464533,i
6011,BR,i,BR46,0.8303185,ɪ
6012,BR,i,BR46,0.00072827976,eɪ
6013,BR,i,BR46,0.0002502927,ɛ
6014,BR,i,BR46,0.0017092922,æ
6015,BR,i,BR46,0.0005747821,ɑ
6016,BR,i,BR46,0.11176946,ʌ
6017,BR,i,BR46,0.0014246847,oʊ
6018,BR,i,BR46,0.0060238284,u
6019,BR,i,BR46,0.0007476009,ʊ
4940,BR,i,BR47,0.8224881,i
4941,BR,i,BR47,0.06464676,ɪ
4942,BR,i,BR47,0.021287035,eɪ
4943,BR,i,BR47,0.0029912635,ɛ
4944,BR,i,BR47,0.0036674342,æ
4945,BR,i,BR47,0.003698455,ɑ
4946,BR,i,BR47,0.06349319,ʌ
4947,BR,i,BR47,0.0021178895,oʊ
4948,BR,i,BR47,0.008081621,u
4949,BR,i,BR47,0.0075283023,ʊ
6220,BR,i,BR496,0.2307879,i
6221,BR,i,BR496,0.7103996,ɪ
6222,BR,i,BR496,0.0057120933,eɪ
6223,BR,i,BR496,0.017439459,ɛ
6224,BR,i,BR496,0.0042797267,æ
6225,BR,i,BR496,0.0044733593,ɑ
6226,BR,i,BR496,0.0025381315,ʌ
6227,BR,i,BR496,0.003600813,oʊ
6228,BR,i,BR496,0.018145239,u
6229,BR,i,BR496,0.00262366,ʊ
2780,BR,i,BR741,0.8777957,i
2781,BR,i,BR741,0.08695069,ɪ
2782,BR,i,BR741,0.008256254,eɪ
2783,BR,i,BR741,0.0017527154,ɛ
2784,BR,i,BR741,0.00060336076,æ
2785,BR,i,BR741,0.002647892,ɑ
2786,BR,i,BR741,0.004442241,ʌ
2787,BR,i,BR741,0.004633318,oʊ
2788,BR,i,BR741,0.0047920803,u
2789,BR,i,BR741,0.008125773,ʊ
8490,BR,i,BR742,0.8407028,i
8491,BR,i,BR742,0.06383856,ɪ
8492,BR,i,BR742,0.03505331,eɪ
8493,BR,i,BR742,0.021897007,ɛ
8494,BR,i,BR742,0.0098342765,æ
8495,BR,i,BR742,0.002848519,ɑ
8496,BR,i,BR742,0.009860121,ʌ
8497,BR,i,BR742,0.0039644437,oʊ
8498,BR,i,BR742,0.010582887,u
8499,BR,i,BR742,0.0014181461,ʊ
8400,BR,i,BR757,0.08708727,i
8401,BR,i,BR757,0.055865165,ɪ
8402,BR,i,BR757,0.7311337,eɪ
8403,BR,i,BR757,0.0068054,ɛ
8404,BR,i,BR757,0.01261291,æ
8405,BR,i,BR757,0.01105165,ɑ
8406,BR,i,BR757,0.036823343,ʌ
8407,BR,i,BR757,0.043452106,oʊ
8408,BR,i,BR757,0.0040905657,u
8409,BR,i,BR757,0.011077989,ʊ
2490,BR,i,BR796,0.43203145,i
2491,BR,i,BR796,0.14635569,ɪ
2492,BR,i,BR796,0.16095626,eɪ
2493,BR,i,BR796,0.012394959,ɛ
2494,BR,i,BR796,0.020039346,æ
2495,BR,i,BR796,0.014577224,ɑ
2496,BR,i,BR796,0.08397835,ʌ
2497,BR,i,BR796,0.07313553,oʊ
2498,BR,i,BR796,0.026362132,u
2499,BR,i,BR796,0.03016904,ʊ
6480,BR,i,BR99,0.05921203,i
6481,BR,i,BR99,0.009972324,ɪ
6482,BR,i,BR99,0.00050957134,eɪ
6483,BR,i,BR99,0.00014681673,ɛ
6484,BR,i,BR99,0.0020240229,æ
6485,BR,i,BR99,0.006001084,ɑ
6486,BR,i,BR99,0.017390167,ʌ
6487,BR,i,BR99,0.0009342182,oʊ
6488,BR,i,BR99,0.9035617,u
6489,BR,i,BR99,0.0002480877,ʊ
5740,BR,i,BR992,0.6716956,i
5741,BR,i,BR992,0.10793154,ɪ
5742,BR,i,BR992,0.04764359,eɪ
5743,BR,i,BR992,0.016455138,ɛ
5744,BR,i,BR992,0.024614798,æ
5745,BR,i,BR992,0.010937425,ɑ
5746,BR,i,BR992,0.040247463,ʌ
5747,BR,i,BR992,0.005370972,oʊ
5748,BR,i,BR992,0.06254228,u
5749,BR,i,BR992,0.012561269,ʊ
7650,BR,ĩ,BR1025,0.52566546,i
7651,BR,ĩ,BR1025,0.3825483,ɪ
7652,BR,ĩ,BR1025,0.0068142973,eɪ
7653,BR,ĩ,BR1025,0.0009890902,ɛ
7654,BR,ĩ,BR1025,0.001971127,æ
7655,BR,ĩ,BR1025,0.0025908393,ɑ
7656,BR,ĩ,BR1025,0.039410323,ʌ
7657,BR,ĩ,BR1025,0.0062581142,oʊ
7658,BR,ĩ,BR1025,0.021387823,u
7659,BR,ĩ,BR1025,0.012364731,ʊ
2240,BR,ĩ,BR1029,0.77955866,i
2241,BR,ĩ,BR1029,0.074238844,ɪ
2242,BR,ĩ,BR1029,0.02684817,eɪ
2243,BR,ĩ,BR1029,0.014250255,ɛ
2244,BR,ĩ,BR1029,0.0058017187,æ
2245,BR,ĩ,BR1029,0.020411301,ɑ
2246,BR,ĩ,BR1029,0.036921766,ʌ
2247,BR,ĩ,BR1029,0.021221805,oʊ
2248,BR,ĩ,BR1029,0.004827735,u
2249,BR,ĩ,BR1029,0.01591964,ʊ
9210,BR,ĩ,BR154,0.08426645,i
