,probabilities,classification,language,vowel,file
6320,0.9640529155731201,i,BR,i,BR132
6323,7.591324538225308e-05,y,BR,i,BR132
6321,0.00013509478594642133,e,BR,i,BR132
6318,0.03568494692444801,ɛ,BR,i,BR132
6330,1.8787050066748634e-05,ɛ̃,BR,i,BR132
6322,8.11381596577121e-06,ø,BR,i,BR132
6327,9.326727763436793e-07,œ,BR,i,BR132
6326,8.61762873682892e-06,a,BR,i,BR132
6328,1.1952753311561537e-06,ɑ̃,BR,i,BR132
6319,6.641168681653653e-08,o,BR,i,BR132
6325,1.4761531019757967e-07,ɔ,BR,i,BR132
6324,9.794001925911289e-06,ɔ̃,BR,i,BR132
6329,3.439067313593114e-06,u,BR,i,BR132
6866,0.08879255503416061,i,BR,i,BR329
6869,0.0038384455256164074,y,BR,i,BR329
6867,0.018859215080738068,e,BR,i,BR329
6864,0.6223434805870056,ɛ,BR,i,BR329
6876,0.01950215920805931,ɛ̃,BR,i,BR329
6868,0.001499468693509698,ø,BR,i,BR329
6873,0.00011958494724240154,œ,BR,i,BR329
6872,0.21411019563674927,a,BR,i,BR329
6874,0.0024321330711245537,ɑ̃,BR,i,BR329
6865,0.0002649143571034074,o,BR,i,BR329
6871,0.000408153107855469,ɔ,BR,i,BR329
6870,0.0003782582934945822,ɔ̃,BR,i,BR329
6875,0.027451304718852043,u,BR,i,BR329
7386,0.8670206665992737,i,BR,i,BR373
7389,0.1327146291732788,y,BR,i,BR373
7387,0.00012723502004519105,e,BR,i,BR373
7384,3.618411210482009e-05,ɛ,BR,i,BR373
7396,7.595049851261138e-07,ɛ̃,BR,i,BR373
7388,1.1857113349833526e-05,ø,BR,i,BR373
7393,1.5293755495804362e-05,œ,BR,i,BR373
7392,3.94251910620369e-05,a,BR,i,BR373
7394,2.333165866730269e-06,ɑ̃,BR,i,BR373
7385,9.902454621624202e-06,o,BR,i,BR373
7391,5.432228135759942e-06,ɔ,BR,i,BR373
7390,1.4056244026505738e-06,ɔ̃,BR,i,BR373
7395,1.4778498552914243e-05,u,BR,i,BR373
4734,0.5404189229011536,i,BR,i,BR374
4737,0.4265747368335724,y,BR,i,BR374
4735,0.003813444869592786,e,BR,i,BR374
4732,0.0007854612777009606,ɛ,BR,i,BR374
4744,6.830271013313904e-05,ɛ̃,BR,i,BR374
4736,0.0066331252455711365,ø,BR,i,BR374
4741,0.000288413226371631,œ,BR,i,BR374
4740,0.0008265546639449894,a,BR,i,BR374
4742,8.683685882715508e-05,ɑ̃,BR,i,BR374
4733,0.001944035291671753,o,BR,i,BR374
4739,0.00017250608652830124,ɔ,BR,i,BR374
4738,0.002033759607002139,ɔ̃,BR,i,BR374
4743,0.01635388657450676,u,BR,i,BR374
1796,0.9905656576156616,i,BR,i,BR375
1799,0.0013950607972219586,y,BR,i,BR375
1797,0.00025320026907138526,e,BR,i,BR375
1794,0.0010995162883773446,ɛ,BR,i,BR375
1806,0.0002749301784206182,ɛ̃,BR,i,BR375
1798,5.914113353355788e-05,ø,BR,i,BR375
1803,1.487629833718529e-05,œ,BR,i,BR375
1802,0.0006277486099861562,a,BR,i,BR375
1804,0.002678811550140381,ɑ̃,BR,i,BR375
1795,0.00014350074343383312,o,BR,i,BR375
1801,0.0008294520666822791,ɔ,BR,i,BR375
1800,0.0009980095783248544,ɔ̃,BR,i,BR375
1805,0.0010602056281641126,u,BR,i,BR375
9895,0.9999145269393921,i,BR,i,BR452
9898,8.124642045004293e-05,y,BR,i,BR452
9896,3.2326195764653676e-07,e,BR,i,BR452
9893,1.0860811698876205e-06,ɛ,BR,i,BR452
9905,3.067278342427926e-08,ɛ̃,BR,i,BR452
9897,1.1529111887398358e-08,ø,BR,i,BR452
9902,7.963835813029618e-09,œ,BR,i,BR452
9901,7.522400125026252e-08,a,BR,i,BR452
9903,5.415867576630262e-08,ɑ̃,BR,i,BR452
9894,3.830826500461626e-08,o,BR,i,BR452
9900,3.52730422648051e-09,ɔ,BR,i,BR452
9899,6.673228369891149e-08,ɔ̃,BR,i,BR452
9904,2.4629566723888274e-06,u,BR,i,BR452
12261,0.026364101096987724,i,BR,i,BR454
12264,0.9730023145675659,y,BR,i,BR454
12262,0.00027916848193854094,e,BR,i,BR454
12259,0.0002796118496917188,ɛ,BR,i,BR454
12271,5.610660878119234e-07,ɛ̃,BR,i,BR454
12263,1.999369851546362e-05,ø,BR,i,BR454
12268,1.1958695722569246e-06,œ,BR,i,BR454
12267,4.03003505198285e-05,a,BR,i,BR454
12269,2.0895813577226363e-06,ɑ̃,BR,i,BR454
12260,7.7371787199354e-08,o,BR,i,BR454
12266,1.1590234407776734e-06,ɔ,BR,i,BR454
12265,6.22219715751271e-07,ɔ̃,BR,i,BR454
12270,8.980568054539617e-06,u,BR,i,BR454
1445,0.9869819283485413,i,BR,i,BR46
1448,0.005265263374894857,y,BR,i,BR46
