,language,vowel,file,probabilities,classification
12220,BR,i,BR132,0.43553197,i
12221,BR,i,BR132,0.060773075,y
12222,BR,i,BR132,0.034924608,e
12223,BR,i,BR132,0.376232,ɛ
12232,BR,i,BR132,0.00017384284,ɛ̃
12224,BR,i,BR132,0.06593232,ø
12225,BR,i,BR132,0.0008020768,œ
12226,BR,i,BR132,0.019701246,a
12227,BR,i,BR132,0.00075398746,ɑ̃
12228,BR,i,BR132,0.0010672589,o
12229,BR,i,BR132,0.00014884095,ɔ
12230,BR,i,BR132,0.002813226,ɔ̃
12231,BR,i,BR132,0.0011456308,u
8372,BR,i,BR329,0.026389822,i
8373,BR,i,BR329,0.13030024,y
8374,BR,i,BR329,0.00729294,e
8375,BR,i,BR329,0.05021682,ɛ
8384,BR,i,BR329,0.0005651238,ɛ̃
8376,BR,i,BR329,0.0011793297,ø
8377,BR,i,BR329,0.0016875599,œ
8378,BR,i,BR329,0.6898031,a
8379,BR,i,BR329,0.048576843,ɑ̃
8380,BR,i,BR329,0.008332358,o
8381,BR,i,BR329,0.0038360786,ɔ
8382,BR,i,BR329,0.022440538,ɔ̃
8383,BR,i,BR329,0.009379192,u
10192,BR,i,BR373,0.85558283,i
10193,BR,i,BR373,0.052770656,y
10194,BR,i,BR373,0.0018795931,e
10195,BR,i,BR373,0.010336126,ɛ
10204,BR,i,BR373,0.00014814052,ɛ̃
10196,BR,i,BR373,0.00023632364,ø
10197,BR,i,BR373,0.00029301655,œ
10198,BR,i,BR373,0.012923326,a
10199,BR,i,BR373,0.0019423378,ɑ̃
10200,BR,i,BR373,0.0065085767,o
10201,BR,i,BR373,0.002019958,ɔ
10202,BR,i,BR373,0.00351433,ɔ̃
10203,BR,i,BR373,0.051844824,u
4667,BR,i,BR374,0.52725244,i
4668,BR,i,BR374,0.09306558,y
4669,BR,i,BR374,0.016441094,e
4670,BR,i,BR374,0.07117752,ɛ
4679,BR,i,BR374,0.00048638516,ɛ̃
4671,BR,i,BR374,0.0014530532,ø
4672,BR,i,BR374,0.0013006813,œ
4673,BR,i,BR374,0.13556674,a
4674,BR,i,BR374,0.0036784813,ɑ̃
4675,BR,i,BR374,0.01713939,o
4676,BR,i,BR374,0.0019210507,ɔ
4677,BR,i,BR374,0.007601614,ɔ̃
4678,BR,i,BR374,0.12291618,u
8008,BR,i,BR375,0.10633625,i
8009,BR,i,BR375,0.027178042,y
8010,BR,i,BR375,0.046514448,e
8011,BR,i,BR375,0.018748853,ɛ
8020,BR,i,BR375,0.0011497064,ɛ̃
8012,BR,i,BR375,0.022838764,ø
8013,BR,i,BR375,0.08518842,œ
8014,BR,i,BR375,0.16831458,a
8015,BR,i,BR375,0.19928162,ɑ̃
8016,BR,i,BR375,0.17716902,o
8017,BR,i,BR375,0.04602869,ɔ
8018,BR,i,BR375,0.01866892,ɔ̃
8019,BR,i,BR375,0.08258256,u
2678,BR,i,BR452,0.42884728,i
2679,BR,i,BR452,0.43384942,y
2680,BR,i,BR452,0.004901809,e
2681,BR,i,BR452,0.038360886,ɛ
2690,BR,i,BR452,0.00068758614,ɛ̃
2682,BR,i,BR452,0.0011033966,ø
2683,BR,i,BR452,0.0038524086,œ
2684,BR,i,BR452,0.068318926,a
2685,BR,i,BR452,0.0041929954,ɑ̃
2686,BR,i,BR452,0.00036740993,o
2687,BR,i,BR452,0.0005670447,ɔ
2688,BR,i,BR452,0.0033042023,ɔ̃
2689,BR,i,BR452,0.011646686,u
5408,BR,i,BR454,0.044833634,i
5409,BR,i,BR454,0.6013704,y
5410,BR,i,BR454,0.15864372,e
5411,BR,i,BR454,0.073150694,ɛ
5420,BR,i,BR454,0.0005243697,ɛ̃
5412,BR,i,BR454,0.004078427,ø
5413,BR,i,BR454,0.0070837596,œ
5414,BR,i,BR454,0.056095142,a
5415,BR,i,BR454,0.00794167,ɑ̃
5416,BR,i,BR454,0.010630413,o
5417,BR,i,BR454,0.0016571124,ɔ
5418,BR,i,BR454,0.0067494763,ɔ̃
5419,BR,i,BR454,0.027241146,u
12103,BR,i,BR46,0.46022224,i
12104,BR,i,BR46,0.4828684,y
12105,BR,i,BR46,0.010954315,e
12106,BR,i,BR46,0.023892859,ɛ
12115,BR,i,BR46,0.0008345592,ɛ̃
12107,BR,i,BR46,0.008293517,ø
12108,BR,i,BR46,0.00015607382,œ
12109,BR,i,BR46,0.009040521,a
12110,BR,i,BR46,0.00058478944,ɑ̃
12111,BR,i,BR46,0.0004908217,o
12112,BR,i,BR46,8.1306775e-05,ɔ
12113,BR,i,BR46,0.0020844243,ɔ̃
12114,BR,i,BR46,0.00049633463,u
7852,BR,i,BR47,0.9202266,i
7853,BR,i,BR47,0.049384277,y
7854,BR,i,BR47,0.0027231928,e
7855,BR,i,BR47,0.0038309528,ɛ
7864,BR,i,BR47,0.00025433433,ɛ̃
7856,BR,i,BR47,0.0027600054,ø
7857,BR,i,BR47,0.0012884667,œ
7858,BR,i,BR47,0.015442069,a
7859,BR,i,BR47,0.0010116996,ɑ̃
7860,BR,i,BR47,0.0014842838,o
7861,BR,i,BR47,0.00010712159,ɔ
7862,BR,i,BR47,0.00069809426,ɔ̃
7863,BR,i,BR47,0.00078911555,u
3952,BR,i,BR496,0.4335073,i
3953,BR,i,BR496,0.44733655,y
3954,BR,i,BR496,0.003962241,e
3955,BR,i,BR496,0.03323421,ɛ
3964,BR,i,BR496,0.0009933785,ɛ̃
3956,BR,i,BR496,0.00032520085,ø
3957,BR,i,BR496,0.001744764,œ
3958,BR,i,BR496,0.07185185,a
3959,BR,i,BR496,0.0015259027,ɑ̃
3960,BR,i,BR496,0.0007135411,o
3961,BR,i,BR496,0.0012165557,ɔ
3962,BR,i,BR496,0.0009914703,ɔ̃
3963,BR,i,BR496,0.0025971534,u
1430,BR,i,BR741,0.9602733,i
1431,BR,i,BR741,0.0056759417,y
1432,BR,i,BR741,0.007997524,e
1433,BR,i,BR741,0.0011967337,ɛ
1442,BR,i,BR741,8.232834e-05,ɛ̃
1434,BR,i,BR741,0.0022808642,ø
1435,BR,i,BR741,0.0013873036,œ
1436,BR,i,BR741,0.0048368485,a
1437,BR,i,BR741,0.0029726296,ɑ̃
1438,BR,i,BR741,0.010258375,o
1439,BR,i,BR741,7.085028e-05,ɔ
1440,BR,i,BR741,0.0021521102,ɔ̃
1441,BR,i,BR741,0.0008151058,u
6799,BR,i,BR742,0.90547866,i
6800,BR,i,BR742,0.014429036,y
6801,BR,i,BR742,0.008867254,e
6802,BR,i,BR742,0.01774585,ɛ
6811,BR,i,BR742,0.0009857512,ɛ̃
6803,BR,i,BR742,0.0015973002,ø
6804,BR,i,BR742,0.0007155787,œ
6805,BR,i,BR742,0.029385023,a
6806,BR,i,BR742,0.0061223297,ɑ̃
6807,BR,i,BR742,0.0011267945,o
6808,BR,i,BR742,0.00022272019,ɔ
6809,BR,i,BR742,0.009352548,ɔ̃
6810,BR,i,BR742,0.0039710095,u
12168,BR,i,BR757,0.85262066,i
12169,BR,i,BR757,0.04151679,y
12170,BR,i,BR757,0.013789322,e
12171,BR,i,BR757,0.049102705,ɛ
12180,BR,i,BR757,0.00017608963,ɛ̃
12172,BR,i,BR757,0.00075368356,ø
12173,BR,i,BR757,0.0010423384,œ
12174,BR,i,BR757,0.02131565,a
12175,BR,i,BR757,0.0043627704,ɑ̃
12176,BR,i,BR757,0.002211889,o
12177,BR,i,BR757,0.0006105937,ɔ
12178,BR,i,BR757,0.008107067,ɔ̃
12179,BR,i,BR757,0.0043904176,u
3458,BR,i,BR796,0.8819705,i
3459,BR,i,BR796,0.01450012,y
3460,BR,i,BR796,0.009064809,e
3461,BR,i,BR796,0.040267702,ɛ
3470,BR,i,BR796,0.00019318426,ɛ̃
3462,BR,i,BR796,0.007054942,ø
3463,BR,i,BR796,0.0008024878,œ
3464,BR,i,BR796,0.03133182,a
3465,BR,i,BR796,0.0020129033,ɑ̃
3466,BR,i,BR796,0.0012906559,o
3467,BR,i,BR796,0.0005970503,ɔ
3468,BR,i,BR796,0.0045415494,ɔ̃
3469,BR,i,BR796,0.0063720536,u
5603,BR,i,BR99,0.39122307,i
5604,BR,i,BR99,0.18992355,y
5605,BR,i,BR99,0.063822545,e
5606,BR,i,BR99,0.22078632,ɛ
5615,BR,i,BR99,0.00056399254,ɛ̃
5607,BR,i,BR99,0.073643364,ø
5608,BR,i,BR99,0.0014670879,œ
5609,BR,i,BR99,0.035557304,a
5610,BR,i,BR99,0.0011902614,ɑ̃
5611,BR,i,BR99,0.0011558257,o
5612,BR,i,BR99,0.00017752229,ɔ
5613,BR,i,BR99,0.013332286,ɔ̃
5614,BR,i,BR99,0.007156759,u
8671,BR,i,BR992,0.1813174,i
8672,BR,i,BR992,0.57869273,y
8673,BR,i,BR992,0.056928832,e
8674,BR,i,BR992,0.045337785,ɛ
8683,BR,i,BR992,0.0015933579,ɛ̃
8675,BR,i,BR992,0.0085761035,ø
8676,BR,i,BR992,0.00702422,œ
8677,BR,i,BR992,0.08043212,a
8678,BR,i,BR992,0.007091204,ɑ̃
