,probabilities,classification,language,vowel,file
8833,0.9997860789299011,i,BR,i,BR132
8832,0.0002135520480806008,ɪ,BR,i,BR132
8838,2.1664002147758765e-08,eɪ,BR,i,BR132
8837,2.1969523800180468e-07,ɛ,BR,i,BR132
8834,3.0329423000852174e-11,æ,BR,i,BR132
8831,9.841316206404827e-09,ɑ,BR,i,BR132
8839,1.0704910569092618e-10,ʌ,BR,i,BR132
8835,1.0907684755423475e-09,oʊ,BR,i,BR132
8830,1.5158516930569021e-07,u,BR,i,BR132
8836,5.2548321249901164e-09,ʊ,BR,i,BR132
1043,0.012172460556030273,i,BR,i,BR329
1042,0.9855989217758179,ɪ,BR,i,BR329
1048,5.7064794418693054e-06,eɪ,BR,i,BR329
1047,0.00045577017590403557,ɛ,BR,i,BR329
1044,0.00011571425420697778,æ,BR,i,BR329
1041,0.00043397751869633794,ɑ,BR,i,BR329
1049,0.0007562576211057603,ʌ,BR,i,BR329
1045,2.3731874534860253e-05,oʊ,BR,i,BR329
1040,0.0004150151216890663,u,BR,i,BR329
1046,2.2360805814969353e-05,ʊ,BR,i,BR329
4743,0.00026828949921764433,i,BR,i,BR373
4742,6.010184279148234e-07,ɪ,BR,i,BR373
4748,1.0449304754800437e-09,eɪ,BR,i,BR373
4747,8.966996589698795e-10,ɛ,BR,i,BR373
4744,7.256354184193015e-09,æ,BR,i,BR373
4741,7.052897155190863e-10,ɑ,BR,i,BR373
4749,5.0476964830181714e-09,ʌ,BR,i,BR373
4745,2.7747864006499867e-09,oʊ,BR,i,BR373
4740,0.9997311234474182,u,BR,i,BR373
4746,3.533324388627079e-08,ʊ,BR,i,BR373
893,0.000885673682205379,i,BR,i,BR374
892,0.89301997423172,ɪ,BR,i,BR374
898,4.458386513306323e-07,eɪ,BR,i,BR374
897,0.00015863755834288895,ɛ,BR,i,BR374
894,1.603513737791218e-05,æ,BR,i,BR374
891,7.81824201112613e-06,ɑ,BR,i,BR374
899,1.3564524579123827e-06,ʌ,BR,i,BR374
895,5.740232609241502e-06,oʊ,BR,i,BR374
890,0.10590033233165741,u,BR,i,BR374
896,3.922869836969767e-06,ʊ,BR,i,BR374
7353,0.00010339458094676957,i,BR,i,BR375
7352,0.9998303651809692,ɪ,BR,i,BR375
7358,1.569192136230413e-05,eɪ,BR,i,BR375
7357,1.2835154848289676e-05,ɛ,BR,i,BR375
7354,1.3395050473263836e-06,æ,BR,i,BR375
7351,1.8547812942415476e-05,ɑ,BR,i,BR375
7359,4.093357802048558e-06,ʌ,BR,i,BR375
7355,1.1785031347244512e-05,oʊ,BR,i,BR375
7350,1.719066403893521e-06,u,BR,i,BR375
7356,2.5963527150452137e-07,ʊ,BR,i,BR375
4053,0.999897837638855,i,BR,i,BR452
4052,5.630964096781099e-06,ɪ,BR,i,BR452
4058,1.8356595887780713e-07,eɪ,BR,i,BR452
4057,3.353838040620616e-10,ɛ,BR,i,BR452
4054,6.484606984713537e-08,æ,BR,i,BR452
4051,3.0995759061624995e-06,ɑ,BR,i,BR452
4059,7.530799095434304e-09,ʌ,BR,i,BR452
4055,5.343215292441528e-08,oʊ,BR,i,BR452
4050,9.26800785236992e-05,u,BR,i,BR452
4056,3.1512814757661545e-07,ʊ,BR,i,BR452
4413,0.07929842174053192,i,BR,i,BR454
4412,0.08502807468175888,ɪ,BR,i,BR454
4418,0.004208695143461227,eɪ,BR,i,BR454
4417,7.699114576098509e-06,ɛ,BR,i,BR454
4414,0.00940115936100483,æ,BR,i,BR454
4411,0.0004110461159143597,ɑ,BR,i,BR454
4419,0.00012602558126673102,ʌ,BR,i,BR454
4415,0.0004885168164037168,oʊ,BR,i,BR454
4410,0.8016926646232605,u,BR,i,BR454
4416,0.019337669014930725,ʊ,BR,i,BR454
703,0.12706241011619568,i,BR,i,BR46
702,0.872937023639679,ɪ,BR,i,BR46
708,7.278488567408203e-08,eɪ,BR,i,BR46
707,1.205084174671356e-07,ɛ,BR,i,BR46
704,1.3846372937109663e-08,æ,BR,i,BR46
701,5.634878341709282e-09,ɑ,BR,i,BR46
709,5.767801347644763e-09,ʌ,BR,i,BR46
705,8.49885856135657e-11,oʊ,BR,i,BR46
