,probabilities,classification,language,vowel,file
5630,0.9915919303894043,i,BR,i,BR132
5631,0.0012573476415127516,ɪ,BR,i,BR132
5632,0.0007475450984202325,eɪ,BR,i,BR132
5633,0.0005880060489289463,ɛ,BR,i,BR132
5634,0.0007221627747640014,æ,BR,i,BR132
5635,0.0007018827018328011,ɑ,BR,i,BR132
5636,0.00035214709350839257,ʌ,BR,i,BR132
5637,0.0013603029074147344,oʊ,BR,i,BR132
5638,0.0025166014675050974,u,BR,i,BR132
5639,0.00016201693506445736,ʊ,BR,i,BR132
7340,0.004427075386047363,i,BR,i,BR329
7341,0.9187884330749512,ɪ,BR,i,BR329
7342,0.01847209222614765,eɪ,BR,i,BR329
7343,0.021096179261803627,ɛ,BR,i,BR329
7344,0.0031980157364159822,æ,BR,i,BR329
7345,0.0033047639299184084,ɑ,BR,i,BR329
7346,0.015677521005272865,ʌ,BR,i,BR329
7347,0.00697718933224678,oʊ,BR,i,BR329
7348,0.005657210014760494,u,BR,i,BR329
7349,0.00240137055516243,ʊ,BR,i,BR329
8660,0.08734463155269623,i,BR,i,BR373
8661,0.39352041482925415,ɪ,BR,i,BR373
8662,0.08488161861896515,eɪ,BR,i,BR373
8663,0.08676440268754959,ɛ,BR,i,BR373
8664,0.018082475289702415,æ,BR,i,BR373
8665,0.09654171764850616,ɑ,BR,i,BR373
8666,0.10325340181589127,ʌ,BR,i,BR373
8667,0.0380331352353096,oʊ,BR,i,BR373
8668,0.07423941045999527,u,BR,i,BR373
8669,0.017338652163743973,ʊ,BR,i,BR373
5660,0.0659605860710144,i,BR,i,BR374
5661,0.6808934211730957,ɪ,BR,i,BR374
5662,0.09405963867902756,eɪ,BR,i,BR374
5663,0.04759874939918518,ɛ,BR,i,BR374
5664,0.012380203232169151,æ,BR,i,BR374
5665,0.02106577344238758,ɑ,BR,i,BR374
5666,0.035200849175453186,ʌ,BR,i,BR374
5667,0.016854653134942055,oʊ,BR,i,BR374
5668,0.023241005837917328,u,BR,i,BR374
5669,0.0027452935464680195,ʊ,BR,i,BR374
2460,0.005166578106582165,i,BR,i,BR375
2461,0.8862362504005432,ɪ,BR,i,BR375
2462,0.04005952179431915,eɪ,BR,i,BR375
2463,0.0485263429582119,ɛ,BR,i,BR375
2464,0.002714120550081134,æ,BR,i,BR375
2465,0.0013929613633081317,ɑ,BR,i,BR375
2466,0.008172417990863323,ʌ,BR,i,BR375
2467,0.002331342315301299,oʊ,BR,i,BR375
2468,0.004574345424771309,u,BR,i,BR375
2469,0.0008262027404271066,ʊ,BR,i,BR375
5430,0.8121165037155151,i,BR,i,BR452
5431,0.09650992602109909,ɪ,BR,i,BR452
5432,0.022436082363128662,eɪ,BR,i,BR452
5433,0.0028526121750473976,ɛ,BR,i,BR452
5434,0.0008508946630172431,æ,BR,i,BR452
5435,0.0016471130074933171,ɑ,BR,i,BR452
5436,0.006692684255540371,ʌ,BR,i,BR452
5437,0.0017909884918481112,oʊ,BR,i,BR452
5438,0.05392947793006897,u,BR,i,BR452
5439,0.001173557946458459,ʊ,BR,i,BR452
3100,0.16268770396709442,i,BR,i,BR454
3101,0.39976564049720764,ɪ,BR,i,BR454
3102,0.055964671075344086,eɪ,BR,i,BR454
3103,0.06532850861549377,ɛ,BR,i,BR454
3104,0.05233868956565857,æ,BR,i,BR454
3105,0.06466642022132874,ɑ,BR,i,BR454
3106,0.1018729954957962,ʌ,BR,i,BR454
3107,0.026529284194111824,oʊ,BR,i,BR454
3108,0.05583510175347328,u,BR,i,BR454
3109,0.015010971575975418,ʊ,BR,i,BR454
4250,0.9924033880233765,i,BR,i,BR46
4251,0.0036284560337662697,ɪ,BR,i,BR46
4252,0.0017109221080318093,eɪ,BR,i,BR46
4253,0.0002381557715125382,ɛ,BR,i,BR46
4254,8.805152901913971e-05,æ,BR,i,BR46
4255,0.0001265061437152326,ɑ,BR,i,BR46
4256,0.0002503978321328759,ʌ,BR,i,BR46
4257,0.00019114540191367269,oʊ,BR,i,BR46
